family,hierarchy,model_a,method_a,model_b,method_b,seed,bootstrap_rng_seed,fold,horizon,mae_a_report,mae_b_report,unit,n_paired,block_length,n_boot,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,abs_ci_low,abs_ci_high,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,0,1,1.1094787687062335,1.336759005851477,weighted_mean_pct,4847,32,5000,-0.22728023714524356,-0.13620751610215676,1.336759005851477,1.1094787687062335,-0.17002334463456456,-0.27600491295739155,-0.17996067128536913,-0.20470627758300433,-0.13620594666879282,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,0,1,1.1094787687062335,1.336759005851477,weighted_mean_pct,4847,32,5000,-0.22728023714524356,-0.13620751610215676,1.336759005851477,1.1094787687062335,-0.17002334463456456,-0.27600491295739155,-0.17996067128536913,-0.20470627758300433,-0.13620594666879282,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,0,1,1.1094787687062335,1.336759005851477,weighted_mean_pct,4847,32,5000,-0.22728023714524356,-0.13620751610215676,1.336759005851477,1.1094787687062335,-0.17002334463456456,-0.27600491295739155,-0.17996067128536913,-0.20470627758300433,-0.13620594666879282,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,0,8,1.08977444725631,1.305772444046933,weighted_mean_pct,4295,32,5000,-0.2159979967906228,-0.1347262311505384,1.305772444046933,1.08977444725631,-0.16541779371694204,-0.263360731176131,-0.16687726694279148,-0.2024231964510074,-0.12790093068860167,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,0,8,1.08977444725631,1.305772444046933,weighted_mean_pct,4295,32,5000,-0.2159979967906228,-0.1347262311505384,1.305772444046933,1.08977444725631,-0.16541779371694204,-0.263360731176131,-0.16687726694279148,-0.2024231964510074,-0.12790093068860167,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,0,8,1.08977444725631,1.305772444046933,weighted_mean_pct,4295,32,5000,-0.2159979967906228,-0.1347262311505384,1.305772444046933,1.08977444725631,-0.16541779371694204,-0.263360731176131,-0.16687726694279148,-0.2024231964510074,-0.12790093068860167,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,0,16,1.117143297745833,1.3307644384106914,weighted_mean_pct,3707,32,5000,-0.21362114066485824,-0.13644629817300968,1.3307644384106914,1.117143297745833,-0.16052513465116502,-0.2667540083263844,-0.1595045676902008,-0.1998065511215779,-0.12217017525316876,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,0,16,1.117143297745833,1.3307644384106914,weighted_mean_pct,3707,32,5000,-0.21362114066485824,-0.13644629817300968,1.3307644384106914,1.117143297745833,-0.16052513465116502,-0.2667540083263844,-0.1595045676902008,-0.1998065511215779,-0.12217017525316876,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,0,16,1.117143297745833,1.3307644384106914,weighted_mean_pct,3707,32,5000,-0.21362114066485824,-0.13644629817300968,1.3307644384106914,1.117143297745833,-0.16052513465116502,-0.2667540083263844,-0.1595045676902008,-0.1998065511215779,-0.12217017525316876,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,1,1,0.8458250834966149,1.0386258182547239,weighted_mean_pct,5261,32,5000,-0.192800734758109,-0.13409425281243736,1.0386258182547239,0.8458250834966149,-0.1856306009050359,-0.23619379167396382,-0.15242164756998464,-0.2311243990081279,-0.14663314238616165,1.0,0.0,False,False
