run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,prediction_hash,model_kwargs,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f2__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,2,1,32,lightgbm,1,4381cb2601feebe6,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,4.417655081000703,271.2151801330483
base__cpu_core_weighted__f2__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,2,1,32,lightgbm,2,4381cb2601feebe6,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,4.362685750002129,271.2151801330483
base__cpu_core_weighted__f2__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,2,8,32,lightgbm,1,5ed9fea06dc0efca,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,35.4393613329994,267.1790064982869
base__cpu_core_weighted__f2__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,2,8,32,lightgbm,2,5ed9fea06dc0efca,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,35.244240707001154,267.1790064982869
base__cpu_core_weighted__f2__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,2,16,32,lightgbm,1,f8b655a5f3dcb31b,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,70.96915654400073,272.5729540826915
base__cpu_core_weighted__f2__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,2,16,32,lightgbm,2,f8b655a5f3dcb31b,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,75.48459925099814,272.5729540826915
base__memory_um__f0__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,0,1,32,lightgbm,1,61abb4b3c816d897,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,0.6605505849984183,1848635679.4026904
base__memory_um__f0__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,0,1,32,lightgbm,2,61abb4b3c816d897,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,0.6713453350002965,1848635679.4026904
base__memory_um__f0__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,0,8,32,lightgbm,1,41770c51b1cccba8,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,5.214485417000105,1526324191.3500135
base__memory_um__f0__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,0,8,32,lightgbm,2,41770c51b1cccba8,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,5.175104124997233,1526324191.3500135
base__memory_um__f0__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,0,16,32,lightgbm,1,e53ab9929bca2b4c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,10.28887258100076,1735274052.5911322
base__memory_um__f0__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,0,16,32,lightgbm,2,e53ab9929bca2b4c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,10.237148334002995,1735274052.5911322
base__memory_um__f1__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,1,1,32,lightgbm,1,26c986c05fb5ac77,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.0001434170007997,1352577183.857901
base__memory_um__f1__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,1,1,32,lightgbm,2,26c986c05fb5ac77,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,0.9752332499992916,1352577183.857901
base__memory_um__f1__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,1,8,32,lightgbm,1,b07c5dd1683f4ecf,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,7.698837667001499,1349230704.7903304
base__memory_um__f1__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,1,8,32,lightgbm,2,b07c5dd1683f4ecf,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,7.6325450420026755,1349230704.7903304
base__memory_um__f1__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,1,16,32,lightgbm,1,bda5e9c985616287,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,15.103897128001336,1348125215.317614
base__memory_um__f1__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,1,16,32,lightgbm,2,bda5e9c985616287,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,15.14861587500127,1348125215.317614
base__memory_um__f2__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,2,1,32,lightgbm,1,eac8b3a199098e32,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.3547495000002527,1263368437.7287288
base__memory_um__f2__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,2,1,32,lightgbm,2,eac8b3a199098e32,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.3501656250009546,1263368437.7287288
base__memory_um__f2__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,2,8,32,lightgbm,1,9a69f2e3281457ae,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,10.735382832996038,1262294522.4928114
base__memory_um__f2__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,2,8,32,lightgbm,2,9a69f2e3281457ae,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,10.675062833999618,1262294522.4928114
base__memory_um__f2__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,2,16,32,lightgbm,1,6fcb8ac28b195b0c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,21.22573649899641,1266339742.2184117
base__memory_um__f2__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,memory_um,2,16,32,lightgbm,2,6fcb8ac28b195b0c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,21.102621251000528,1266339742.2184117
