hierarchy,seed,horizon,reconciliation_method,n_folds,mean_mae_report,std_mae_report,min_fold_mae,max_fold_mae,mean_pct_vs_independent,mean_rel_vs_strongest_det,mean_rel_vs_ewma
cpu_core_weighted,0,1,bottom_up,3,0.9356848042908728,0.10986227342042142,0.7805449359194851,1.0205550544242874,-9.414810693894394,0.7470093462829931,0.7099198197462782
cpu_core_weighted,0,1,independent,3,1.0348402390577973,0.13463487870915017,0.845825083496615,1.1492168649705437,0.0,0.8247453211361911,0.7838039217097913
cpu_core_weighted,0,1,mint,3,0.9273484322256736,0.10921842943560597,0.7730862362246635,1.0112159355198143,-10.226337390817989,0.7403199753737738,0.7035595869344449
cpu_core_weighted,0,1,wls,3,0.9299214185956997,0.1109094398643594,0.7733649699892713,1.0165011232696677,-9.997308212784624,0.7422190166961316,0.705366250440416
cpu_core_weighted,0,8,bottom_up,3,0.9372385460468027,0.10170089239710622,0.794109324195644,1.021055775499171,-8.744220284360551,0.752189113106609,0.7131078113020609
cpu_core_weighted,0,8,independent,3,1.0279394020858874,0.11865265265926815,0.8619293246865777,1.132114434314775,0.0,0.8242528139419032,0.78143965032852
cpu_core_weighted,0,8,mint,3,0.9259295504667829,0.09843074605293986,0.7877895503581098,1.0098630269075288,-9.820252663678597,0.7432977964928144,0.7046955450428743
cpu_core_weighted,0,8,wls,3,0.9284787745431414,0.10029593696381052,0.7873944212939675,1.0116825627701151,-9.591606766753356,0.7451999972767877,0.706485241976155
cpu_core_weighted,0,16,bottom_up,3,0.9522354458629669,0.10808827442736403,0.7993938475030506,1.0307048936504906,-8.806629104217814,0.7576484234019919,0.7183302725253656
cpu_core_weighted,0,16,independent,3,1.045654517507056,0.1287773086013602,0.8648501103571508,1.1549701444181844,0.0,0.8307728245789602,0.7876810435640182
cpu_core_weighted,0,16,mint,3,0.940144392127082,0.10604916132907033,0.7901883349375972,1.0172490640950174,-9.959930245335139,0.7480488802451939,0.7092314467306936
cpu_core_weighted,0,16,wls,3,0.9427537715405695,0.1085338853738858,0.7892731254510011,1.020968838113624,-9.737955540967269,0.7499038394813246,0.710991102607062
cpu_core_weighted,1,1,bottom_up,3,0.9356848042908728,0.10986227342042142,0.7805449359194851,1.0205550544242874,-9.414810693894394,0.7470093462829931,0.7099198197462782
cpu_core_weighted,1,1,independent,3,1.0348402390577973,0.13463487870915017,0.845825083496615,1.1492168649705437,0.0,0.8247453211361911,0.7838039217097913
cpu_core_weighted,1,1,mint,3,0.9273484322256736,0.10921842943560597,0.7730862362246635,1.0112159355198143,-10.226337390817989,0.7403199753737738,0.7035595869344449
cpu_core_weighted,1,1,wls,3,0.9299214185956997,0.1109094398643594,0.7733649699892713,1.0165011232696677,-9.997308212784624,0.7422190166961316,0.705366250440416
cpu_core_weighted,1,8,bottom_up,3,0.9372385460468027,0.10170089239710622,0.794109324195644,1.021055775499171,-8.744220284360551,0.752189113106609,0.7131078113020609
cpu_core_weighted,1,8,independent,3,1.0279394020858874,0.11865265265926815,0.8619293246865777,1.132114434314775,0.0,0.8242528139419032,0.78143965032852
cpu_core_weighted,1,8,mint,3,0.9259295504667829,0.09843074605293986,0.7877895503581098,1.0098630269075288,-9.820252663678597,0.7432977964928144,0.7046955450428743
cpu_core_weighted,1,8,wls,3,0.9284787745431414,0.10029593696381052,0.7873944212939675,1.0116825627701151,-9.591606766753356,0.7451999972767877,0.706485241976155
cpu_core_weighted,1,16,bottom_up,3,0.9522354458629669,0.10808827442736403,0.7993938475030506,1.0307048936504906,-8.806629104217814,0.7576484234019919,0.7183302725253656
cpu_core_weighted,1,16,independent,3,1.045654517507056,0.1287773086013602,0.8648501103571508,1.1549701444181844,0.0,0.8307728245789602,0.7876810435640182
cpu_core_weighted,1,16,mint,3,0.940144392127082,0.10604916132907033,0.7901883349375972,1.0172490640950174,-9.959930245335139,0.7480488802451939,0.7092314467306936
cpu_core_weighted,1,16,wls,3,0.9427537715405695,0.1085338853738858,0.7892731254510011,1.020968838113624,-9.737955540967269,0.7499038394813246,0.710991102607062
cpu_core_weighted,2,1,bottom_up,3,0.9356848042908728,0.10986227342042142,0.7805449359194851,1.0205550544242874,-9.414810693894394,0.7470093462829931,0.7099198197462782
cpu_core_weighted,2,1,independent,3,1.0348402390577973,0.13463487870915017,0.845825083496615,1.1492168649705437,0.0,0.8247453211361911,0.7838039217097913
cpu_core_weighted,2,1,mint,3,0.9273484322256736,0.10921842943560597,0.7730862362246635,1.0112159355198143,-10.226337390817989,0.7403199753737738,0.7035595869344449
cpu_core_weighted,2,1,wls,3,0.9299214185956997,0.1109094398643594,0.7733649699892713,1.0165011232696677,-9.997308212784624,0.7422190166961316,0.705366250440416
cpu_core_weighted,2,8,bottom_up,3,0.9372385460468027,0.10170089239710622,0.794109324195644,1.021055775499171,-8.744220284360551,0.752189113106609,0.7131078113020609
cpu_core_weighted,2,8,independent,3,1.0279394020858874,0.11865265265926815,0.8619293246865777,1.132114434314775,0.0,0.8242528139419032,0.78143965032852
cpu_core_weighted,2,8,mint,3,0.9259295504667829,0.09843074605293986,0.7877895503581098,1.0098630269075288,-9.820252663678597,0.7432977964928144,0.7046955450428743
cpu_core_weighted,2,8,wls,3,0.9284787745431414,0.10029593696381052,0.7873944212939675,1.0116825627701151,-9.591606766753356,0.7451999972767877,0.706485241976155
cpu_core_weighted,2,16,bottom_up,3,0.9522354458629669,0.10808827442736403,0.7993938475030506,1.0307048936504906,-8.806629104217814,0.7576484234019919,0.7183302725253656
cpu_core_weighted,2,16,independent,3,1.045654517507056,0.1287773086013602,0.8648501103571508,1.1549701444181844,0.0,0.8307728245789602,0.7876810435640182
cpu_core_weighted,2,16,mint,3,0.940144392127082,0.10604916132907033,0.7901883349375972,1.0172490640950174,-9.959930245335139,0.7480488802451939,0.7092314467306936
cpu_core_weighted,2,16,wls,3,0.9427537715405695,0.1085338853738858,0.7892731254510011,1.020968838113624,-9.737955540967269,0.7499038394813246,0.710991102607062
memory_um,0,1,bottom_up,3,1481679445.302809,419699918.14643794,1173657905.0886176,2075080793.3826785,-2.135215961231174,1.3934616169570893,1.393397479173572
memory_um,0,1,independent,3,1488193766.9964402,257459808.20416862,1263368437.7287288,1848635679.4026902,0.0,1.4261266630185505,1.4260541466523373
memory_um,0,1,mint,3,1406588259.4474704,302242455.3747927,1166472261.9314036,1832887965.9285433,-6.097811819363593,1.338037683207542,1.3379722530758145
memory_um,0,1,wls,3,1419508285.605177,318494916.13939077,1167809504.6159296,1868845404.0685003,-5.3780557209614726,1.3483683929240982,1.3483028842273075
memory_um,0,8,bottom_up,3,1505647309.952616,362767226.1730209,1167561614.072031,2008866215.1720126,7.821262514348311,1.4323523101304003,1.4323099517569782
memory_um,0,8,independent,3,1379283139.544385,109864395.61324672,1262294522.4928114,1526324191.3500135,0.0,1.3410786823901386,1.3410360485841981
memory_um,0,8,mint,3,1411840711.6741111,253356750.66753197,1160263172.3851845,1758572960.419478,1.5737050078219241,1.3555263692268296,1.3554847637880385
memory_um,0,8,wls,3,1364959093.3925555,188382552.68892723,1162557010.7609544,1616183556.0337863,-1.4889287059624003,1.3190877037010642,1.3190461156190334
memory_um,0,16,bottom_up,3,1546926332.6273162,414160582.645236,1130609376.3134103,2111881147.9847877,4.901891818938502,1.472154259459059,1.472133743170524
memory_um,0,16,independent,3,1449913003.3757193,204524509.06025264,1266339742.2184117,1735274052.5911322,0.0,1.397600870460194,1.3975810901885113
memory_um,0,16,mint,3,1459765802.3652656,322159828.8541022,1128115358.949221,1896120912.491208,-0.37717796823658983,1.3978485833628398,1.3978287013243573
memory_um,0,16,wls,3,1443892562.7683022,295222369.0551412,1135057345.1545937,1841620625.6393313,-1.242875835347875,1.3858463108965136,1.3858264297591842
memory_um,1,1,bottom_up,3,1481679445.302809,419699918.14643794,1173657905.0886176,2075080793.3826785,-2.135215961231174,1.3934616169570893,1.393397479173572
memory_um,1,1,independent,3,1488193766.9964402,257459808.20416862,1263368437.7287288,1848635679.4026902,0.0,1.4261266630185505,1.4260541466523373
memory_um,1,1,mint,3,1406588259.4474704,302242455.3747927,1166472261.9314036,1832887965.9285433,-6.097811819363593,1.338037683207542,1.3379722530758145
memory_um,1,1,wls,3,1419508285.605177,318494916.13939077,1167809504.6159296,1868845404.0685003,-5.3780557209614726,1.3483683929240982,1.3483028842273075
memory_um,1,8,bottom_up,3,1505647309.952616,362767226.1730209,1167561614.072031,2008866215.1720126,7.821262514348311,1.4323523101304003,1.4323099517569782
memory_um,1,8,independent,3,1379283139.544385,109864395.61324672,1262294522.4928114,1526324191.3500135,0.0,1.3410786823901386,1.3410360485841981
memory_um,1,8,mint,3,1411840711.6741111,253356750.66753197,1160263172.3851845,1758572960.419478,1.5737050078219241,1.3555263692268296,1.3554847637880385
memory_um,1,8,wls,3,1364959093.3925555,188382552.68892723,1162557010.7609544,1616183556.0337863,-1.4889287059624003,1.3190877037010642,1.3190461156190334
memory_um,1,16,bottom_up,3,1546926332.6273162,414160582.645236,1130609376.3134103,2111881147.9847877,4.901891818938502,1.472154259459059,1.472133743170524
memory_um,1,16,independent,3,1449913003.3757193,204524509.06025264,1266339742.2184117,1735274052.5911322,0.0,1.397600870460194,1.3975810901885113
memory_um,1,16,mint,3,1459765802.3652656,322159828.8541022,1128115358.949221,1896120912.491208,-0.37717796823658983,1.3978485833628398,1.3978287013243573
memory_um,1,16,wls,3,1443892562.7683022,295222369.0551412,1135057345.1545937,1841620625.6393313,-1.242875835347875,1.3858463108965136,1.3858264297591842
memory_um,2,1,bottom_up,3,1481679445.302809,419699918.14643794,1173657905.0886176,2075080793.3826785,-2.135215961231174,1.3934616169570893,1.393397479173572
memory_um,2,1,independent,3,1488193766.9964402,257459808.20416862,1263368437.7287288,1848635679.4026902,0.0,1.4261266630185505,1.4260541466523373
memory_um,2,1,mint,3,1406588259.4474704,302242455.3747927,1166472261.9314036,1832887965.9285433,-6.097811819363593,1.338037683207542,1.3379722530758145
memory_um,2,1,wls,3,1419508285.605177,318494916.13939077,1167809504.6159296,1868845404.0685003,-5.3780557209614726,1.3483683929240982,1.3483028842273075
memory_um,2,8,bottom_up,3,1505647309.952616,362767226.1730209,1167561614.072031,2008866215.1720126,7.821262514348311,1.4323523101304003,1.4323099517569782
memory_um,2,8,independent,3,1379283139.544385,109864395.61324672,1262294522.4928114,1526324191.3500135,0.0,1.3410786823901386,1.3410360485841981
memory_um,2,8,mint,3,1411840711.6741111,253356750.66753197,1160263172.3851845,1758572960.419478,1.5737050078219241,1.3555263692268296,1.3554847637880385
memory_um,2,8,wls,3,1364959093.3925555,188382552.68892723,1162557010.7609544,1616183556.0337863,-1.4889287059624003,1.3190877037010642,1.3190461156190334
memory_um,2,16,bottom_up,3,1546926332.6273162,414160582.645236,1130609376.3134103,2111881147.9847877,4.901891818938502,1.472154259459059,1.472133743170524
memory_um,2,16,independent,3,1449913003.3757193,204524509.06025264,1266339742.2184117,1735274052.5911322,0.0,1.397600870460194,1.3975810901885113
memory_um,2,16,mint,3,1459765802.3652656,322159828.8541022,1128115358.949221,1896120912.491208,-0.37717796823658983,1.3978485833628398,1.3978287013243573
memory_um,2,16,wls,3,1443892562.7683022,295222369.0551412,1135057345.1545937,1841620625.6393313,-1.242875835347875,1.3858463108965136,1.3858264297591842
