target,horizon,best_model,best_mae,persistence_mae,improvement_pct,r2,mase
averageRttWithGoogleDns,1,ewma,0.3062369435141261,0.3205548557496953,4.46660282280961,0.5851001071824173,
averageRttWithGoogleDns,8,ewma,0.3457607019364708,0.3641965157680569,5.0620511271796955,0.4550124357268713,
cluster_UM,1,persistence,1119681361.1303997,1119681361.1303997,0.0,0.3317353867803545,1.1159175511751211
cluster_UM,4,ridge,1500638419.8124874,1619313889.648152,7.328750194408003,0.2793257282487605,1.4955940223438526
cluster_UM,8,ridge,1693538922.612974,1991975295.3531432,14.981931424368474,0.1846666928129285,1.6878460899215846
cluster_mean_CU,1,xgboost,1.1397498981624845,1.421018713915566,19.79346316826858,0.6378106003532038,1.002712394420258
cluster_mean_CU,4,lightgbm,1.4880666931847275,1.991979444902721,25.29708592161714,0.3941690115872323,1.3091494189961117
cluster_mean_CU,8,lightgbm,1.6079375817850308,2.248095380527262,28.475562215340272,0.2997826707415739,1.4146076655144706
jitterWithGoogleDns,1,dlinear,0.3108049038294442,0.3527533021743548,11.89170961301925,0.1093256180552042,
jitterWithGoogleDns,8,dlinear,0.3121701087459113,0.3673087426125943,15.011522316210831,0.0858326655796019,
machine01_CU,1,xgboost,2.114711041514121,2.73837543393514,22.77497762696446,0.6488948253735393,
machine01_CU,4,lightgbm,3.5445469358364226,4.180789322021496,15.218236011888708,0.3174927912740447,
machine01_CU,8,lstm,3.4974571899073115,4.696030765362197,25.52312016981519,-0.012542928721184,
machine01_DWT,1,lstm,5058656.14041205,6857011.197141383,26.226514803987023,-0.0238978604620729,
machine01_DWT,8,lstm,5074323.236614906,8371378.772163442,39.38485672768653,-0.0239506116160568,
machine01_UM,1,persistence,285279822.75333065,285279822.75333065,0.0,0.3039360512417873,0.8563531502309436
machine01_UM,8,ridge,475551868.0466984,555491113.1400849,14.390733389325568,0.051789341814608,1.4275118947060046
machine04_CU,1,lightgbm,3.720173289116228,4.102909698124361,9.328414154060006,0.6754964311974316,
machine04_CU,8,dlinear,6.376745401455538,8.054799748124388,20.832974116576843,0.1625940943734757,
machine06_CU,1,lightgbm,0.0614721914531758,0.0845101226192806,27.26055820542474,0.2886590183356755,
machine06_CU,8,lightgbm,0.0712762549996551,0.0974001947393045,26.82123974143087,0.1719989196672761,
rx_bond0_acamas,1,lstm,18.534292373052992,25.854918050620785,28.314248234068657,0.0488371056528482,
rx_bond0_acamas,8,lstm,18.198440543288953,25.663014167228688,29.0868935944083,0.0398989750028875,
tx_bond0_acamas,1,lstm,48.67048404910668,63.05109404723497,22.80786751670795,0.0238392733440045,
tx_bond0_acamas,4,dlinear,59.33275575764842,70.36971115639061,15.684241440487806,0.0844506488733367,
tx_bond0_acamas,8,lstm,50.24754154398653,69.30148721956833,27.494281060972135,0.0124800742771628,
