base_model,horizon,reconciliation_method,nonnegative,mean_mae,std_mae,mean_rmse,mean_r2,mean_mase,mase_valid,coh_before_mean,coh_after_mean,coh_before_wsum,coh_after_wsum,rel_vs_ind,rel_vs_pers,macro_mae,core_w_mae,worst_mae,best_mae,improved,degraded,adj_mag,wall_train,pct_gt100_top,pct_neg_top
lightgbm,1,bottom_up,False,0.9356848042908728,0.1345532559310816,2.2417014131905044,0.7049434050463373,0.7938633035012707,True,0.6654108622539429,0.0,157.03696349193052,0.0,0.905851893061056,0.7089688714672026,1.2484986020486306,1.3049531028175538,2.6746440901968342,0.084544457585374,0.0,0.0,0.08317635778174287,6.999116430000868,0.0,0.0
lightgbm,1,independent,False,1.0348402390577973,0.16489337720946043,2.552428595548313,0.6153035768976297,0.8775164537475172,True,0.6654108622539429,0.6654108622539429,157.03696349193052,157.03696349193052,1.0,0.7828050619580172,1.2484986020486306,1.3049531028175538,2.6746440901968342,0.084544457585374,0.0,0.0,0.0,6.999116430000868,0.0,0.0
lightgbm,1,mint,False,0.9273484322256738,0.13376471131270268,2.2349568500216503,0.7060974176921423,0.7868084428615642,True,0.6654108622539429,0.0,157.03696349193052,0.0,0.8977366260918203,0.7026182873639012,1.279035912529585,1.3381329652453402,2.794413971966415,0.09646227637736621,2.3333333333333335,4.666666666666667,0.22160534877998336,6.999116430000868,0.0,0.0
lightgbm,1,wls,False,0.9299214185956995,0.13583576766278807,2.239824371008514,0.7048660241474064,0.7889301302493248,True,0.6654108622539429,0.0,157.03696349193052,0.0,0.9000269178721537,0.7044281168417506,1.2874788477027153,1.347876253997174,2.8084303642001207,0.08804091281805702,1.3333333333333333,5.666666666666667,0.25293110508198896,6.999116430000868,0.0,0.0
lightgbm,8,bottom_up,False,0.9372385460468026,0.12455764637930368,2.231254316737377,0.7057505153626863,0.7947560164245785,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9125577971563944,0.7123854028655289,1.2577795902051403,1.315383917105937,2.705524285809514,0.08697709096625376,0.0,0.0,0.0837828192775978,64.65056687500116,0.0,0.0
lightgbm,8,bottom_up,True,0.9369793870868038,0.12481677413760146,2.2309699061166173,0.7058486333611788,0.7945295802759068,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9122757247121404,0.7121662321677897,1.2556654200927357,1.3131264134265894,2.7003023627670935,0.08697709096625376,2.3333333333333335,0.0,0.08550026076684604,64.65056687500116,0.0,0.0
lightgbm,8,independent,False,1.0279394020858874,0.1453192278214463,2.532885862610086,0.6192487548686574,0.871363003248605,True,0.6702625542207826,0.6702625542207826,158.18196279610467,158.18196279610467,1.0,0.780675675245268,1.2577795902051403,1.315383917105937,2.705524285809514,0.08697709096625376,0.0,0.0,0.0,64.65056687500116,0.0,0.0
lightgbm,8,independent,True,0.9369793870868038,0.12481677413760146,2.2309699061166173,0.7058486333611788,0.7945295802759068,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9122757247121404,0.7121662321677897,1.2556654200927357,1.3131264134265894,2.7003023627670935,0.08697709096625376,2.3333333333333335,0.0,0.08550026076684604,64.65056687500116,0.0,0.0
lightgbm,8,mint,False,0.9259295504667829,0.12055255141558602,2.2224224132971844,0.7073762122744696,0.7850683859464113,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9017974733632141,0.7039748903141728,1.2865379818520022,1.3466272507951593,2.838143729818411,0.10108748817821993,2.3333333333333335,4.666666666666667,0.22013612958502551,64.65056687500116,0.0,0.0
lightgbm,8,mint,True,0.9289969339472782,0.11989823490087227,2.223617263519293,0.7071073909088562,0.7877279960878787,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9048903905256398,0.7063861009776202,1.2785297517704974,1.338076089860671,2.8008556780721237,0.10036356870286973,2.3333333333333335,4.666666666666667,0.2163755819588522,64.65056687500116,0.0,0.0
