family,family_size,model_a,method_a,model_b,method_b,fold,horizon,p_value_raw,p_value_holm,holm_rank,reject_holm_0.05,relative_mae_diff_mean,n_seeds
cpu_lightgbm_reconciliation,27,lightgbm,wls,lightgbm,independent,1,1,0.0,0.0,5,True,-0.0856679648323926,3
cpu_lightgbm_reconciliation,27,lightgbm,wls,lightgbm,independent,1,8,0.0,0.0,4,True,-0.0864744953650499,3
cpu_lightgbm_reconciliation,27,lightgbm,wls,lightgbm,independent,1,16,0.0,0.0,3,True,-0.0873873796176533,3
cpu_lightgbm_reconciliation,27,lightgbm,wls,lightgbm,independent,2,1,0.0,0.0,2,True,-0.1154836356358882,3
cpu_lightgbm_reconciliation,27,lightgbm,wls,lightgbm,independent,2,8,0.0,0.0,13,True,-0.1063778253278368,3
cpu_lightgbm_reconciliation,27,lightgbm,wls,lightgbm,independent,2,16,0.0,0.0,23,True,-0.11602144605397,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,0,1,0.0,0.0,1,True,0.4366402479688605,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,0,8,0.0,0.0,2,True,0.1884901717747427,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,0,16,0.0,0.0,3,True,0.3573871815325436,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,1,1,0.0,0.0,4,True,0.6207570827726031,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,1,8,0.0,0.0,5,True,0.6157059638432683,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,1,16,0.0,0.0,6,True,0.6134202204404361,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,2,1,0.0,0.0,7,True,0.2207651092155482,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,2,8,0.0,0.0,8,True,0.2189120101345837,3
memory_lightgbm_vs_ewma,9,lightgbm,independent,ewma,independent,2,16,0.0,0.0,9,True,0.2219358685925534,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,0,1,0.0,0.0,1,True,0.6126187646253501,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,0,8,0.0,0.0,34,True,0.5642271587339089,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,0,16,0.0,0.0,32,True,0.6519813656605314,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,1,1,0.0,0.0,30,True,0.4334938764560928,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,1,8,0.0,0.0,29,True,0.6052678161621696,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,1,16,0.0,0.0,28,True,0.6734550111929357,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,2,1,0.0,0.0,39,True,0.1340797964392723,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,2,8,0.0,0.0,31,True,0.1274348803748552,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,ewma,independent,2,16,0.0012,0.0156,42,True,0.0909648526581049,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,0,1,0.0008,0.012,41,True,0.1224930993721567,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,0,8,0.0,0.0,25,True,0.3161464822196109,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,0,16,0.0,0.0,26,True,0.2170303271873979,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,1,1,0.0,0.0,27,True,-0.11554057564022,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,1,8,0.7132,1.0,53,False,-0.0064604252968587,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,1,16,0.022,0.198,46,False,0.0372096432113087,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,2,1,0.0,0.0,33,True,-0.0710090025688717,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,2,8,0.0,0.0,35,True,-0.0750481814923032,3
memory_lightgbm_reconciliation,54,lightgbm,bottom_up,lightgbm,independent,2,16,0.0,0.0,36,True,-0.1071832158305519,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,0,1,0.0,0.0,37,True,0.4244021421903596,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,0,8,0.0,0.0,38,True,0.3693333904108175,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,0,16,0.0,0.0,23,True,0.4832067692179057,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,1,1,0.0,0.0,24,True,0.4623781493937809,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,1,8,0.0,0.0,21,True,0.5767336295705145,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,1,16,0.0,0.0,10,True,0.6217210473911874,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,2,1,0.0,0.0,2,True,0.1271364676433032,3
