hierarchy,base_model,horizon,method_b,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,p_value_holm,effect_class,tradeoff_class,fold,correction_family,reject_holm_0.05,fold_consistency
memory_um,ridge,1,wls,0.0006925504820053,-0.0131328921513749,0.0140617439555875,0.482,0.964,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,1,mint,0.0001459788815271,-0.0134944591586714,0.0133524131194026,0.5122,0.9756,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,8,bottom_up,-0.070507735003016,-0.0908807395038219,-0.0524412359699666,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,8,wls,-0.058771758067303,-0.0709018076795281,-0.0479966506875814,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,8,mint,-0.0619458042595488,-0.0752813874585553,-0.0501554257512785,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,8,bottom_up,-0.0505535242852367,-0.0675632525745433,-0.0342835227266025,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,8,wls,-0.0567088493971257,-0.0694315002397233,-0.0449959627383636,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,8,mint,-0.0564566751132681,-0.0690059976877739,-0.0449134031802339,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,8,bottom_up,0.0391428125513155,0.0186239838612817,0.0602393284928549,0.0002,0.0004,0.0032,modest_degradation,accuracy_costly_coherence,2,memory_ridge,True,directionally_consistent
memory_um,ridge,8,wls,0.000740896634276,-0.0127247041478828,0.0142876967000886,0.4736,0.9472,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,8,mint,0.0001884709954504,-0.0131347827142799,0.0135994551958061,0.5062,0.9876,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,16,bottom_up,-0.0710322369614677,-0.0904623429676994,-0.0523069349461096,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,16,wls,-0.0590592609104069,-0.0705421577633279,-0.0480358855301878,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,16,mint,-0.0619872421723507,-0.074472914229075,-0.0499587807195131,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,16,bottom_up,-0.0510481354309985,-0.0680331506966584,-0.0348726407219639,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,16,wls,-0.0569295471187702,-0.0699025647486941,-0.0452530258673109,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,16,mint,-0.0566567076106927,-0.0694530649352318,-0.0451090031741701,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,16,bottom_up,0.0391536227092747,0.018432323204306,0.059196886172166,0.0002,0.0004,0.0032,modest_degradation,accuracy_costly_coherence,2,memory_ridge,True,directionally_consistent
memory_um,ridge,16,wls,0.0007711106318048,-0.0128823085819414,0.0138279632197383,0.465,0.93,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,16,mint,0.0002272176204381,-0.0133101588552018,0.0130949284553639,0.4976,0.9952,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,lightgbm,1,bottom_up,0.1224930993721567,0.0570980073683224,0.2080385221744598,0.0004,0.0008,0.0096,substantial_degradation,accuracy_costly_coherence,0,memory_lightgbm,True,mixed
memory_um,lightgbm,1,wls,0.0109322376988525,-0.0335433905613576,0.0692068537249159,0.3062,0.6124,1.0,accuracy_neutral,coherence_only,0,memory_lightgbm,False,directionally_consistent
memory_um,lightgbm,1,mint,-0.0085185597408977,-0.0449484546892188,0.0391041783174428,0.623,0.754,1.0,accuracy_neutral,accuracy_costly_coherence,0,memory_lightgbm,False,strongly_consistent
memory_um,lightgbm,1,bottom_up,-0.11554057564022,-0.1439031340816957,-0.0876585537111385,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_lightgbm,True,mixed
memory_um,lightgbm,1,wls,-0.0966356946477463,-0.1154605053785308,-0.0778930575854725,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,1,memory_lightgbm,True,directionally_consistent
memory_um,lightgbm,1,mint,-0.0977191061277892,-0.116903720641607,-0.078634167625184,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,1,memory_lightgbm,True,strongly_consistent
memory_um,lightgbm,1,bottom_up,-0.0710090025688717,-0.1000128655255675,-0.041473583930767,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,memory_lightgbm,True,mixed
memory_um,lightgbm,1,wls,-0.0756382146799501,-0.0957309652374972,-0.0550457128878091,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,2,memory_lightgbm,True,directionally_consistent
memory_um,lightgbm,1,mint,-0.0766966887122207,-0.1008477174854872,-0.0517450411522081,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,memory_lightgbm,True,strongly_consistent
memory_um,lightgbm,8,bottom_up,0.3161464822196109,0.2171210264061993,0.4468664341612364,0.0,0.0,0.0,substantial_degradation,accuracy_costly_coherence,0,memory_lightgbm,True,unstable
memory_um,lightgbm,8,wls,0.0588730527846076,0.0065461384930941,0.1249564136546092,0.0126,0.0252,0.2016,substantial_degradation,accuracy_costly_coherence,0,memory_lightgbm,False,mixed
memory_um,lightgbm,8,mint,0.1521621490281456,0.0808575586499652,0.2444923958790044,0.0,0.0,0.0,substantial_degradation,accuracy_costly_coherence,0,memory_lightgbm,True,mixed
memory_um,lightgbm,8,bottom_up,-0.0064604252968587,-0.0389773193885029,0.0265701894075629,0.6434,0.7132,1.0,accuracy_neutral,coherence_only,1,memory_lightgbm,False,unstable
memory_um,lightgbm,8,wls,-0.0245280449740042,-0.0463320264927278,-0.0021338644175493,0.9832,0.0336,0.2352,modest_improvement,pareto_improvement,1,memory_lightgbm,False,mixed
memory_um,lightgbm,8,mint,-0.0241209323632441,-0.0463645483764846,-0.0012917501626134,0.981,0.038,0.2352,modest_improvement,aggregate_focused_improvement,1,memory_lightgbm,False,mixed
memory_um,lightgbm,8,bottom_up,-0.0750481814923032,-0.105382064602441,-0.0439022421083138,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,memory_lightgbm,True,unstable
memory_um,lightgbm,8,wls,-0.0790128689894755,-0.1002824583108626,-0.0578563946320046,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,2,memory_lightgbm,True,mixed
memory_um,lightgbm,8,mint,-0.0808300664302438,-0.1057470615748538,-0.0560629495131048,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,memory_lightgbm,True,mixed
memory_um,lightgbm,16,bottom_up,0.2170303271873979,0.1368238118129094,0.3213913601490045,0.0,0.0,0.0,substantial_degradation,accuracy_costly_coherence,0,memory_lightgbm,True,unstable
memory_um,lightgbm,16,wls,0.0612851744595622,0.0120696093583165,0.1247657983777197,0.0072,0.0144,0.144,substantial_degradation,accuracy_costly_coherence,0,memory_lightgbm,False,mixed
memory_um,lightgbm,16,mint,0.09269248258504,0.0352683315046365,0.166512068550028,0.0016,0.0032,0.0352,substantial_degradation,accuracy_costly_coherence,0,memory_lightgbm,True,mixed
memory_um,lightgbm,16,bottom_up,0.0372096432113087,0.0048992093016269,0.0704077421375394,0.011,0.022,0.1979999999999999,modest_degradation,accuracy_costly_coherence,1,memory_lightgbm,False,unstable
memory_um,lightgbm,16,wls,0.0050993054022417,-0.0170041735916592,0.02756907518913,0.339,0.678,1.0,accuracy_neutral,coherence_only,1,memory_lightgbm,False,mixed
memory_um,lightgbm,16,mint,0.0051448635920066,-0.016979443811528,0.0276350255688676,0.3376,0.6752,1.0,accuracy_neutral,coherence_only,1,memory_lightgbm,False,mixed
memory_um,lightgbm,16,bottom_up,-0.1071832158305519,-0.1363158972913839,-0.0756339504674956,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,memory_lightgbm,True,unstable
memory_um,lightgbm,16,wls,-0.1036707549222403,-0.1250874974134419,-0.0818255691970989,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,2,memory_lightgbm,True,mixed
memory_um,lightgbm,16,mint,-0.1091526852241447,-0.1345323994971748,-0.0828440398403133,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,memory_lightgbm,True,mixed
memory_um,dlinear,1,bottom_up,0.004358686282181,-0.0100209676486132,0.017860355653773,0.2804,0.5608,1.0,accuracy_neutral,coherence_only,0,memory_dlinear,False,mixed
memory_um,dlinear,1,wls,-0.0126835670291341,-0.0227239483031103,-0.0033557826408164,0.996,0.008,0.072,accuracy_neutral,coherence_only,0,memory_dlinear,False,strongly_consistent
memory_um,dlinear,1,mint,-0.0111089149259604,-0.0218353607485856,-0.0011307584252048,0.9854,0.0292,0.2336,accuracy_neutral,coherence_only,0,memory_dlinear,False,strongly_consistent
memory_um,dlinear,1,bottom_up,-0.0443490118824685,-0.0606403135611069,-0.0285907373144347,1.0,0.0,0.0,modest_improvement,pareto_improvement,1,memory_dlinear,True,mixed
memory_um,dlinear,1,wls,-0.0523588623458931,-0.0643274416894438,-0.0411031991422669,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_dlinear,True,strongly_consistent
