hierarchy,base_model,horizon,fold,method_b,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw,n_boot,block_length,n_paired
memory_um,ridge,16,1,bottom_up,-0.05104813543099859,-0.06803315069665847,-0.034872640721963985,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,1,wls,-0.05692954711877026,-0.06990256474869416,-0.04525302586731098,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,1,mint,-0.05665670761069279,-0.06945306493523189,-0.045109003174170145,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,2,bottom_up,0.0391536227092747,0.018432323204306086,0.05919688617216602,False,0.0002,0.0004,5000,32,8264
memory_um,ridge,16,2,wls,0.0007711106318048585,-0.012882308581941474,0.01382796321973831,True,0.465,0.93,5000,32,8264
memory_um,ridge,16,2,mint,0.00022721762043815999,-0.013310158855201848,0.013094928455363959,True,0.4976,0.9952,5000,32,8264
memory_um,lightgbm,1,0,bottom_up,0.12249309937215673,0.057098007368322455,0.2080385221744598,False,0.0004,0.0008,5000,32,8276
memory_um,lightgbm,1,0,wls,0.01093223769885251,-0.03354339056135766,0.06920685372491596,True,0.3062,0.6124,5000,32,8276
memory_um,lightgbm,1,0,mint,-0.008518559740897784,-0.044948454689218854,0.03910417831744281,True,0.623,0.754,5000,32,8276
memory_um,lightgbm,1,1,bottom_up,-0.11554057564022002,-0.14390313408169578,-0.08765855371113852,False,1.0,0.0,5000,32,8276
memory_um,lightgbm,1,1,wls,-0.09663569464774631,-0.11546050537853089,-0.07789305758547256,False,1.0,0.0,5000,32,8276
memory_um,lightgbm,1,1,mint,-0.09771910612778921,-0.116903720641607,-0.07863416762518403,False,1.0,0.0,5000,32,8276
memory_um,lightgbm,1,2,bottom_up,-0.07100900256887177,-0.10001286552556753,-0.04147358393076704,False,1.0,0.0,5000,32,8279
memory_um,lightgbm,1,2,wls,-0.0756382146799501,-0.09573096523749726,-0.05504571288780916,False,1.0,0.0,5000,32,8279
memory_um,lightgbm,1,2,mint,-0.0766966887122207,-0.10084771748548724,-0.051745041152208154,False,1.0,0.0,5000,32,8279
memory_um,lightgbm,8,0,bottom_up,0.31614648221961095,0.2171210264061993,0.44686643416123645,False,0.0,0.0,5000,32,8269
memory_um,lightgbm,8,0,wls,0.058873052784607666,0.006546138493094192,0.12495641365460929,False,0.0126,0.0252,5000,32,8269
memory_um,lightgbm,8,0,mint,0.15216214902814562,0.08085755864996522,0.24449239587900445,False,0.0,0.0,5000,32,8269
memory_um,lightgbm,8,1,bottom_up,-0.006460425296858702,-0.03897731938850296,0.026570189407562977,True,0.6434,0.7132,5000,32,8269
memory_um,lightgbm,8,1,wls,-0.02452804497400424,-0.0463320264927278,-0.0021338644175493272,False,0.9832,0.0336,5000,32,8269
memory_um,lightgbm,8,1,mint,-0.02412093236324411,-0.04636454837648464,-0.001291750162613459,False,0.981,0.038,5000,32,8269
memory_um,lightgbm,8,2,bottom_up,-0.07504818149230325,-0.10538206460244101,-0.04390224210831381,False,1.0,0.0,5000,32,8272
memory_um,lightgbm,8,2,wls,-0.07901286898947554,-0.1002824583108626,-0.05785639463200465,False,1.0,0.0,5000,32,8272
memory_um,lightgbm,8,2,mint,-0.08083006643024386,-0.10574706157485385,-0.056062949513104865,False,1.0,0.0,5000,32,8272
memory_um,lightgbm,16,0,bottom_up,0.2170303271873979,0.13682381181290942,0.3213913601490045,False,0.0,0.0,5000,32,8261
memory_um,lightgbm,16,0,wls,0.061285174459562226,0.012069609358316528,0.12476579837771978,False,0.0072,0.0144,5000,32,8261
memory_um,lightgbm,16,0,mint,0.09269248258504009,0.03526833150463655,0.16651206855002806,False,0.0016,0.0032,5000,32,8261
memory_um,lightgbm,16,1,bottom_up,0.037209643211308756,0.004899209301626979,0.0704077421375394,False,0.011,0.022,5000,32,8261
memory_um,lightgbm,16,1,wls,0.005099305402241747,-0.017004173591659243,0.027569075189130078,True,0.339,0.678,5000,32,8261
memory_um,lightgbm,16,1,mint,0.005144863592006684,-0.01697944381152809,0.02763502556886761,True,0.3376,0.6752,5000,32,8261
memory_um,lightgbm,16,2,bottom_up,-0.10718321583055192,-0.1363158972913839,-0.07563395046749563,False,1.0,0.0,5000,32,8264
memory_um,lightgbm,16,2,wls,-0.10367075492224034,-0.12508749741344194,-0.08182556919709891,False,1.0,0.0,5000,32,8264
memory_um,lightgbm,16,2,mint,-0.10915268522414473,-0.13453239949717485,-0.0828440398403133,False,1.0,0.0,5000,32,8264
memory_um,dlinear,1,0,bottom_up,0.004358686282181089,-0.010020967648613214,0.017860355653773037,True,0.2804,0.5608,5000,32,8276
memory_um,dlinear,1,0,wls,-0.012683567029134124,-0.022723948303110347,-0.003355782640816403,False,0.996,0.008,5000,32,8276
memory_um,dlinear,1,0,mint,-0.011108914925960452,-0.021835360748585653,-0.001130758425204871,False,0.9854,0.0292,5000,32,8276
memory_um,dlinear,1,1,bottom_up,-0.04434901188246857,-0.06064031356110699,-0.02859073731443474,False,1.0,0.0,5000,32,8276
memory_um,dlinear,1,1,wls,-0.05235886234589315,-0.06432744168944385,-0.04110319914226692,False,1.0,0.0,5000,32,8276
memory_um,dlinear,1,1,mint,-0.05223522774188119,-0.06409142096805585,-0.04110825288710149,False,1.0,0.0,5000,32,8276
memory_um,dlinear,1,2,bottom_up,0.037271628800213986,0.015899965591340305,0.05868101212144073,False,0.0002,0.0004,5000,32,8279
memory_um,dlinear,1,2,wls,-0.0035353047955737713,-0.018053909540516784,0.01044177900695451,True,0.7128,0.5744,5000,32,8279
memory_um,dlinear,1,2,mint,-0.004376367389684143,-0.018658493930938637,0.009403339060399928,True,0.7544,0.4912,5000,32,8279
memory_um,dlinear,8,0,bottom_up,-0.07467485419213368,-0.09249615491421445,-0.05962223086118869,False,1.0,0.0,5000,32,8269
memory_um,dlinear,8,0,wls,-0.05797562389596603,-0.06915528534086737,-0.04856250701246773,False,1.0,0.0,5000,32,8269
