claim,atomic_id,hierarchy,base_model,horizon,fold,method,relative_mae_diff,rel_ci_low,rel_ci_high,p_value_raw,reject_holm,verdict,effect_class,p_value_holm
B,B_cpu_core_weighted_ridge_h16_f1_wls,cpu_core_weighted,ridge,16,1,wls,-0.09897850704186356,-0.12005584612842721,-0.08328963015602847,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f1_mint,cpu_core_weighted,ridge,16,1,mint,-0.10212848448188223,-0.12413778727779763,-0.08564183859596056,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f2_bottom_up,cpu_core_weighted,ridge,16,2,bottom_up,-0.06180008933902274,-0.08264705548702404,-0.04097094533036775,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f2_wls,cpu_core_weighted,ridge,16,2,wls,-0.061463593339453254,-0.07592743829038213,-0.047627578736830045,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f2_mint,cpu_core_weighted,ridge,16,2,mint,-0.06450722382492587,-0.08091972221652066,-0.048573237048610364,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f0_bottom_up,cpu_core_weighted,lightgbm,1,0,bottom_up,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f0_wls,cpu_core_weighted,lightgbm,1,0,wls,-0.09876764591525787,-0.11951816789295366,-0.07832253672809089,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f0_mint,cpu_core_weighted,lightgbm,1,0,mint,-0.10071003332852008,-0.12269060745535496,-0.07903395448390742,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f1_bottom_up,cpu_core_weighted,lightgbm,1,1,bottom_up,-0.07717925236653382,-0.12234173838922459,-0.03330019822253519,0.0024,True,support,substantial_improvement,0.0048
B,B_cpu_core_weighted_lightgbm_h1_f1_wls,cpu_core_weighted,lightgbm,1,1,wls,-0.08566796483239265,-0.11327959032944716,-0.05733575632177113,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f1_mint,cpu_core_weighted,lightgbm,1,1,mint,-0.08599750550226194,-0.11423435532520912,-0.05712996753551647,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f2_bottom_up,cpu_core_weighted,lightgbm,1,2,bottom_up,-0.11195607588786474,-0.14529773315047104,-0.07491041212115082,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f2_wls,cpu_core_weighted,lightgbm,1,2,wls,-0.1154836356358882,-0.13844268371209645,-0.09131780544191749,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f2_mint,cpu_core_weighted,lightgbm,1,2,mint,-0.1200825828937573,-0.14761516207941217,-0.08981749290632834,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f0_bottom_up,cpu_core_weighted,lightgbm,8,0,bottom_up,-0.08554422343579791,-0.1261671124365099,-0.047082693036416975,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f0_wls,cpu_core_weighted,lightgbm,8,0,wls,-0.09489588230971382,-0.11598208849306406,-0.07567532718434893,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f0_mint,cpu_core_weighted,lightgbm,8,0,mint,-0.10060648182532889,-0.12641036158796573,-0.07733002541946907,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f1_bottom_up,cpu_core_weighted,lightgbm,8,1,bottom_up,-0.07868394605972472,-0.12774326065375077,-0.03164985638767597,0.0008,True,support,substantial_improvement,0.0032
B,B_cpu_core_weighted_lightgbm_h8_f1_wls,cpu_core_weighted,lightgbm,8,1,wls,-0.08647449536504995,-0.11543640237347216,-0.05735988778616186,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f1_mint,cpu_core_weighted,lightgbm,8,1,mint,-0.08601607139358783,-0.11439071802043962,-0.05749061256799231,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f2_bottom_up,cpu_core_weighted,lightgbm,8,2,bottom_up,-0.09809843903529403,-0.13427687975237543,-0.058183538223792554,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f2_wls,cpu_core_weighted,lightgbm,8,2,wls,-0.10637782532783681,-0.13129342945569036,-0.0800199306217958,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f2_mint,cpu_core_weighted,lightgbm,8,2,mint,-0.10798502669144082,-0.1380641933115599,-0.07561581536414326,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h16_f0_bottom_up,cpu_core_weighted,lightgbm,16,0,bottom_up,-0.07737450000349783,-0.12528405725151265,-0.028923053472727056,0.0008,True,support,substantial_improvement,0.0032
B,B_cpu_core_weighted_lightgbm_h16_f0_wls,cpu_core_weighted,lightgbm,16,0,wls,-0.0887298405573946,-0.11337028493085947,-0.06458218177504231,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h16_f0_mint,cpu_core_weighted,lightgbm,16,0,mint,-0.09322664389371522,-0.12415167392870685,-0.06318192675399276,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h16_f1_bottom_up,cpu_core_weighted,lightgbm,16,1,bottom_up,-0.07568509510517281,-0.1259852105611831,-0.029345091467438703,0.0036,True,support,substantial_improvement,0.0048
B,B_cpu_core_weighted_lightgbm_h16_f1_wls,cpu_core_weighted,lightgbm,16,1,wls,-0.08738737961765332,-0.11793930476318558,-0.0570130200043684,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h16_f1_mint,cpu_core_weighted,lightgbm,16,1,mint,-0.08632915059549583,-0.11547304133141514,-0.05723135088179041,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h16_f2_bottom_up,cpu_core_weighted,lightgbm,16,2,bottom_up,-0.11113927801786386,-0.14527075274188253,-0.07514902934416454,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h16_f2_wls,cpu_core_weighted,lightgbm,16,2,wls,-0.1160214460539701,-0.1392365366589506,-0.09128070274623873,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h16_f2_mint,cpu_core_weighted,lightgbm,16,2,mint,-0.11924211287084303,-0.14757140361503743,-0.0896639937970474,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f0_bottom_up,cpu_core_weighted,dlinear,1,0,bottom_up,-0.07152816093927415,-0.09260377808928948,-0.051213532540086884,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f0_wls,cpu_core_weighted,dlinear,1,0,wls,-0.06312416650135683,-0.07784689788284888,-0.04937554967849836,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f0_mint,cpu_core_weighted,dlinear,1,0,mint,-0.06907039283568797,-0.08640479337600454,-0.05288779708716835,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f1_bottom_up,cpu_core_weighted,dlinear,1,1,bottom_up,-0.11820977345429363,-0.1417521841265584,-0.09905231341233085,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f1_wls,cpu_core_weighted,dlinear,1,1,wls,-0.0977921306276794,-0.11440784318249217,-0.08476495459639584,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f1_mint,cpu_core_weighted,dlinear,1,1,mint,-0.09945198258982814,-0.11645794816850143,-0.0861665613225491,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f2_bottom_up,cpu_core_weighted,dlinear,1,2,bottom_up,-0.051258402268080955,-0.06630281309689892,-0.03515283190027,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f2_wls,cpu_core_weighted,dlinear,1,2,wls,-0.05223807175986316,-0.06169233023368487,-0.042625797429149896,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h1_f2_mint,cpu_core_weighted,dlinear,1,2,mint,-0.054422191316410455,-0.06522670310878555,-0.04290632349703557,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f0_bottom_up,cpu_core_weighted,dlinear,8,0,bottom_up,-0.07155924695890968,-0.09318093130090307,-0.052967608318832474,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f0_wls,cpu_core_weighted,dlinear,8,0,wls,-0.05810576176653855,-0.07267442254408972,-0.0457793323424481,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f0_mint,cpu_core_weighted,dlinear,8,0,mint,-0.06740156778385109,-0.08573040738069078,-0.05185602732017062,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f1_bottom_up,cpu_core_weighted,dlinear,8,1,bottom_up,-0.09432477509713978,-0.12503710047297217,-0.07135178906972192,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f1_wls,cpu_core_weighted,dlinear,8,1,wls,-0.07599715849083359,-0.0969265897763357,-0.060633278083209015,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f1_mint,cpu_core_weighted,dlinear,8,1,mint,-0.07738914151232411,-0.098796255067812,-0.06161699161957304,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f2_bottom_up,cpu_core_weighted,dlinear,8,2,bottom_up,-0.03691945272381015,-0.054022589654544616,-0.019184487719425925,0.0,True,support,modest_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f2_wls,cpu_core_weighted,dlinear,8,2,wls,-0.041125709696022125,-0.052204677697568654,-0.029460448919763606,0.0,True,support,modest_improvement,0.0
B,B_cpu_core_weighted_dlinear_h8_f2_mint,cpu_core_weighted,dlinear,8,2,mint,-0.04215096046984075,-0.05466342912925753,-0.029054715300800574,0.0,True,support,modest_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f0_bottom_up,cpu_core_weighted,dlinear,16,0,bottom_up,-0.0692192382094032,-0.09590152867955595,-0.04825816182287725,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f0_wls,cpu_core_weighted,dlinear,16,0,wls,-0.060607375007085566,-0.07848255618109297,-0.04668481695058525,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f0_mint,cpu_core_weighted,dlinear,16,0,mint,-0.06743922857319344,-0.08864531715699478,-0.05083043419157805,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f1_bottom_up,cpu_core_weighted,dlinear,16,1,bottom_up,-0.10387573248161763,-0.1308228949972756,-0.08213527867216217,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f1_wls,cpu_core_weighted,dlinear,16,1,wls,-0.08677616580065863,-0.10535794619971277,-0.07231904538589949,0.0,True,support,substantial_improvement,0.0
