hierarchy,unit,base_model,horizon,fold,method_a,method_b,npz_path,correction_family,in_holm_family,effect_class,tradeoff_class,coherence_before,coherence_after,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,ci_low,ci_high,p_value_holm,holm_rank,family_size,alpha,reject_holm_0.05
memory_um,memory_level,persistence,8,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,-0.0003909527253522191,-0.03228759765625,1291570370.298706,1291570370.298315,-3.0269564426582665e-13,-6.973596425717547e-13,1.2073677218242874e-13,0.9214,0.1572,True,True,228173977.45051223,228173977.45110226,2.5858618288738046e-12,1597217842.1535857,1597217842.1577153,2.5855259687369962e-12,427958992.2302576,427958992.23022974,-6.504214098889871e-14,2,5,-0.0009211902016378945,0.00014411002696677712,,,0,0.05,False
memory_um,memory_level,persistence,8,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,-0.00030440075507921153,-0.0261993408203125,1291570370.298706,1291570370.2984016,-2.3568267132731736e-13,-5.540114011060167e-13,1.0591679590905293e-13,0.9124,0.1752,True,True,228173977.45051223,228173977.45095828,1.954873926293274e-12,1597217842.1535857,1597217842.1567082,1.955004538568699e-12,427958992.2302576,427958992.2301782,-1.8551634217818648e-13,4,3,-0.0007317661936330109,0.00012842469671528253,,,0,0.05,False
memory_um,memory_level,persistence,8,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,0.0,0.0,844465442.1477809,844465442.1477809,0.0,0.0,0.0,0.0,1.0,True,True,157380669.84724358,157380669.84724358,0.0,1101664688.930705,1101664688.930705,0.0,271687768.66658604,271687768.66658604,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,8,1,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,0.00027750365635203773,0.0902557373046875,844465442.1477809,844465442.1480584,3.2861457971121426e-13,-1.3761256668318356e-12,2.1226186404726417e-12,0.37,0.74,True,True,157380669.84724358,157380669.8492861,1.2978289958643606e-11,1101664688.930705,1101664688.9450028,1.2978289958643606e-11,271687768.66658604,271687768.6785438,4.401289275640461e-11,3,4,-0.0011931277399758558,0.0016843645615046594,,,0,0.05,False
memory_um,memory_level,persistence,8,1,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,0.00012859714003828304,0.1047210693359375,844465442.1477809,844465442.1479094,1.522823002812454e-13,-1.8440108575752817e-12,2.233129960325909e-12,0.458,0.916,True,True,157380669.84724358,157380669.8487323,9.45932821151109e-12,1101664688.930705,1101664688.941126,9.459355263592078e-12,271687768.66658604,271687768.6933195,9.839772387748507e-11,3,4,-0.001579204904858673,0.0017768285052204577,,,0,0.05,False
memory_um,memory_level,persistence,8,2,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8272,32,5000,0,0.0,0.0,1043003720.7891682,1043003720.7891682,0.0,0.0,0.0,0.0,1.0,True,True,191036776.90411717,191036776.90411717,0.0,1337257438.3288202,1337257438.3288202,0.0,451769564.84332687,451769564.84332687,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,8,2,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8272,32,5000,0,-0.00021766832303724159,-0.01010894775390625,1043003720.7891682,1043003720.7889507,-2.0869371671325115e-13,-3.66116277463649e-13,-5.789918005262431e-14,0.997,0.006,False,False,191036776.90411717,191036776.9045978,2.5158614008002776e-12,1337257438.3288202,1337257438.3321843,2.51566082543326e-12,451769564.84332687,451769564.8418743,-3.2152789966717155e-12,3,4,-0.00038653508376337343,-5.733215140189609e-05,,,0,0.05,False
memory_um,memory_level,persistence,8,2,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8272,32,5000,0,0.0004988712775638071,0.022247314453125,1043003720.7891682,1043003720.7896671,4.783024907968171e-13,1.4176880624322469e-13,8.281029192007945e-13,0.0022,0.0044,False,False,191036776.90411717,191036776.90357944,-2.814763269959658e-12,1337257438.3288202,1337257438.325056,-2.8148301284153303e-12,451769564.84332687,451769564.842899,-9.47036218223618e-13,5,2,0.00014233021948277603,0.0008751566682147786,,,0,0.05,False
memory_um,memory_level,persistence,16,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.0,0.0,1285438902.927975,1285438902.927975,0.0,0.0,0.0,0.0,1.0,True,True,227277894.74342436,227277894.74342436,0.0,1590945263.2039704,1590945263.2039704,0.0,426683283.0427309,426683283.0427309,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,16,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,-1.3385842432627709e-05,-0.0001373291015625,1285438902.927975,1285438902.9279616,-1.0413441200618259e-14,-1.4498108024021488e-14,-6.287340501422321e-15,1.0,0.0,False,False,227277894.74342436,227277894.7426956,-3.206454328385132e-12,1590945263.2039704,1590945263.1988692,-3.206398130997811e-12,426683283.0427309,426683283.0425786,-3.5705516972559984e-13,6,1,-1.8587240568446616e-05,-7.86235843035518e-06,,,0,0.05,False
