hierarchy,base_model,horizon,method_b,top_rel,macro_rel,weighted_rel,worst_rel,machines_improved,machines_degraded,coherence_before,coherence_after,tradeoff_class
cpu_core_weighted,dlinear,1,bottom_up,-0.08033211222054958,0.0,0.0,0.0,0.0,0.0,115.43292676248166,0.0,pareto_improvement
cpu_core_weighted,dlinear,1,mint,-0.07431485558064219,0.013737452951700207,0.013551118275867705,0.027827327671308705,0.6666666666666666,6.333333333333333,115.43292676248166,0.0,pareto_improvement
cpu_core_weighted,dlinear,1,wls,-0.07105145629629979,0.01942900261377509,0.01920538340834697,0.041188163832807545,1.0,6.0,115.43292676248166,0.0,pareto_improvement
cpu_core_weighted,dlinear,8,bottom_up,-0.0676011582599532,0.0,0.0,0.0,0.0,0.0,103.32785712494507,0.0,pareto_improvement
cpu_core_weighted,dlinear,8,mint,-0.06231388992200532,0.011975395984150641,0.0118107721980457,0.02343181523318685,2.0,5.0,103.32785712494507,0.0,pareto_improvement
cpu_core_weighted,dlinear,8,wls,-0.058409543317798095,0.017448166762108377,0.017242992835365508,0.032141303464847344,0.6666666666666666,6.333333333333333,103.32785712494507,0.0,pareto_improvement
cpu_core_weighted,dlinear,16,bottom_up,-0.07228264710683761,0.0,0.0,0.0,0.0,0.0,114.65649143487194,0.0,pareto_improvement
cpu_core_weighted,dlinear,16,mint,-0.06845837585216866,0.011073464463521684,0.010937477228471748,0.02122006041661313,1.3333333333333333,5.666666666666667,114.65649143487194,0.0,pareto_improvement
cpu_core_weighted,dlinear,16,wls,-0.06499978287320822,0.0174778359692219,0.017286699035048345,0.03224026107815787,1.6666666666666667,5.333333333333333,114.65649143487194,0.0,pareto_improvement
cpu_core_weighted,lightgbm,1,bottom_up,-0.09414810693894399,0.0,0.0,0.0,0.0,0.0,157.03696349193052,0.0,pareto_improvement
cpu_core_weighted,lightgbm,1,mint,-0.10226337390817979,0.02635635506944085,0.026368532257882705,0.04687528049545835,2.3333333333333335,4.666666666666667,157.03696349193052,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,1,wls,-0.09997308212784624,0.03319217263605267,0.033849399473963114,0.05061616608253821,1.3333333333333333,5.666666666666667,157.03696349193052,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,8,bottom_up,-0.08744220284360556,0.0,0.0,0.0,0.0,0.0,158.18196279610467,0.0,pareto_improvement
cpu_core_weighted,lightgbm,8,mint,-0.09820252663678584,0.025268382824168115,0.02526817588010057,0.05243003898296562,2.3333333333333335,4.666666666666667,158.18196279610467,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,8,wls,-0.09591606766753352,0.031327887342335305,0.032027311073796014,0.05321721196755738,0.6666666666666666,6.333333333333333,158.18196279610467,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,16,bottom_up,-0.08806629104217817,0.0,0.0,0.0,0.0,0.0,162.3961407986088,0.0,pareto_improvement
cpu_core_weighted,lightgbm,16,mint,-0.09959930245335136,0.026152844594332234,0.026147079307404716,0.04934266183955199,2.3333333333333335,4.666666666666667,162.3961407986088,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,16,wls,-0.09737955540967268,0.033693345268244,0.03437377715924491,0.058010783485193285,1.0,6.0,162.3961407986088,0.0,aggregate_focused_improvement
cpu_core_weighted,persistence,1,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,1,mint,2.2857192848531134e-15,2.395341968033609e-15,2.1526262197547936e-15,-5.262633305249006e-15,1.6666666666666667,2.3333333333333335,0.0,0.0,coherence_only
cpu_core_weighted,persistence,1,wls,7.864312147880854e-15,6.124286228133217e-16,2.3664398010962944e-16,4.1041549242190104e-16,2.3333333333333335,2.6666666666666665,0.0,0.0,coherence_only
cpu_core_weighted,persistence,8,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,8,mint,7.126777529689293e-15,5.507787423593018e-16,4.928817315958366e-16,2.398657150148623e-15,1.6666666666666667,2.3333333333333335,0.0,0.0,coherence_only
cpu_core_weighted,persistence,8,wls,2.1668428919441436e-14,1.0159245200658601e-15,9.39037529691685e-16,8.400908426801319e-15,2.6666666666666665,2.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,16,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,16,mint,-1.4756790506295358e-14,-1.0590006699625296e-15,-1.1859689296535623e-15,7.599796121607354e-15,2.0,1.6666666666666667,0.0,0.0,coherence_only
cpu_core_weighted,persistence,16,wls,2.955935969612384e-14,3.950900933688393e-15,3.703485522929801e-15,1.4108936481426693e-14,2.0,2.3333333333333335,0.0,0.0,coherence_only
cpu_core_weighted,ridge,1,bottom_up,-0.09221097914395905,0.0,0.0,0.0,0.0,0.0,121.90340099508767,0.0,pareto_improvement
cpu_core_weighted,ridge,1,mint,-0.08706728224732642,0.011181866363701077,0.01105224680638959,0.018392795161924498,1.3333333333333333,5.666666666666667,121.90340099508767,0.0,pareto_improvement
cpu_core_weighted,ridge,1,wls,-0.0817013091397829,0.02012912287816469,0.01990384339603073,0.04023442662635788,0.3333333333333333,6.666666666666667,121.90340099508767,0.0,aggregate_focused_improvement
cpu_core_weighted,ridge,8,bottom_up,-0.09549774583257682,0.0,0.0,0.0,0.0,0.0,121.02390566609495,0.0,pareto_improvement
cpu_core_weighted,ridge,8,mint,-0.08919202515113837,0.011924587676141159,0.011788884593855345,0.020784922576243512,1.0,6.0,121.02390566609495,0.0,pareto_improvement
cpu_core_weighted,ridge,8,wls,-0.08232944185667491,0.022599579848607013,0.022341850978135017,0.047431970725504646,0.3333333333333333,6.666666666666667,121.02390566609495,0.0,aggregate_focused_improvement
cpu_core_weighted,ridge,16,bottom_up,-0.09558844970598594,0.0,0.0,0.0,0.0,0.0,120.91612680330745,0.0,pareto_improvement
cpu_core_weighted,ridge,16,mint,-0.08935714491454855,0.012032930667129132,0.011880274759141241,0.019276809654207094,1.0,6.0,120.91612680330745,0.0,pareto_improvement
cpu_core_weighted,ridge,16,wls,-0.08220471800743977,0.02306749281512632,0.022791404199811526,0.041282459990221336,0.6666666666666666,6.333333333333333,120.91612680330745,0.0,aggregate_focused_improvement
disk_ud,lightgbm,1,bottom_up,6.22710157939919,0.0,0.0,0.0,0.0,0.0,51578077685.37145,0.0,accuracy_costly_coherence
disk_ud,lightgbm,1,mint,2.6872251070157778,-0.08395930172127226,-0.0839593017212724,0.020358578942686237,3.6666666666666665,3.3333333333333335,51578077685.37145,0.0,accuracy_costly_coherence
disk_ud,lightgbm,1,top_down,0.0,0.04628007930519262,0.04628007930519259,-0.08176880491687544,2.6666666666666665,4.333333333333333,51578077685.37145,7.0834837862155e-05,accuracy_costly_coherence
