hierarchy,model,horizon,fold,method,mean_mae,std_mae,cv,min_mae,max_mae,best_seed,worst_seed,identical_hashes,max_pred_abs_diff,stability_class,seed0_mae,seed1_mae,seed2_mae
cpu_core_weighted,lightgbm,1,0,independent,1.1094787687062333,0.0,0.0,1.1094787687062333,1.1094787687062333,0,0,True,0.0,seed_invariant,1.1094787687062333,1.1094787687062333,1.1094787687062333
cpu_core_weighted,lightgbm,1,0,bottom_up,1.0059544225288457,0.0,0.0,1.0059544225288457,1.0059544225288457,0,0,True,0.0,seed_invariant,1.0059544225288457,1.0059544225288457,1.0059544225288457
cpu_core_weighted,lightgbm,1,0,wls,0.9998981625281598,0.0,0.0,0.9998981625281598,0.9998981625281598,0,0,True,0.0,seed_invariant,0.9998981625281598,0.9998981625281598,0.9998981625281598
cpu_core_weighted,lightgbm,1,0,mint,0.9977431249325431,0.0,0.0,0.9977431249325431,0.9977431249325431,0,0,True,0.0,seed_invariant,0.9977431249325431,0.9977431249325431,0.9977431249325431
cpu_core_weighted,lightgbm,1,1,independent,0.845825083496615,0.0,0.0,0.845825083496615,0.845825083496615,0,0,True,0.0,seed_invariant,0.845825083496615,0.845825083496615,0.845825083496615
cpu_core_weighted,lightgbm,1,1,bottom_up,0.7805449359194853,1.1102230246251565e-16,1.422369134093874e-16,0.7805449359194851,0.7805449359194851,0,0,True,0.0,seed_invariant,0.7805449359194851,0.7805449359194851,0.7805449359194851
cpu_core_weighted,lightgbm,1,1,wls,0.7733649699892714,1.1102230246251565e-16,1.435574492907997e-16,0.7733649699892713,0.7733649699892713,0,0,True,0.0,seed_invariant,0.7733649699892713,0.7733649699892713,0.7733649699892713
cpu_core_weighted,lightgbm,1,1,mint,0.7730862362246635,0.0,0.0,0.7730862362246635,0.7730862362246635,0,0,True,0.0,seed_invariant,0.7730862362246635,0.7730862362246635,0.7730862362246635
cpu_core_weighted,lightgbm,1,2,independent,1.1492168649705437,0.0,0.0,1.1492168649705437,1.1492168649705437,0,0,True,0.0,seed_invariant,1.1492168649705437,1.1492168649705437,1.1492168649705437
cpu_core_weighted,lightgbm,1,2,bottom_up,1.0205550544242874,0.0,0.0,1.0205550544242874,1.0205550544242874,0,0,True,0.0,seed_invariant,1.0205550544242874,1.0205550544242874,1.0205550544242874
cpu_core_weighted,lightgbm,1,2,wls,1.0165011232696677,0.0,0.0,1.0165011232696677,1.0165011232696677,0,0,True,0.0,seed_invariant,1.0165011232696677,1.0165011232696677,1.0165011232696677
cpu_core_weighted,lightgbm,1,2,mint,1.0112159355198143,0.0,0.0,1.0112159355198143,1.0112159355198143,0,0,True,0.0,seed_invariant,1.0112159355198143,1.0112159355198143,1.0112159355198143
cpu_core_weighted,lightgbm,8,0,independent,1.08977444725631,0.0,0.0,1.08977444725631,1.08977444725631,0,0,True,0.0,seed_invariant,1.08977444725631,1.08977444725631,1.08977444725631
cpu_core_weighted,lightgbm,8,0,bottom_up,0.9965505384455932,0.0,0.0,0.9965505384455932,0.9965505384455932,0,0,True,0.0,seed_invariant,0.9965505384455932,0.9965505384455932,0.9965505384455932
cpu_core_weighted,lightgbm,8,0,wls,0.9863593395653419,0.0,0.0,0.9863593395653419,0.9863593395653419,0,0,True,0.0,seed_invariant,0.9863593395653419,0.9863593395653419,0.9863593395653419
cpu_core_weighted,lightgbm,8,0,mint,0.9801360741347102,0.0,0.0,0.9801360741347102,0.9801360741347102,0,0,True,0.0,seed_invariant,0.9801360741347102,0.9801360741347102,0.9801360741347102
cpu_core_weighted,lightgbm,8,1,independent,0.8619293246865777,0.0,0.0,0.8619293246865777,0.8619293246865777,0,0,True,0.0,seed_invariant,0.8619293246865777,0.8619293246865777,0.8619293246865777
cpu_core_weighted,lightgbm,8,1,bottom_up,0.794109324195644,0.0,0.0,0.794109324195644,0.794109324195644,0,0,True,0.0,seed_invariant,0.794109324195644,0.794109324195644,0.794109324195644
cpu_core_weighted,lightgbm,8,1,wls,0.7873944212939675,0.0,0.0,0.7873944212939675,0.7873944212939675,0,0,True,0.0,seed_invariant,0.7873944212939675,0.7873944212939675,0.7873944212939675
cpu_core_weighted,lightgbm,8,1,mint,0.7877895503581098,0.0,0.0,0.7877895503581098,0.7877895503581098,0,0,True,0.0,seed_invariant,0.7877895503581098,0.7877895503581098,0.7877895503581098
cpu_core_weighted,lightgbm,8,2,independent,1.132114434314775,0.0,0.0,1.132114434314775,1.132114434314775,0,0,True,0.0,seed_invariant,1.132114434314775,1.132114434314775,1.132114434314775
cpu_core_weighted,lightgbm,8,2,bottom_up,1.021055775499171,0.0,0.0,1.021055775499171,1.021055775499171,0,0,True,0.0,seed_invariant,1.021055775499171,1.021055775499171,1.021055775499171
cpu_core_weighted,lightgbm,8,2,wls,1.0116825627701151,0.0,0.0,1.0116825627701151,1.0116825627701151,0,0,True,0.0,seed_invariant,1.0116825627701151,1.0116825627701151,1.0116825627701151
cpu_core_weighted,lightgbm,8,2,mint,1.0098630269075288,0.0,0.0,1.0098630269075288,1.0098630269075288,0,0,True,0.0,seed_invariant,1.0098630269075288,1.0098630269075288,1.0098630269075288
cpu_core_weighted,lightgbm,16,0,independent,1.117143297745833,0.0,0.0,1.117143297745833,1.117143297745833,0,0,True,0.0,seed_invariant,1.117143297745833,1.117143297745833,1.117143297745833
cpu_core_weighted,lightgbm,16,0,bottom_up,1.0307048936504906,0.0,0.0,1.0307048936504906,1.0307048936504906,0,0,True,0.0,seed_invariant,1.0307048936504906,1.0307048936504906,1.0307048936504906
cpu_core_weighted,lightgbm,16,0,wls,1.0180193510570834,0.0,0.0,1.0180193510570834,1.0180193510570834,0,0,True,0.0,seed_invariant,1.0180193510570834,1.0180193510570834,1.0180193510570834
cpu_core_weighted,lightgbm,16,0,mint,1.0129957773486316,0.0,0.0,1.0129957773486316,1.0129957773486316,0,0,True,0.0,seed_invariant,1.0129957773486316,1.0129957773486316,1.0129957773486316
cpu_core_weighted,lightgbm,16,1,independent,0.8648501103571508,0.0,0.0,0.8648501103571508,0.8648501103571508,0,0,True,0.0,seed_invariant,0.8648501103571508,0.8648501103571508,0.8648501103571508
cpu_core_weighted,lightgbm,16,1,bottom_up,0.7993938475030506,0.0,0.0,0.7993938475030506,0.7993938475030506,0,0,True,0.0,seed_invariant,0.7993938475030506,0.7993938475030506,0.7993938475030506
cpu_core_weighted,lightgbm,16,1,wls,0.7892731254510011,0.0,0.0,0.7892731254510011,0.7892731254510011,0,0,True,0.0,seed_invariant,0.7892731254510011,0.7892731254510011,0.7892731254510011
cpu_core_weighted,lightgbm,16,1,mint,0.7901883349375972,0.0,0.0,0.7901883349375972,0.7901883349375972,0,0,True,0.0,seed_invariant,0.7901883349375972,0.7901883349375972,0.7901883349375972
cpu_core_weighted,lightgbm,16,2,independent,1.1549701444181844,0.0,0.0,1.1549701444181844,1.1549701444181844,0,0,True,0.0,seed_invariant,1.1549701444181844,1.1549701444181844,1.1549701444181844
cpu_core_weighted,lightgbm,16,2,bottom_up,1.0266075964353594,0.0,0.0,1.0266075964353594,1.0266075964353594,0,0,True,0.0,seed_invariant,1.0266075964353594,1.0266075964353594,1.0266075964353594
cpu_core_weighted,lightgbm,16,2,wls,1.020968838113624,0.0,0.0,1.020968838113624,1.020968838113624,0,0,True,0.0,seed_invariant,1.020968838113624,1.020968838113624,1.020968838113624
cpu_core_weighted,lightgbm,16,2,mint,1.0172490640950174,0.0,0.0,1.0172490640950174,1.0172490640950174,0,0,True,0.0,seed_invariant,1.0172490640950174,1.0172490640950174,1.0172490640950174
cpu_core_weighted,dlinear,1,0,independent,1.327244702569006,0.010863419406970906,0.008184940867304834,1.3150739218475103,1.3414495075816595,0,2,False,914.1844638040582,practically_seed_stable,1.3150739218475103,1.3252106782778486,1.3414495075816595
cpu_core_weighted,dlinear,1,0,bottom_up,1.2286111162912443,0.011387946293657926,0.009268959187048731,1.2201163911590962,1.2447078549960775,1,2,False,914.1844638040582,practically_seed_stable,1.2210091027185592,1.2201163911590962,1.2447078549960775
cpu_core_weighted,dlinear,1,0,wls,1.2412461214528523,0.011060751361072879,0.00891100577871414,1.232060976643216,1.2568038736157374,0,2,False,914.1844638040582,practically_seed_stable,1.232060976643216,1.2348735140996034,1.2568038736157374
cpu_core_weighted,dlinear,1,0,mint,1.2326491652866836,0.011305454766621524,0.009171672755720527,1.224241249457534,1.2486302270378407,0,2,False,914.1844638040582,practically_seed_stable,1.224241249457534,1.2250760193646761,1.2486302270378407
cpu_core_weighted,dlinear,1,1,independent,1.031741137487991,0.0040028657786289655,0.003879719081837577,1.0281708996512142,1.0373307869955866,1,0,False,251.65831053786997,practically_seed_stable,1.0373307869955866,1.0281708996512142,1.0297217258171718
cpu_core_weighted,dlinear,1,1,bottom_up,0.9199459731765742,0.005745369267596724,0.006245333351216222,0.914708149667674,0.9279442720428407,0,2,False,251.65831053786997,practically_seed_stable,0.914708149667674,0.9171854978192078,0.9279442720428407
cpu_core_weighted,dlinear,1,1,wls,0.9374831619080309,0.002468168672960542,0.0026327605371995735,0.9355919932375958,0.9409694933168962,1,2,False,251.65831053786997,practically_seed_stable,0.9358879991696009,0.9355919932375958,0.9409694933168962
cpu_core_weighted,dlinear,1,1,mint,0.9363014018344346,0.002919133008808906,0.0031177279058747943,0.9341661836274086,0.9404288538572761,0,2,False,251.65831053786997,practically_seed_stable,0.9341661836274086,0.9343091680186191,0.9404288538572761
cpu_core_weighted,dlinear,1,2,independent,1.386295937057735,0.005945899914056636,0.004289055284022669,1.3797603690185691,1.3941457895497487,2,0,False,662.8703686428662,practically_seed_stable,1.3941457895497487,1.3849816526048875,1.3797603690185691
cpu_core_weighted,dlinear,1,2,bottom_up,1.3134893666564533,0.012538449202529972,0.009545908418312637,1.295761435674019,1.3226841038486563,2,0,False,662.8703686428662,practically_seed_stable,1.3226841038486563,1.3220225604466844,1.295761435674019
cpu_core_weighted,dlinear,1,2,wls,1.3084986187466696,0.009929024847717996,0.007588104951328415,1.2971269129392664,1.3213183017515375,2,0,False,662.8703686428662,practically_seed_stable,1.3213183017515375,1.3070506415492051,1.2971269129392664
cpu_core_weighted,dlinear,1,2,mint,1.3060369245465508,0.01037733961962196,0.00794567092597701,1.2929018380128785,1.3182733206679043,2,0,False,662.8703686428662,practically_seed_stable,1.3182733206679043,1.3069356149588696,1.2929018380128785
cpu_core_weighted,dlinear,8,0,independent,1.311862105453675,0.016939052510877187,0.012912220301553139,1.2969408053016054,1.3355527694323,0,2,False,917.4514284574511,moderately_seed_sensitive,1.2969408053016054,1.3030927416271199,1.3355527694323
cpu_core_weighted,dlinear,8,0,bottom_up,1.2325442781067657,0.02506658055225491,0.020337265766028397,1.2041326979239408,1.2651099912511272,0,2,False,917.4514284574511,moderately_seed_sensitive,1.2041326979239408,1.228390145145229,1.2651099912511272
cpu_core_weighted,dlinear,8,0,wls,1.2431829453258614,0.021009971507696706,0.01690014457380575,1.2215810718434477,1.2716515828418913,0,2,False,917.4514284574511,moderately_seed_sensitive,1.2215810718434477,1.236316181292245,1.2716515828418913
