run_id,model,family,target,fold_maes,fold_mase,fold_mase_valid,fold_persistence_maes,mean_mae,std_mae,mean_valid_mase,n_valid_mase_folds,mean_persistence_mae,rel_mae_vs_persistence,alpha,n_estimators,learning_rate,num_leaves,enabled,eligibility_reason,fold0_mae,fold1_mae,fold2_mae
ridge_cpu_alpha=0.0001,ridge,cpu,cluster_mean_CU,"[0.5558641610001667, 1.4008613591624905, 0.799425208240447]","[0.5428660222008389, 1.2877620642961602, 0.6806577332176912]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.9187169094677015,0.35513185223877414,0.8370952732382301,3.0,0.9669952574062425,0.9500738524116061,0.0001,,,,,,,,
ridge_cpu_alpha=0.01,ridge,cpu,cluster_mean_CU,"[0.5558641368854682, 1.4008613306991335, 0.799425190802804]","[0.5428659986500303, 1.2877620381308077, 0.6806577183706906]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.9187168861291353,0.3551318495231641,0.8370952517171761,3.0,0.9669952574062425,0.9500738282764658,0.01,,,,,,,,
ridge_cpu_alpha=1.0,ridge,cpu,cluster_mean_CU,"[0.5558617254934817, 1.4008584844450993, 0.7994234470622155]","[0.5428636436452152, 1.287759421670623, 0.680656233690818]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.9187145523335989,0.35513157797013367,0.8370930996688853,3.0,0.9669952574062425,0.950071414825605,1.0,,,,,,,,
ridge_cpu_alpha=100.0,ridge,cpu,cluster_mean_CU,"[0.5556213623012747, 1.4005746728472979, 0.7992509873643016]","[0.5426289010242804, 1.2874985237547332, 0.6805093956553852]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.9184823408376247,0.3551043142411175,0.8368789401447995,3.0,0.9669952574062425,0.9498312776644393,100.0,,,,,,,,
ridge_cpu_alpha=10000.0,ridge,cpu,cluster_mean_CU,"[0.5480575330286852, 1.3847922266487687, 0.7867297869910093]","[0.5352419417671326, 1.2729902818339112, 0.6698484210258657]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.9065265155561543,0.35194192608824637,0.8260268815423032,3.0,0.9669952574062425,0.9374673852979563,10000.0,,,,,,,,
ridge_memory_alpha=0.0001,ridge,memory,cluster_UM,"[386994601.9324979, 1321398796.2695172, 573215856.6222786]","[0.44576686199282334, 1.3541499332467437, 0.5433255730223641]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",760536418.2747645,403810635.6631415,0.7810807894206437,3.0,765091181.0867893,0.9940467712546956,0.0001,,,,,,,,
ridge_memory_alpha=0.01,ridge,memory,cluster_UM,"[386994601.9324979, 1321398796.2695172, 573215856.6222786]","[0.44576686199282334, 1.3541499332467437, 0.5433255730223641]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",760536418.2747645,403810635.6631415,0.7810807894206437,3.0,765091181.0867893,0.9940467712546956,0.01,,,,,,,,
ridge_memory_alpha=1.0,ridge,memory,cluster_UM,"[386994601.9324979, 1321398796.2695172, 573215856.6222786]","[0.44576686199282334, 1.3541499332467437, 0.5433255730223641]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",760536418.2747645,403810635.6631415,0.7810807894206437,3.0,765091181.0867893,0.9940467712546956,1.0,,,,,,,,
ridge_memory_alpha=100.0,ridge,memory,cluster_UM,"[386994601.9324979, 1321398796.2695172, 573215856.6222786]","[0.44576686199282334, 1.3541499332467437, 0.5433255730223641]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",760536418.2747645,403810635.6631415,0.7810807894206437,3.0,765091181.0867893,0.9940467712546956,100.0,,,,,,,,
ridge_memory_alpha=10000.0,ridge,memory,cluster_UM,"[386994601.9324979, 1321398796.2695172, 573215856.6222786]","[0.44576686199282334, 1.3541499332467437, 0.5433255730223641]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",760536418.2747645,403810635.6631415,0.7810807894206437,3.0,765091181.0867893,0.9940467712546956,10000.0,,,,,,,,
