hierarchy,fold,horizon,seed,reconciliation_method,base_model,source,top_mae_native,top_mae_report,top_rmse_report,top_r2,mase,mase_valid,coherence_error_before,coherence_error_after,is_coherent_after,bottom_mae_mean_native,bottom_mae_weighted_native,worst_machine_mae_native,neg_pred_rate,prediction_hash,model_config_hash,cpu_core_total,report_unit,rel_mae_vs_independent,pct_vs_independent,persistence_mae_native,ewma_mae_native,ridge_mae_native,strongest_det_mae_native,strongest_det_name,rel_mae_vs_persistence,rel_mae_vs_ewma,rel_mae_vs_ridge,rel_mae_vs_strongest_det
memory_um,0,1,0,independent,lightgbm,experiment-freeze-v2:memory_classical,1848635679.4026902,1848635679.4026902,4323715572.058664,0.4054405889542396,2.129385065477079,True,1491534985.8369813,1491534985.8369813,False,506790526.9619207,506790526.9619206,1186296378.234332,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.0,0.0,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.42845106698044,1.4366402479688603,1.3605970062035477,1.4366402479688603
memory_um,0,1,0,bottom_up,lightgbm,experiment-freeze-v2:memory_classical,2075080793.3826785,2075080793.3826785,4039951599.535236,0.48092113289936866,2.3902200419041493,True,1491534985.8369813,0.0,True,506790526.9619207,506790526.9619206,1186296378.234332,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.122493099372157,12.249309937215692,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.6034264654763384,1.61261876462535,1.527260750489898,1.61261876462535
memory_um,0,1,0,wls,lightgbm,experiment-freeze-v2:memory_classical,1868845404.0685003,1868845404.0685003,4018469300.736752,0.48642682251312297,2.152664009165261,True,1491534985.8369813,0.0,True,522887013.1767534,522887013.1767534,1185538040.141952,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.0109322376988525,1.0932237698852543,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.4440672335858498,1.4523459406473944,1.3754713760877122,1.4523459406473944
memory_um,0,1,0,mint,lightgbm,experiment-freeze-v2:memory_classical,1832887965.9285433,1832887965.9285433,4046036843.300323,0.4793562129740292,2.111245771585437,True,1491534985.8369813,0.0,True,536030867.676578,536030867.6765779,1185513850.6278994,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,0.9914814402591023,-0.8518559740897658,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.416282721229418,1.4244021421903594,1.3490066793229163,1.4244021421903594
memory_um,0,1,1,independent,lightgbm,robustness_extension,1848635679.4026902,1848635679.4026902,4323715572.058664,0.4054405889542396,2.129385065477079,True,1491534985.8369813,1491534985.8369813,False,506790526.9619207,506790526.9619206,1186296378.234332,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.0,0.0,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.42845106698044,1.4366402479688603,1.3605970062035477,1.4366402479688603
memory_um,0,1,1,bottom_up,lightgbm,robustness_extension,2075080793.3826785,2075080793.3826785,4039951599.535236,0.48092113289936866,2.3902200419041493,True,1491534985.8369813,0.0,True,506790526.9619207,506790526.9619206,1186296378.234332,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.122493099372157,12.249309937215692,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.6034264654763384,1.61261876462535,1.527260750489898,1.61261876462535
memory_um,0,1,1,wls,lightgbm,robustness_extension,1868845404.0685003,1868845404.0685003,4018469300.736752,0.48642682251312297,2.152664009165261,True,1491534985.8369813,0.0,True,522887013.1767534,522887013.1767534,1185538040.141952,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.0109322376988525,1.0932237698852543,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.4440672335858498,1.4523459406473944,1.3754713760877122,1.4523459406473944
memory_um,0,1,1,mint,lightgbm,robustness_extension,1832887965.9285433,1832887965.9285433,4046036843.300323,0.4793562129740292,2.111245771585437,True,1491534985.8369813,0.0,True,536030867.676578,536030867.6765779,1185513850.6278994,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,0.9914814402591023,-0.8518559740897658,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.416282721229418,1.4244021421903594,1.3490066793229163,1.4244021421903594
memory_um,0,1,2,independent,lightgbm,robustness_extension,1848635679.4026902,1848635679.4026902,4323715572.058664,0.4054405889542396,2.129385065477079,True,1491534985.8369813,1491534985.8369813,False,506790526.9619207,506790526.9619206,1186296378.234332,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.0,0.0,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.42845106698044,1.4366402479688603,1.3605970062035477,1.4366402479688603
memory_um,0,1,2,bottom_up,lightgbm,robustness_extension,2075080793.3826785,2075080793.3826785,4039951599.535236,0.48092113289936866,2.3902200419041493,True,1491534985.8369813,0.0,True,506790526.9619207,506790526.9619206,1186296378.234332,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.122493099372157,12.249309937215692,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.6034264654763384,1.61261876462535,1.527260750489898,1.61261876462535
memory_um,0,1,2,wls,lightgbm,robustness_extension,1868845404.0685003,1868845404.0685003,4018469300.736752,0.48642682251312297,2.152664009165261,True,1491534985.8369813,0.0,True,522887013.1767534,522887013.1767534,1185538040.141952,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,1.0109322376988525,1.0932237698852543,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.4440672335858498,1.4523459406473944,1.3754713760877122,1.4523459406473944
memory_um,0,1,2,mint,lightgbm,robustness_extension,1832887965.9285433,1832887965.9285433,4046036843.300323,0.4793562129740292,2.111245771585437,True,1491534985.8369813,0.0,True,536030867.676578,536030867.6765779,1185513850.6278994,0.0,2e79f28c7a72daca,a713a7d880913afd,,native,0.9914814402591023,-0.8518559740897658,1294154012.0869985,1286777035.528772,1358694507.6124406,1286777035.528772,ewma,1.416282721229418,1.4244021421903594,1.3490066793229163,1.4244021421903594
memory_um,0,8,0,independent,lightgbm,experiment-freeze-v2:memory_classical,1526324191.3500135,1526324191.3500135,4156822097.374131,0.44900834492374464,1.7567630831554606,True,1792691829.1344185,1792691829.1344185,False,506382941.607602,506382941.607602,1174995716.2805135,0.0,7b05550d9de97f51,a713a7d880913afd,,native,1.0,0.0,1291570370.298706,1284254786.1130323,1357156730.239117,1284254786.1130323,ewma,1.1817584441775442,1.188490171774743,1.1246484339956013,1.188490171774743
memory_um,0,8,0,bottom_up,lightgbm,experiment-freeze-v2:memory_classical,2008866215.1720126,2008866215.1720126,4015877007.333356,0.48573975547747794,2.3121575519883373,True,1792691829.1344185,0.0,True,506382941.607602,506382941.607602,1174995716.2805135,0.0,7b05550d9de97f51,a713a7d880913afd,,native,1.316146482219611,31.614648221961094,1291570370.298706,1284254786.1130323,1357156730.239117,1284254786.1130323,ewma,1.5553672191375953,1.564227158733909,1.480202080137105,1.564227158733909
memory_um,0,8,0,wls,lightgbm,experiment-freeze-v2:memory_classical,1616183556.0337863,1616183556.0337863,3909966922.8952174,0.5125070807105921,1.860189088880122,True,1792691829.1344185,0.0,True,535715187.2514022,535715187.2514022,1158612420.2120178,0.0,7b05550d9de97f51,a713a7d880913afd,,native,1.0588730527846075,5.887305278460753,1291570370.298706,1284254786.1130323,1357156730.239117,1284254786.1130323,ewma,1.2513321714402645,1.2584602163916245,1.1908599206143504,1.2584602163916245
memory_um,0,8,0,mint,lightgbm,experiment-freeze-v2:memory_classical,1758572960.419478,1758572960.419478,3929155369.1425643,0.5077105260860358,2.024075929221706,True,1792691829.1344185,0.0,True,528429739.88751686,528429739.8875168,1165246761.1729977,0.0,7b05550d9de97f51,a713a7d880913afd,,native,1.1521621490281455,15.216214902814551,1291570370.298706,1284254786.1130323,1357156730.239117,1284254786.1130323,ewma,1.361577348675757,1.3693333904108176,1.2957773566135105,1.3693333904108176
memory_um,0,8,1,independent,lightgbm,robustness_extension,1526324191.3500135,1526324191.3500135,4156822097.374131,0.44900834492374464,1.7567630831554606,True,1792691829.1344185,1792691829.1344185,False,506382941.607602,506382941.607602,1174995716.2805135,0.0,7b05550d9de97f51,a713a7d880913afd,,native,1.0,0.0,1291570370.298706,1284254786.1130323,1357156730.239117,1284254786.1130323,ewma,1.1817584441775442,1.188490171774743,1.1246484339956013,1.188490171774743
memory_um,0,8,1,bottom_up,lightgbm,robustness_extension,2008866215.1720126,2008866215.1720126,4015877007.333356,0.48573975547747794,2.3121575519883373,True,1792691829.1344185,0.0,True,506382941.607602,506382941.607602,1174995716.2805135,0.0,7b05550d9de97f51,a713a7d880913afd,,native,1.316146482219611,31.614648221961094,1291570370.298706,1284254786.1130323,1357156730.239117,1284254786.1130323,ewma,1.5553672191375953,1.564227158733909,1.480202080137105,1.564227158733909
memory_um,0,8,1,wls,lightgbm,robustness_extension,1616183556.0337863,1616183556.0337863,3909966922.8952174,0.5125070807105921,1.860189088880122,True,1792691829.1344185,0.0,True,535715187.2514022,535715187.2514022,1158612420.2120178,0.0,7b05550d9de97f51,a713a7d880913afd,,native,1.0588730527846075,5.887305278460753,1291570370.298706,1284254786.1130323,1357156730.239117,1284254786.1130323,ewma,1.2513321714402645,1.2584602163916245,1.1908599206143504,1.2584602163916245
