hierarchy,fold,horizon,method,ewma_alpha,ewma_top_mae,comparator,comparator_top_mae,rel_mae_vs_comparator,pct_change_vs_comparator
memory_um,1,16,mint,0.9,835569802.726859,ridge,788200179.1092962,1.0600984684767425,6.0098468476742495
memory_um,1,16,mint,0.9,835569802.726859,lightgbm,1355061135.6553676,0.6166288595700447,-38.33711404299554
memory_um,2,1,independent,0.9,1034898874.6414587,persistence,1042314122.8689456,0.9928857835994043,-0.711421640059573
memory_um,2,1,independent,0.9,1034898874.6414587,ridge,1062872941.5920458,0.9736807045735066,-2.631929542649336
memory_um,2,1,independent,0.9,1034898874.6414587,lightgbm,1263368437.7287288,0.8191584052091642,-18.084159479083585
memory_um,2,1,bottom_up,0.9,1034898874.6414587,persistence,1042314122.8689456,0.9928857835994043,-0.711421640059573
memory_um,2,1,bottom_up,0.9,1034898874.6414587,ridge,1104382836.436448,0.937083446516431,-6.291655348356895
memory_um,2,1,bottom_up,0.9,1034898874.6414587,lightgbm,1173657905.0886176,0.8817721673022926,-11.822783269770742
memory_um,2,1,wls,0.9,1034898874.6404,persistence,1042314122.8677672,0.992885783599511,-0.7114216400489037
memory_um,2,1,wls,0.9,1034898874.6404,ridge,1063609034.760056,0.9730068482107875,-2.6993151789212466
memory_um,2,1,wls,0.9,1034898874.6404,lightgbm,1167809504.6159296,0.8861880902234639,-11.38119097765361
memory_um,2,1,mint,0.9,1034898874.637866,persistence,1042314122.8727452,0.9928857835923379,-0.7114216407662077
memory_um,2,1,mint,0.9,1034898874.637866,ridge,1063028098.595265,0.9735385884958542,-2.6461411504145826
memory_um,2,1,mint,0.9,1034898874.637866,lightgbm,1166472261.9314036,0.8872040153996607,-11.279598460033935
memory_um,2,8,independent,0.9,1035591176.3913442,persistence,1043003720.7891682,0.9928930796217913,-0.7106920378208703
memory_um,2,8,independent,0.9,1035591176.3913442,ridge,1063739741.8137752,0.9735381086971189,-2.6461891302881124
memory_um,2,8,independent,0.9,1035591176.3913442,lightgbm,1262294522.4928114,0.820403763098197,-17.959623690180305
memory_um,2,8,bottom_up,0.9,1035591176.3913442,persistence,1043003720.7891682,0.9928930796217913,-0.7106920378208703
memory_um,2,8,bottom_up,0.9,1035591176.3913442,ridge,1105377507.130977,0.9368665181900035,-6.313348180999645
memory_um,2,8,bottom_up,0.9,1035591176.3913442,lightgbm,1167561614.072031,0.8869691876727415,-11.303081232725853
