hierarchy,horizon,mean_top_mae,std_top_mae,n_folds,mean_coherence_before,mean_coherence_after
cpu_core_weighted,1,311.3603183078871,47.50864960508429,3,8.707022796286805e-14,8.707022796286805e-14
cpu_core_weighted,8,310.41280768270786,43.586594376058045,3,8.725990024545224e-14,8.725990024545224e-14
cpu_core_weighted,16,313.1359797450148,45.80400880125393,3,8.733551366505272e-14,8.733551366505272e-14
disk_ud,1,1556673682.1317635,371017993.6730829,3,6.356967206176873e-05,6.356967206176873e-05
disk_ud,8,1557941859.4208577,371308252.5932881,3,6.356935631608872e-05,6.356935631608872e-05
memory_um,1,1052070030.2227308,226609877.14484528,3,7.169443519205877e-06,7.169443519205877e-06
memory_um,8,1051639298.9974452,225021032.85669422,3,7.171821822982361e-06,7.171821822982361e-06
memory_um,16,1050100532.5323539,221732036.70466796,3,7.173225183687538e-06,7.173225183687538e-06
