hierarchy,unit,base_model,horizon,fold,method_a,method_b,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,ci_low,ci_high,prob_reconciliation_improves,p_value_raw,ci_crosses_zero,effect_class,outcome,correction_family,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,coherence_before,coherence_after,tradeoff_class,npz_path,p_value_holm,reject_holm_0.05,family_size,alpha,ci_low_rel,ci_high_rel
memory_um,memory_level,persistence,8,0,independent,wls,8269,32,1000,0,-0.0003909527253522,-0.03228759765625,1291570370.298706,1291570370.298315,-3.0273725591593824e-13,-0.0009465604988086,0.0001227135842217,0.93,0.14,True,accuracy_neutral,tie,memory_persistence,228173977.45051223,228173977.45110172,2.5835108079161457e-12,187733491.3794842,187733491.38009408,3.248619736736249e-12,427958992.2302576,427958992.2302296,-6.532069405523232e-14,2,5,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,1.0,False,27.0,0.05,-7.328756687021906e-13,9.501114847758516e-14
memory_um,memory_level,persistence,8,0,independent,mint,8269,32,1000,0,-0.0003044007550792,-0.0261993408203125,1291570370.298706,1291570370.2984016,-2.357289486613739e-13,-0.0007520150901876,0.000110210797449,0.922,0.156,True,accuracy_neutral,tie,memory_persistence,228173977.45051223,228173977.45096025,1.9633637241959303e-12,187733491.3794842,187733491.37995985,2.5336185984319065e-12,427958992.2302576,427958992.2301779,-1.8621272484402054e-13,4,3,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,1.0,False,27.0,0.05,-5.822486389291191e-13,8.533084993542486e-14
memory_um,memory_level,persistence,8,1,independent,bottom_up,8269,32,1000,0,0.0,0.0,844465442.1477809,844465442.1477809,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,157380669.84724358,157380669.84724358,0.0,132768384.8770438,132768384.8770438,0.0,271687768.66658604,271687768.66658604,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,1.0,False,27.0,0.05,0.0,0.0
memory_um,memory_level,persistence,8,1,independent,wls,8269,32,1000,0,0.000277503656352,0.0902557373046875,844465442.1477809,844465442.1480584,3.286330170816547e-13,-0.0011525295625244,0.0016267949716833,0.376,0.752,True,accuracy_neutral,tie,memory_persistence,157380669.84724358,157380669.84928608,1.2978100594076685e-11,132768384.8770438,132768384.8791916,1.6176997045083344e-11,271687768.66658604,271687768.6785433,4.4011137663930104e-11,3,4,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,1.0,False,27.0,0.05,-1.3648037030302868e-12,1.9264198278449052e-12
memory_um,memory_level,persistence,8,1,independent,mint,8269,32,1000,0,0.0001285971400382,0.1047210693359375,844465442.1477809,844465442.1479094,1.5217628540121299e-13,-0.0015593360479227,0.0016853929012887,0.467,0.934,True,accuracy_neutral,tie,memory_persistence,157380669.84724358,157380669.84873253,9.460843128046476e-12,132768384.8770438,132768384.8789621,1.4448364999734687e-11,271687768.66658604,271687768.6933191,9.839618817156987e-11,3,4,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,1.0,False,27.0,0.05,-1.8465362465949403e-12,1.995810387459002e-12
memory_um,memory_level,persistence,8,2,independent,bottom_up,8272,32,1000,0,0.0,0.0,1043003720.7891682,1043003720.7891682,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,191036776.90411717,191036776.90411717,0.0,160512950.6227378,160512950.6227378,0.0,451769564.84332687,451769564.84332687,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,1.0,False,27.0,0.05,0.0,0.0
memory_um,memory_level,persistence,8,2,independent,wls,8272,32,1000,0,-0.0002176683230372,-0.0101089477539062,1043003720.7891682,1043003720.7889508,-2.085869389474139e-13,-0.0003882734180649,-5.320644932051462e-05,0.997,0.006,False,accuracy_neutral,tie,memory_persistence,191036776.90411717,191036776.90459737,2.5136773579149794e-12,160512950.6227378,160512950.62327012,3.316424502968457e-12,451769564.84332687,451769564.84187067,-3.2233270893593224e-12,3,4,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,0.138,False,27.0,0.05,-3.7226465287306987e-13,-5.101271285998578e-14
memory_um,memory_level,persistence,8,2,independent,mint,8272,32,1000,0,0.0004988712775638,0.022247314453125,1043003720.7891682,1043003720.7896672,4.783212819150286e-13,0.0001323920845754,0.0008800269095533,0.002,0.004,False,accuracy_neutral,tie,memory_persistence,191036776.90411717,191036776.90357807,-2.821939410868495e-12,160512950.6227378,160512950.62217543,-3.5035791272542148e-12,451769564.84332687,451769564.8428908,-9.65243378730007e-13,5,2,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,0.104,False,27.0,0.05,1.269334729460295e-13,8.437428285370305e-13
memory_um,memory_level,persistence,16,0,independent,bottom_up,8261,32,1000,0,0.0,0.0,1285438902.927975,1285438902.927975,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,227277894.74342436,227277894.74342436,0.0,186907252.11715588,186907252.11715588,0.0,426683283.0427309,426683283.0427309,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,1.0,False,27.0,0.05,0.0,0.0
memory_um,memory_level,persistence,16,0,independent,wls,8261,32,1000,0,-1.3385842432627709e-05,-0.0001373291015625,1285438902.927975,1285438902.9279616,-1.0386678354977094e-14,-1.8996093365805825e-05,-8.23685540195932e-06,1.0,0.0,False,accuracy_neutral,tie,memory_persistence,227277894.74342436,227277894.7426948,-3.209994763786367e-12,186907252.11715588,186907252.11640164,-4.03535532433502e-12,426683283.0427309,426683283.0425798,-3.5412161786165713e-13,6,1,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,0.0,True,27.0,0.05,-1.4777904513809635e-14,-6.4078155587149236e-15
