hierarchy,base_model,method,threshold,n_cells,high_load_wins,high_load_ties,high_load_losses,recall_wins,recall_ties,recall_losses,precision_wins,precision_ties,precision_losses,false_alarm_wins,false_alarm_ties,false_alarm_losses,best_rel_high_load,worst_rel_high_load,median_rel_high_load,median_delta_recall,operational_class_mode,recurring_fail_fold,recurring_fail_horizon
memory_um,lightgbm,bottom_up,q95,9,6,3,0,6,0,3,4,3,2,5,0,4,-0.18728229936172233,-0.012871053086447301,-0.1500238142813394,0.042713567839196,recall_focused_tradeoff,2,16
memory_um,lightgbm,mint,q90,9,6,1,2,7,2,0,3,4,2,6,0,3,-0.15272659805389419,0.16668443099644173,-0.07039821287476296,0.02774377804977568,operational_improvement,0,8
memory_um,lightgbm,mint,q95,9,8,1,0,6,0,3,8,1,0,8,1,0,-0.1455733939384587,-0.01917006500855908,-0.12963156729407774,0.042713567839196,operational_improvement,2,16
memory_um,lightgbm,wls,q90,9,6,1,2,7,2,0,3,4,2,5,1,3,-0.15076725042496136,0.07117675872882598,-0.0712280909844006,0.02774377804977568,operational_improvement,0,16
memory_um,lightgbm,wls,q95,9,9,0,0,6,0,3,8,1,0,8,1,0,-0.14724925243070572,-0.023102848272988103,-0.1261723510652597,0.042713567839196,operational_improvement,2,16
memory_um,persistence,bottom_up,q90,9,0,9,0,0,9,0,0,9,0,0,9,0,0.0,0.0,0.0,0.0,coherence_only,0,1
memory_um,persistence,bottom_up,q95,9,0,9,0,0,9,0,0,9,0,0,9,0,0.0,0.0,0.0,0.0,coherence_only,0,1
memory_um,persistence,mint,q90,9,0,9,0,0,9,0,0,9,0,0,9,0,-8.491126524786807e-12,4.520635530367855e-12,1.7202866291578307e-14,0.0,coherence_only,1,8
memory_um,persistence,mint,q95,9,0,9,0,0,9,0,0,9,0,0,9,0,-2.2980984847042232e-12,7.055289458544448e-13,-3.3773049343572913e-16,0.0,coherence_only,1,8
memory_um,persistence,wls,q90,9,0,9,0,0,9,0,0,9,0,0,9,0,-3.485504491735124e-13,6.493955604098684e-12,1.393998358454798e-13,0.0,coherence_only,1,16
memory_um,persistence,wls,q95,9,0,9,0,0,9,0,0,9,0,0,9,0,-1.5857489368005457e-14,1.0030961541942312e-12,1.6532594165757542e-13,0.0,coherence_only,1,16
memory_um,ridge,bottom_up,q90,9,6,0,3,3,6,0,0,6,3,0,3,6,-0.07498974440532566,0.020448774120159576,-0.06045518950140632,0.0031583696796509964,operational_improvement,2,16
memory_um,ridge,bottom_up,q95,9,0,6,3,0,6,3,9,0,0,9,0,0,0.004443738325703039,0.043883087107254616,0.016000830821882226,-0.01005025125628145,operationally_harmful,2,16
memory_um,ridge,mint,q90,9,6,3,0,3,6,0,0,9,0,0,3,6,-0.06822811136783866,0.004963933983743922,-0.05496492780670383,0.0028610149073935442,coherence_only,2,8
memory_um,ridge,mint,q95,9,0,6,3,0,6,3,7,2,0,9,0,0,-0.001490763343607739,0.02451061684330603,0.004547354119967176,-0.002512562814070307,operationally_harmful,2,16
memory_um,ridge,wls,q90,9,6,3,0,3,6,0,0,9,0,0,3,6,-0.06570210764052421,0.005186517654333277,-0.05545176032708382,0.0025598554434573817,coherence_only,2,8
memory_um,ridge,wls,q95,9,0,6,3,0,6,3,6,3,0,9,0,0,-0.0019025450871927758,0.024872600312082993,0.0047932317776888346,-0.002512562814070307,operationally_harmful,2,16
