run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f1__h16__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,16,32,lightgbm,0,abe0cd1cb9555ccb,109.38732703999996,204.1046260442876
base__cpu_core_weighted__f2__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,1,32,persistence,0,abe0cd1cb9555ccb,0.0002103750002788,340.98623646102516
base__cpu_core_weighted__f2__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,1,32,ridge,0,abe0cd1cb9555ccb,0.0119267919981211,326.8086251064241
base__cpu_core_weighted__f2__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,1,32,lightgbm,0,abe0cd1cb9555ccb,7.704676958001073,271.2151801330483
base__cpu_core_weighted__f2__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,8,32,persistence,0,abe0cd1cb9555ccb,0.000371585000721,340.92440141125576
base__cpu_core_weighted__f2__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,8,32,ridge,0,abe0cd1cb9555ccb,0.0929530829998839,326.25101835678174
base__cpu_core_weighted__f2__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,8,32,lightgbm,0,abe0cd1cb9555ccb,87.71152645800066,267.1790064982869
base__cpu_core_weighted__f2__h16__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,16,32,persistence,0,abe0cd1cb9555ccb,0.0007037489995127,345.9168828909167
base__cpu_core_weighted__f2__h16__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,16,32,ridge,0,abe0cd1cb9555ccb,0.1949329590015622,329.55849653850856
base__cpu_core_weighted__f2__h16__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,2,16,32,lightgbm,0,abe0cd1cb9555ccb,285.5105624170001,272.5729540826915
