run_id,fold,horizon,base_model,reconciliation_method,nonnegative,top_mae_weighted_mean,top_rmse_weighted_mean,top_r2,top_mase,mase_valid,coherence_before_wsum,coherence_after_wsum,coherence_before_mean,coherence_after_mean,is_coherent_after,macro_machine_mae,core_weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,adj_magnitude_mean_units,ind_top_mae,wall_train_sec_sum,pct_pred_gt100_top,pct_pred_neg_top,pct_pred_gt100_machines,pct_pred_neg_machines,mae_machine01_CU,mae_machine02_CU,mae_machine03_CU,mae_machine04_CU,mae_machine05_CU,mae_machine06_CU,mae_machine07_CU,pers_ind_mae,same_ind_mae,rel_vs_ind,rel_vs_pers
base__cpu_core_weighted__f0__h16__lightgbm__s0__independent__nn0,0,16,lightgbm,independent,False,1.117143297745833,2.7749853759436656,0.6285736646014868,1.0084751519359647,True,183.11774023810403,183.11774023810403,0.7759226281275594,0.7759226281275594,False,1.3301354206145655,1.3958832176436664,3.1602602975083522,0.056795756089882146,0,0,0.0,1.117143297745833,105.47671766599797,0.0,0.0,0.030829704420208874,0.33527303556977145,3.1602602975083522,1.0917413196291716,0.8871833232095659,2.7294456047164326,0.5600806871831427,0.056795756089882146,0.8254409559654096,1.4060271584162536,1.117143297745833,1.0,0.7945389184403673
base__cpu_core_weighted__f0__h16__lightgbm__s0__bottom_up__nn0,0,16,lightgbm,bottom_up,False,1.0307048936504906,2.527836488855849,0.6917882062659712,0.930444891288968,True,183.11774023810403,0.0,0.7759226281275594,0.0,True,1.3301354206145655,1.3958832176436664,3.1602602975083522,0.056795756089882146,0,0,0.09699032851594493,1.117143297745833,105.47671766599797,0.0,0.0,0.030829704420208874,0.33527303556977145,3.1602602975083522,1.0917413196291716,0.8871833232095659,2.7294456047164326,0.5600806871831427,0.056795756089882146,0.8254409559654096,1.4060271584162536,1.117143297745833,0.9226254999965021,0.7330618668927239
base__cpu_core_weighted__f0__h16__lightgbm__s0__wls__nn0,0,16,lightgbm,wls,False,1.0180193510570834,2.5033496498338392,0.6977305039910306,0.9189933124985924,True,183.11774023810403,0.0,0.7759226281275594,0.0,True,1.3870135076814685,1.459051311456015,3.474064553048365,0.05679189856827433,1,6,0.33961436992397537,1.117143297745833,105.47671766599797,0.0,0.0,0.02697599136768276,0.9441596978688966,3.474064553048365,1.1499098843085125,0.8890492981763791,2.744541317016325,0.56334045299592,0.05679189856827433,0.8313971496565052,1.4060271584162536,1.117143297745833,0.9112701594426055,0.7240396068905088
base__cpu_core_weighted__f0__h16__lightgbm__s0__mint__nn0,0,16,lightgbm,mint,False,1.0129957773486316,2.486006952012784,0.7019041200824434,0.9144583980707701,True,183.11774023810403,0.0,0.7759226281275594,0.0,True,1.361131770103342,1.4305020696602446,3.3298265504394307,0.056825030427497945,2,5,0.2790097326087597,1.117143297745833,105.47671766599797,0.0,0.0,0.02697599136768276,0.7360591930324868,3.3298265504394307,1.12236961915851,0.9049365168474075,2.727974206912521,0.5608168632175639,0.056825030427497945,0.8251736037204628,1.4060271584162536,1.117143297745833,0.9067733561062847,0.7204667216312295
base__cpu_core_weighted__f0__h16__persistence__s0__independent__nn0,0,16,persistence,independent,False,1.4060271584162536,3.5376802519296406,0.39634548882893494,1.2692583440916168,True,0.0,0.0,0.0,0.0,True,1.7172922111183904,1.8045981446814063,3.48873627356052,0.07193453492634504,0,0,0.0,1.4060271584162536,0.0002891679996537,0.0,0.0,0.0,0.0,3.48873627356052,2.088020059153231,1.0459596586652742,2.956668247963736,0.8729988310364482,0.07193453492634504,1.4967278725231778,1.4060271584162536,1.4060271584162536,1.0,1.0
base__cpu_core_weighted__f0__h16__persistence__s0__bottom_up__nn0,0,16,persistence,bottom_up,False,1.4060271584162536,3.5376802519296406,0.39634548882893494,1.2692583440916168,True,0.0,0.0,0.0,0.0,True,1.7172922111183904,1.8045981446814063,3.48873627356052,0.07193453492634504,0,0,0.0,1.4060271584162536,0.0002891679996537,0.0,0.0,0.0,0.0,3.48873627356052,2.088020059153231,1.0459596586652742,2.956668247963736,0.8729988310364482,0.07193453492634504,1.4967278725231778,1.4060271584162536,1.4060271584162536,1.0,1.0
base__cpu_core_weighted__f0__h16__persistence__s0__wls__nn0,0,16,persistence,wls,False,1.4060271584163917,3.5376802519296806,0.3963454888289213,1.2692583440917415,True,0.0,0.0,0.0,0.0,True,1.7172922111184146,1.804598144681433,3.4887362735606735,0.07193453492634501,0,0,6.775647262183427e-13,1.4060271584162536,0.0002891679996537,0.0,0.0,0.0,0.0,3.4887362735606735,2.08802005915325,1.045959658665274,2.9566682479637305,0.8729988310364489,0.07193453492634501,1.4967278725231794,1.4060271584162536,1.4060271584162536,1.0000000000000981,1.0000000000000981
base__cpu_core_weighted__f0__h16__persistence__s0__mint__nn0,0,16,persistence,mint,False,1.4060271584163047,3.537680251929645,0.3963454888289335,1.269258344091663,True,0.0,0.0,0.0,0.0,True,1.7172922111184015,1.8045981446814185,3.488736273560595,0.07193453492634506,0,0,4.010334330750517e-13,1.4060271584162536,0.0002891679996537,0.0,0.0,0.0,0.0,3.488736273560595,2.0880200591532314,1.0459596586652744,2.9566682479637385,0.8729988310364482,0.07193453492634506,1.4967278725231798,1.4060271584162536,1.4060271584162536,1.0000000000000364,1.0000000000000364
base__cpu_core_weighted__f0__h16__ridge__s0__independent__nn0,0,16,ridge,independent,False,1.3307644384106914,3.128595905892629,0.5278823450796474,1.2013166725568412,True,122.31013155674466,122.31013155674466,0.5182632693082401,0.5182632693082401,False,1.5491061962098909,1.627656317625726,3.8218713894976486,0.05866077104618841,0,0,0.0,1.3307644384106914,0.0662069989994051,0.0,0.1348799568384138,0.011561139157578327,0.7360591930324868,3.8218713894976486,1.2293825228072153,0.8214309924862817,3.3627691228142322,0.6012294652739243,0.05866077104618841,0.9483991095437452,1.4060271584162536,1.3307644384106914,1.0,0.9464713611290851
base__cpu_core_weighted__f0__h16__ridge__s0__bottom_up__nn0,0,16,ridge,bottom_up,False,1.1880188698707812,3.050628847432106,0.5511202214727275,1.0724564276697761,True,122.31013155674466,0.0,0.5182632693082401,0.0,True,1.5491061962098909,1.627656317625726,3.8218713894976486,0.05866077104618841,0,0,0.06478290866353001,1.3307644384106914,0.0662069989994051,0.0,0.21580793094146208,0.011561139157578327,0.7360591930324868,3.8218713894976486,1.2293825228072153,0.8214309924862817,3.3627691228142322,0.6012294652739243,0.05866077104618841,0.9483991095437452,1.4060271584162536,1.3307644384106914,0.8927341575866059,0.844947313257422
