run_id,fold,horizon,base_model,reconciliation_method,nonnegative,coherence_before_wsum,coherence_after_wsum,coherence_before_mean,coherence_after_mean,is_coherent_after,adj_magnitude_mean_units
base__cpu_core_weighted__f0__h8__persistence__s0__wls__nn0,0,8,persistence,wls,False,0.0,0.0,0.0,0.0,True,5.544936680295349e-13
base__cpu_core_weighted__f0__h8__persistence__s0__wls__nn1,0,8,persistence,wls,True,0.0,0.0,0.0,0.0,True,5.544936680295349e-13
base__cpu_core_weighted__f0__h8__persistence__s0__mint__nn0,0,8,persistence,mint,False,0.0,0.0,0.0,0.0,True,1.449596376837085e-13
base__cpu_core_weighted__f0__h8__persistence__s0__mint__nn1,0,8,persistence,mint,True,0.0,0.0,0.0,0.0,True,1.449596376837085e-13
base__cpu_core_weighted__f0__h8__persistence__s0__ols__nn0,0,8,persistence,ols,False,0.0,0.0,0.0,0.0,True,4.061358027791966e-15
base__cpu_core_weighted__f0__h8__persistence__s0__ols__nn1,0,8,persistence,ols,True,0.0,0.0,0.0,0.0,True,4.061358027791966e-15
base__cpu_core_weighted__f0__h8__ridge__s0__independent__nn0,0,8,ridge,independent,False,122.70854168303961,122.70854168303961,0.5199514478094899,0.5199514478094899,False,0.0
base__cpu_core_weighted__f0__h8__ridge__s0__independent__nn1,0,8,ridge,independent,True,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.09709156931827623
base__cpu_core_weighted__f0__h8__ridge__s0__bottom_up__nn0,0,8,ridge,bottom_up,False,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.06499393097618625
base__cpu_core_weighted__f0__h8__ridge__s0__bottom_up__nn1,0,8,ridge,bottom_up,True,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.09709156931827623
base__cpu_core_weighted__f0__h8__ridge__s0__wls__nn0,0,8,ridge,wls,False,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.2125239823249723
base__cpu_core_weighted__f0__h8__ridge__s0__wls__nn1,0,8,ridge,wls,True,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.24002630311042794
base__cpu_core_weighted__f0__h8__ridge__s0__mint__nn0,0,8,ridge,mint,False,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.13883368324485307
base__cpu_core_weighted__f0__h8__ridge__s0__mint__nn1,0,8,ridge,mint,True,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.16792931544444223
base__cpu_core_weighted__f0__h8__ridge__s0__ols__nn0,0,8,ridge,ols,False,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.43685851244340745
base__cpu_core_weighted__f0__h8__ridge__s0__ols__nn1,0,8,ridge,ols,True,122.70854168303961,0.0,0.5199514478094899,0.0,True,0.463953680880993
base__cpu_core_weighted__f1__h16__lightgbm__s0__independent__nn0,1,16,lightgbm,independent,False,131.29275142248974,131.29275142248974,0.5563252178919057,0.5563252178919057,False,0.0
base__cpu_core_weighted__f1__h16__lightgbm__s0__bottom_up__nn0,1,16,lightgbm,bottom_up,False,131.29275142248974,0.0,0.5563252178919057,0.0,True,0.0695406522364882
base__cpu_core_weighted__f1__h16__lightgbm__s0__wls__nn0,1,16,lightgbm,wls,False,131.29275142248974,0.0,0.5563252178919057,0.0,True,0.21716804505192822
base__cpu_core_weighted__f1__h16__lightgbm__s0__mint__nn0,1,16,lightgbm,mint,False,131.29275142248974,0.0,0.5563252178919057,0.0,True,0.2284472004326687
base__cpu_core_weighted__f1__h16__persistence__s0__independent__nn0,1,16,persistence,independent,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h16__persistence__s0__bottom_up__nn0,1,16,persistence,bottom_up,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h16__persistence__s0__wls__nn0,1,16,persistence,wls,False,0.0,0.0,0.0,0.0,True,9.446405385453065e-14
base__cpu_core_weighted__f1__h16__persistence__s0__mint__nn0,1,16,persistence,mint,False,0.0,0.0,0.0,0.0,True,4.2019915910114595e-13
base__cpu_core_weighted__f1__h16__ridge__s0__independent__nn0,1,16,ridge,independent,False,110.65440863300111,110.65440863300111,0.4688746128516996,0.4688746128516996,False,0.0
base__cpu_core_weighted__f1__h16__ridge__s0__bottom_up__nn0,1,16,ridge,bottom_up,False,110.65440863300111,0.0,0.4688746128516996,0.0,True,0.05860932660646245
base__cpu_core_weighted__f1__h16__ridge__s0__wls__nn0,1,16,ridge,wls,False,110.65440863300111,0.0,0.4688746128516996,0.0,True,0.18178819494558587
base__cpu_core_weighted__f1__h16__ridge__s0__mint__nn0,1,16,ridge,mint,False,110.65440863300111,0.0,0.4688746128516996,0.0,True,0.1696788233556614
base__cpu_core_weighted__f1__h1__lightgbm__s0__independent__nn0,1,1,lightgbm,independent,False,127.44703509795418,127.44703509795418,0.540029809737094,0.540029809737094,False,0.0
base__cpu_core_weighted__f1__h1__lightgbm__s0__bottom_up__nn0,1,1,lightgbm,bottom_up,False,127.44703509795418,0.0,0.540029809737094,0.0,True,0.06750372621713675
base__cpu_core_weighted__f1__h1__lightgbm__s0__wls__nn0,1,1,lightgbm,wls,False,127.44703509795418,0.0,0.540029809737094,0.0,True,0.20473672481703667
base__cpu_core_weighted__f1__h1__lightgbm__s0__mint__nn0,1,1,lightgbm,mint,False,127.44703509795418,0.0,0.540029809737094,0.0,True,0.2009101301515318
base__cpu_core_weighted__f1__h1__persistence__s0__independent__nn0,1,1,persistence,independent,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h1__persistence__s0__bottom_up__nn0,1,1,persistence,bottom_up,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h1__persistence__s0__wls__nn0,1,1,persistence,wls,False,0.0,0.0,0.0,0.0,True,8.93442060708958e-14
base__cpu_core_weighted__f1__h1__persistence__s0__mint__nn0,1,1,persistence,mint,False,0.0,0.0,0.0,0.0,True,4.81395801645455e-13
base__cpu_core_weighted__f1__h1__ridge__s0__independent__nn0,1,1,ridge,independent,False,111.69797010308775,111.69797010308775,0.47329648348765996,0.47329648348765996,False,0.0
base__cpu_core_weighted__f1__h1__ridge__s0__bottom_up__nn0,1,1,ridge,bottom_up,False,111.69797010308775,0.0,0.47329648348765996,0.0,True,0.059162060435957495
base__cpu_core_weighted__f1__h1__ridge__s0__wls__nn0,1,1,ridge,wls,False,111.69797010308775,0.0,0.47329648348765996,0.0,True,0.18306497220764337
base__cpu_core_weighted__f1__h1__ridge__s0__mint__nn0,1,1,ridge,mint,False,111.69797010308775,0.0,0.47329648348765996,0.0,True,0.17275226347674316
base__cpu_core_weighted__f1__h8__lightgbm__s0__independent__nn0,1,8,lightgbm,independent,False,132.7397281498307,132.7397281498307,0.5624564752111471,0.5624564752111471,False,0.0
base__cpu_core_weighted__f1__h8__lightgbm__s0__independent__nn1,1,8,lightgbm,independent,True,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.07133126153446215
base__cpu_core_weighted__f1__h8__lightgbm__s0__bottom_up__nn0,1,8,lightgbm,bottom_up,False,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.07030705940139338
base__cpu_core_weighted__f1__h8__lightgbm__s0__bottom_up__nn1,1,8,lightgbm,bottom_up,True,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.07133126153446215
base__cpu_core_weighted__f1__h8__lightgbm__s0__wls__nn0,1,8,lightgbm,wls,False,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.2181681990036517
base__cpu_core_weighted__f1__h8__lightgbm__s0__wls__nn1,1,8,lightgbm,wls,True,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.21182587418294715
base__cpu_core_weighted__f1__h8__lightgbm__s0__mint__nn0,1,8,lightgbm,mint,False,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.22326960775456278
base__cpu_core_weighted__f1__h8__lightgbm__s0__mint__nn1,1,8,lightgbm,mint,True,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.2159421725773449
base__cpu_core_weighted__f1__h8__lightgbm__s0__ols__nn0,1,8,lightgbm,ols,False,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.47257085274033794
