fold,horizon,base_model,pred_max,target_max,pct_neg,pct_gt100,q95_target_mae,range_ratio
0,16,lightgbm,35.577846030039545,33.59895103311185,0.29336390612355,0.02697599136768276,7.879908861934729,1.086526807203944
0,16,persistence,33.59895103311185,33.59895103311185,0.0,0.0,10.547662105896826,1.0
0,16,ridge,30.58423284349174,33.59895103311185,0.6609117885082277,0.010115996762881035,9.84861305258593,1.070792941781252
0,1,lightgbm,34.993721344254155,33.59895103311185,0.3558902413864246,0.025789147926552507,7.878082053215198,1.0688026612512564
0,1,persistence,33.59895103311185,33.59895103311185,0.0,0.0,11.05246257821624,1.0
0,1,ridge,30.585103437157787,33.59895103311185,0.7246750567361254,0.010315659170621003,10.160144474696597,1.0707795784203313
0,8,lightgbm,34.95778421677314,33.59895103311185,0.46565774155995343,0.026193247962747378,7.618254171223311,1.0627312354195848
0,8,persistence,33.59895103311185,33.59895103311185,0.0,0.0,10.46912227608583,1.0
0,8,ridge,30.5846543661664,33.59895103311185,0.7421420256111758,0.011641443538998836,9.535157632767746,1.0707826637070588
1,16,lightgbm,31.910626952870942,32.57853107326954,0.09844799629372249,0.011582117211026175,5.880238442179839,0.9765629236966035
1,16,persistence,32.57853107326954,32.57853107326954,0.0,0.0,7.575222558126127,1.0
1,16,ridge,30.574677618321704,32.57853107326954,0.3185082233032198,0.0,6.959646739738025,1.1393325716105833
1,1,lightgbm,32.72575181009451,32.57853107326954,0.07603117278084015,0.011879870747006274,5.762790423029423,1.0125609043455919
1,1,persistence,32.75254237302448,32.57853107326954,0.0,0.0,7.430017366784663,1.0056451613007387
1,1,ridge,30.57920072154815,32.57853107326954,0.32075651016916934,0.0,6.8183430206900395,1.1413428932325367
1,8,lightgbm,31.916045261054933,32.57853107326954,0.13604018417748012,0.013080786940142319,5.929359022289385,0.9708206088045234
1,8,persistence,32.57853107326954,32.57853107326954,0.0,0.0,7.639691325053928,1.0
1,8,ridge,30.58497212137025,32.57853107326954,0.3165550439514441,0.0,7.066082250778052,1.1414846067517994
2,16,lightgbm,34.80928643632005,34.34491525427833,0.05595050026329647,0.03949447077409163,7.985554930006842,1.0097681562857077
2,16,persistence,34.34491525427833,34.34491525427833,0.0,0.0,9.702224977972797,1.0
2,16,ridge,27.658402889145478,34.34491525427833,0.6878620326487626,0.0,9.434894517873435,0.9379702014499595
2,1,lightgbm,34.538932481903394,36.562994350350365,0.038643858202802965,0.010305028854080791,7.787617451304969,0.9384295003015288
2,1,persistence,36.562994350350365,36.562994350350365,0.0,0.0,9.595349347801564,1.0
2,1,ridge,31.941471673478148,36.562994350350365,0.6827081615828524,0.0,9.23578156234148,1.0012970417472609
2,8,lightgbm,33.54881055174498,34.34491525427833,0.05759041695461876,0.017277125086385625,7.759841246360265,0.9704686447620543
2,8,persistence,34.34491525427833,34.34491525427833,0.0,0.0,9.621216902317629,1.0
2,8,ridge,27.650965545960222,34.34491525427833,0.6882054826076941,0.0,9.274072704237463,0.9377241853687006
