run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean
base__cpu_core_weighted__f0__h8__persistence__s0__independent__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,independent,True,0.0,0.0,True,328.197531965878,60.61827917311816
base__cpu_core_weighted__f0__h8__persistence__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,bottom_up,False,0.0,0.0,True,328.197531965878,60.61827917311816
base__cpu_core_weighted__f0__h8__persistence__s0__bottom_up__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,bottom_up,True,0.0,0.0,True,328.197531965878,60.61827917311816
base__cpu_core_weighted__f0__h8__persistence__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,wls,False,0.0,0.0,True,328.19753196590693,60.61827917311856
base__cpu_core_weighted__f0__h8__persistence__s0__wls__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,wls,True,0.0,0.0,True,328.19753196590693,60.61827917311856
base__cpu_core_weighted__f0__h8__persistence__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,mint,False,0.0,0.0,True,328.19753196588806,60.61827917311826
base__cpu_core_weighted__f0__h8__persistence__s0__mint__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,mint,True,0.0,0.0,True,328.19753196588806,60.61827917311826
base__cpu_core_weighted__f0__h8__persistence__s0__ols__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,ols,False,0.0,0.0,True,328.19753196587817,60.61827917311818
base__cpu_core_weighted__f0__h8__persistence__s0__ols__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878,ols,True,0.0,0.0,True,328.19753196587817,60.61827917311818
base__cpu_core_weighted__f0__h8__ridge__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0356153329994413,308.1622967950762,independent,False,122.7085416830396,122.7085416830396,False,308.1622967950762,54.534957770351674
