fold,horizon,base_model,pct_finite,pct_negative,pct_gt100,target_min,target_med,target_max,pred_min,pred_med,pred_max,q95_target,q95_target_mae,pred_range,target_range,range_ratio,alignment_ok
0,16,lightgbm,100.0,0.29336390612355,0.02697599136768276,1.7963276836116098,2.5943502826526714,33.59895103311185,1.0234432213974414,2.629133393848586,35.577846030039545,8.835028248637817,7.879908861934729,34.5544028086421,31.802623349500244,1.086526807203944,True
0,16,persistence,100.0,0.0,0.0,1.7963276836116098,2.5943502826526714,33.59895103311185,1.7963276836116098,2.593502824820873,33.59895103311185,8.835028248637817,10.547662105896826,31.802623349500244,31.802623349500244,1.0,True
0,16,ridge,100.0,0.6609117885082277,0.010115996762881035,1.7963276836116098,2.5943502826526714,33.59895103311185,-3.469791769280761,2.8000327615039873,30.58423284349174,8.835028248637817,9.84861305258593,34.0540246127725,31.802623349500244,1.070792941781252,True
0,1,lightgbm,100.0,0.3558902413864246,0.025789147926552507,1.7963276836116098,2.6073446329472594,33.59895103311185,1.0029928735369442,2.6602365083388424,34.993721344254155,9.329096045100373,7.878082053215198,33.99072847071721,31.802623349500244,1.0688026612512564,True
0,1,persistence,100.0,0.0,0.0,1.7963276836116098,2.6073446329472594,33.59895103311185,1.7963276836116098,2.607344632776254,33.59895103311185,9.329096045100373,11.05246257821624,31.802623349500244,31.802623349500244,1.0,True
0,1,ridge,100.0,0.7246750567361254,0.010315659170621003,1.7963276836116098,2.6073446329472594,33.59895103311185,-3.468496185680669,2.812820878632405,30.585103437157787,9.329096045100373,10.160144474696597,34.053599622838455,31.802623349500244,1.0707795784203313,True
0,8,lightgbm,100.0,0.46565774155995343,0.026193247962747378,1.7963276836116098,2.6005649717792987,33.59895103311185,1.1601430149750152,2.652683859720911,34.95778421677314,8.761412429227358,7.618254171223311,33.79764120179813,31.802623349500244,1.0627312354195848,True
0,8,persistence,100.0,0.0,0.0,1.7963276836116098,2.6005649717792987,33.59895103311185,1.7963276836116098,2.603672316382076,33.59895103311185,8.761412429227358,10.46912227608583,31.802623349500244,31.802623349500244,1.0,True
0,8,ridge,100.0,0.7421420256111758,0.011641443538998836,1.7963276836116098,2.6005649717792987,33.59895103311185,-3.469043376883773,2.8039926921690173,30.5846543661664,8.761412429227358,9.535157632767746,34.05369774305017,31.802623349500244,1.0707826637070588,True
1,16,lightgbm,100.0,0.09844799629372249,0.011582117211026175,1.7536723164125938,2.474011299423979,32.57853107326954,1.8082127627398754,2.5493443648844596,31.910626952870942,6.798644067924785,5.880238442179839,30.102414190131068,30.824858756856944,0.9765629236966035,True
1,16,persistence,100.0,0.0,0.0,1.7536723164125938,2.474011299423979,32.57853107326954,1.7536723164125938,2.473728813594049,32.57853107326954,6.798644067924785,7.575222558126127,30.824858756856944,30.824858756856944,1.0,True
1,16,ridge,100.0,0.3185082233032198,0.0,1.7536723164125938,2.474011299423979,32.57853107326954,-4.5450879786611225,2.708567149587702,30.574677618321704,6.798644067924785,6.959646739738025,35.11976559698283,30.824858756856944,1.1393325716105833,True
1,1,lightgbm,100.0,0.07603117278084015,0.011879870747006274,1.7536723164125938,2.467796610192117,32.57853107326954,1.5137049509263045,2.549199276387149,32.72575181009451,6.432203389809461,5.762790423029423,31.212046859168204,30.824858756856944,1.0125609043455919,True
1,1,persistence,100.0,0.0,0.0,1.7536723164125938,2.467796610192117,32.57853107326954,1.7536723164125938,2.468644067497746,32.75254237302448,6.432203389809461,7.430017366784663,30.99887005661189,30.824858756856944,1.0056451613007387,True
1,1,ridge,100.0,0.32075651016916934,0.0,1.7536723164125938,2.467796610192117,32.57853107326954,-4.6025327554872515,2.704106215638501,30.57920072154815,6.432203389809461,6.8183430206900395,35.1817334770354,30.824858756856944,1.1413428932325367,True
1,8,lightgbm,100.0,0.13604018417748012,0.013080786940142319,1.7536723164125938,2.473870056509014,32.57853107326954,1.9906371164096308,2.550593949436178,31.916045261054933,6.7985593221606795,5.929359022289385,29.925408144645303,30.824858756856944,0.9708206088045234,True
1,8,persistence,100.0,0.0,0.0,1.7536723164125938,2.473870056509014,32.57853107326954,1.7536723164125938,2.4728813561831866,32.57853107326954,6.7985593221606795,7.639691325053928,30.824858756856944,30.824858756856944,1.0,True
1,8,ridge,100.0,0.3165550439514441,0.0,1.7536723164125938,2.473870056509014,32.57853107326954,-4.60112965488036,2.7070256682158265,30.58497212137025,6.7985593221606795,7.066082250778052,35.18610177625061,30.824858756856944,1.1414846067517994,True
2,16,lightgbm,100.0,0.05595050026329647,0.03949447077409163,1.8000000000057879,2.594491525409785,34.34491525427833,1.9464673635386651,2.6614192961456986,34.80928643632005,13.328940678041224,7.985554930006842,32.862819072781384,32.54491525427254,1.0097681562857077,True
2,16,persistence,100.0,0.0,0.0,1.8000000000057879,2.594491525409785,34.34491525427833,1.8000000000057879,2.589265536720796,34.34491525427833,13.328940678041224,9.702224977972797,32.54491525427254,32.54491525427254,1.0,True
2,16,ridge,100.0,0.6878620326487626,0.0,1.8000000000057879,2.594491525409785,34.34491525427833,-2.8677578280763907,2.8289966197249763,27.658402889145478,13.328940678041224,9.434894517873435,30.52616071722187,32.54491525427254,0.9379702014499595,True
2,1,lightgbm,100.0,0.038643858202802965,0.010305028854080791,1.8000000000057879,2.6045197740297157,36.562994350350365,1.9163130647246598,2.6725437746199807,34.538932481903394,12.81025423742249,7.787617451304969,32.62261941717873,34.76299435034458,0.9384295003015288,True
2,1,persistence,100.0,0.0,0.0,1.8000000000057879,2.6045197740297157,36.562994350350365,1.8000000000057879,2.595480225821115,36.562994350350365,12.81025423742249,9.595349347801564,34.76299435034458,34.76299435034458,1.0,True
2,1,ridge,100.0,0.6827081615828524,0.0,1.8000000000057879,2.6045197740297157,36.562994350350365,-2.8666117317986175,2.8430496900141073,31.941471673478148,12.81025423742249,9.23578156234148,34.80808340527677,34.76299435034458,1.0012970417472609,True
2,8,lightgbm,100.0,0.05759041695461876,0.017277125086385625,1.8000000000057879,2.598587570627784,34.34491525427833,1.9649907510351972,2.6781650899091396,33.54881055174498,12.90564971762883,7.759841246360265,31.58381980070978,32.54491525427254,0.9704686447620543,True
2,8,persistence,100.0,0.0,0.0,1.8000000000057879,2.598587570627784,34.34491525427833,1.8000000000057879,2.5937853105850306,34.34491525427833,12.90564971762883,9.621216902317629,32.54491525427254,32.54491525427254,1.0,True
2,8,ridge,100.0,0.6882054826076941,0.0,1.8000000000057879,2.598587570627784,34.34491525427833,-2.86718859874589,2.835489301979656,27.650965545960222,12.90564971762883,9.274072704237463,30.518154144706113,32.54491525427254,0.9377241853687006,True
