claim,hierarchy,base_model,horizon,fold,method,threshold,effect,verdict,best_model,lgbm_high_load_mae,best_high_load_mae,aspect
P1,cpu_core_weighted,lightgbm,1,2,bottom_up,q90,-0.1433183043481924,support,,,,
P1,cpu_core_weighted,lightgbm,1,2,wls,q90,-0.15305135656696278,support,,,,
P1,cpu_core_weighted,lightgbm,1,2,mint,q90,-0.15767585772781184,support,,,,
P1,cpu_core_weighted,lightgbm,1,2,bottom_up,q95,-0.20834032757661175,support,,,,
P1,cpu_core_weighted,lightgbm,1,2,wls,q95,-0.18939630504696137,support,,,,
P1,cpu_core_weighted,lightgbm,1,2,mint,q95,-0.20810393163597,support,,,,
P1,cpu_core_weighted,lightgbm,8,0,bottom_up,q90,-0.07462296699556929,support,,,,
P1,cpu_core_weighted,lightgbm,8,0,wls,q90,-0.09394225759994257,support,,,,
P1,cpu_core_weighted,lightgbm,8,0,mint,q90,-0.09796406957878767,support,,,,
P1,cpu_core_weighted,lightgbm,8,0,bottom_up,q95,-0.10172420522467095,support,,,,
P1,cpu_core_weighted,lightgbm,8,0,wls,q95,-0.09156371515397588,support,,,,
P1,cpu_core_weighted,lightgbm,8,0,mint,q95,-0.10104537802136838,support,,,,
P1,cpu_core_weighted,lightgbm,8,1,bottom_up,q90,-0.10895664265621763,support,,,,
P1,cpu_core_weighted,lightgbm,8,1,wls,q90,-0.1113069091086128,support,,,,
P1,cpu_core_weighted,lightgbm,8,1,mint,q90,-0.11071420431036776,support,,,,
P1,cpu_core_weighted,lightgbm,8,1,bottom_up,q95,-0.16553402621502766,support,,,,
P1,cpu_core_weighted,lightgbm,8,1,wls,q95,-0.13233561658830909,support,,,,
P1,cpu_core_weighted,lightgbm,8,1,mint,q95,-0.13096951862580786,support,,,,
P1,cpu_core_weighted,lightgbm,8,2,bottom_up,q90,-0.15084211090356897,support,,,,
P1,cpu_core_weighted,lightgbm,8,2,wls,q90,-0.15651284032110357,support,,,,
P1,cpu_core_weighted,lightgbm,8,2,mint,q90,-0.1611759024065793,support,,,,
P1,cpu_core_weighted,lightgbm,8,2,bottom_up,q95,-0.20720696231970787,support,,,,
P1,cpu_core_weighted,lightgbm,8,2,wls,q95,-0.18794357349694732,support,,,,
P1,cpu_core_weighted,lightgbm,8,2,mint,q95,-0.20326029103540816,support,,,,
P1,cpu_core_weighted,lightgbm,16,0,bottom_up,q90,-0.07541573557624642,support,,,,
P1,cpu_core_weighted,lightgbm,16,0,wls,q90,-0.0960304483336804,support,,,,
P1,cpu_core_weighted,lightgbm,16,0,mint,q90,-0.09904609989381655,support,,,,
P1,cpu_core_weighted,lightgbm,16,0,bottom_up,q95,-0.1290707874268799,support,,,,
P1,cpu_core_weighted,lightgbm,16,0,wls,q95,-0.10430350521471257,support,,,,
P1,cpu_core_weighted,lightgbm,16,0,mint,q95,-0.1171095552142099,support,,,,
P1,cpu_core_weighted,lightgbm,16,1,bottom_up,q90,-0.10091770999590775,support,,,,
P1,cpu_core_weighted,lightgbm,16,1,wls,q90,-0.10935239002789546,support,,,,
P1,cpu_core_weighted,lightgbm,16,1,mint,q90,-0.10824717882867582,support,,,,
P1,cpu_core_weighted,lightgbm,16,1,bottom_up,q95,-0.16213169492899976,support,,,,
P1,cpu_core_weighted,lightgbm,16,1,wls,q95,-0.1332260284065417,support,,,,
P1,cpu_core_weighted,lightgbm,16,1,mint,q95,-0.13011693127408977,support,,,,
P1,cpu_core_weighted,lightgbm,16,2,bottom_up,q90,-0.16219347794985187,support,,,,
P1,cpu_core_weighted,lightgbm,16,2,wls,q90,-0.16656251781397954,support,,,,
P1,cpu_core_weighted,lightgbm,16,2,mint,q90,-0.1713003291362166,support,,,,
P1,cpu_core_weighted,lightgbm,16,2,bottom_up,q95,-0.2396933791779102,support,,,,
P1,cpu_core_weighted,lightgbm,16,2,wls,q95,-0.21382375865175185,support,,,,
P1,cpu_core_weighted,lightgbm,16,2,mint,q95,-0.23267143403899332,support,,,,
P1,cpu_core_weighted,ridge,1,0,bottom_up,q90,-0.022528105004951924,support,,,,
P1,cpu_core_weighted,ridge,1,0,wls,q90,-0.02230395290841381,support,,,,
P1,cpu_core_weighted,ridge,1,0,mint,q90,-0.023580159093324254,support,,,,
P1,cpu_core_weighted,ridge,1,0,bottom_up,q95,-0.02511912451858715,support,,,,
P1,cpu_core_weighted,ridge,1,0,wls,q95,-0.01811298853180289,uncertain,,,,
P1,cpu_core_weighted,ridge,1,0,mint,q95,-0.021592950572426134,support,,,,
P1,cpu_core_weighted,ridge,1,1,bottom_up,q90,-0.011745779091457166,uncertain,,,,
P1,cpu_core_weighted,ridge,1,1,wls,q90,-0.014388153259673511,uncertain,,,,
P1,cpu_core_weighted,ridge,1,1,mint,q90,-0.014416191691968344,uncertain,,,,
P1,cpu_core_weighted,ridge,1,1,bottom_up,q95,-0.01333504410008637,uncertain,,,,
P1,cpu_core_weighted,ridge,1,1,wls,q95,-0.013429170944096454,uncertain,,,,
P1,cpu_core_weighted,ridge,1,1,mint,q95,-0.013602246464795202,uncertain,,,,
P1,cpu_core_weighted,ridge,1,2,bottom_up,q90,0.0014679832088387035,uncertain,,,,
P1,cpu_core_weighted,ridge,1,2,wls,q90,-0.005942980405591735,uncertain,,,,
P1,cpu_core_weighted,ridge,1,2,mint,q90,-0.004427700622299365,uncertain,,,,
P1,cpu_core_weighted,ridge,1,2,bottom_up,q95,0.004846268820762482,uncertain,,,,
P1,cpu_core_weighted,ridge,1,2,wls,q95,-0.0019807620269768843,uncertain,,,,
P1,cpu_core_weighted,ridge,1,2,mint,q95,-0.00042669926437672706,uncertain,,,,
P1,cpu_core_weighted,ridge,8,0,bottom_up,q90,-0.021348764547938794,support,,,,
P1,cpu_core_weighted,ridge,8,0,wls,q90,-0.021018456481595473,support,,,,
P1,cpu_core_weighted,ridge,8,0,mint,q90,-0.022372763810055794,support,,,,
P1,cpu_core_weighted,ridge,8,0,bottom_up,q95,-0.02537895252141073,support,,,,
P1,cpu_core_weighted,ridge,8,0,wls,q95,-0.017168502666084624,uncertain,,,,
P1,cpu_core_weighted,ridge,8,0,mint,q95,-0.021508909967190317,support,,,,
P1,cpu_core_weighted,ridge,8,1,bottom_up,q90,-0.00889198901365519,uncertain,,,,
P1,cpu_core_weighted,ridge,8,1,wls,q90,-0.012532160866540501,uncertain,,,,
P1,cpu_core_weighted,ridge,8,1,mint,q90,-0.012390640236586611,uncertain,,,,
P1,cpu_core_weighted,ridge,8,1,bottom_up,q95,-0.010381875200579158,uncertain,,,,
P1,cpu_core_weighted,ridge,8,1,wls,q95,-0.011354517408792949,uncertain,,,,
