hierarchy,base_model,horizon,fold,method,npz_path,summing_matrix_hash,top_mae_recon,bottom_mae_mean_recon,coherence_before_recon,coherence_after_recon,adjustment_magnitude,nonnegative,match_ok,diff_top_mae,ok_top_mae,diff_bottom_mae_mean,ok_bottom_mae_mean,diff_coherence_before,ok_coherence_before,diff_coherence_after,ok_coherence_after
memory_um,persistence,8,1,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,abe0cd1cb9555ccb,844465442.1479094,157380669.84873253,0.0,0.0,0.10786565314009308,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,8,2,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,abe0cd1cb9555ccb,1043003720.7891682,191036776.90411717,0.0,0.0,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,8,2,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,abe0cd1cb9555ccb,1043003720.7891682,191036776.90411717,0.0,0.0,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,8,2,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,abe0cd1cb9555ccb,1043003720.7889507,191036776.90459737,0.0,0.0,0.010324937462576123,False,True,-1.1920928955078125e-07,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,8,2,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,abe0cd1cb9555ccb,1043003720.7896671,191036776.90357807,0.0,0.0,0.022985526625376836,False,True,-1.1920928955078125e-07,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,16,0,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,abe0cd1cb9555ccb,1285438902.927975,227277894.74342436,0.0,0.0,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,16,0,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,abe0cd1cb9555ccb,1285438902.927975,227277894.74342436,0.0,0.0,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,16,0,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,abe0cd1cb9555ccb,1285438902.9279616,227277894.7426948,0.0,0.0,0.000317907754740838,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,16,0,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,abe0cd1cb9555ccb,1285438902.9279926,227277894.74295178,0.0,0.0,0.0038139473481380885,False,True,0.0,True,2.9802322387695312e-08,True,0.0,True,0.0,True
memory_um,persistence,16,1,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,abe0cd1cb9555ccb,844976853.3901465,157471415.92404935,0.0,0.0,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
