hierarchy,base_model,horizon,fold,threshold,method,delta_high_load_mae,rel_delta_high_load_mae,delta_precision,delta_recall,delta_f1,delta_false_alarms_per_day,rel_delta_false_alarms_per_day,delta_signed_peak_bias,delta_peak_magnitude_mae,coherence_independent,coherence_method,coherence_improved,operational_class
cpu_core_weighted,dlinear,1,0,q90,bottom_up,0.014246288686308617,0.0031324964892720593,0.025811300564964612,-0.03901170351105332,-0.0020492072457866106,-22.763888133464746,-0.15168539325842695,-0.27702531386272833,0.014246288686308617,111.46417771966371,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,0,q90,wls,-0.02235310890779374,-0.004915036941886033,0.030132579426282002,-0.006501950585175553,0.014827258469730764,-19.391460261840336,-0.12921348314606737,-0.1690004607482658,-0.02235310890779374,111.46417771966371,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,0,q90,mint,-0.014571271937075636,-0.003203954320466949,0.02836904059168721,-0.016905071521456483,0.009266714298973966,-20.234567229746432,-0.13483146067415722,-0.2049815506808561,-0.014571271937075636,111.46417771966371,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,0,q95,bottom_up,-0.004378175265594919,-0.0005856180235914432,0.02583907535007779,0.005012531328320802,0.015514664674014633,-6.323302259295758,-0.09999999999999992,-0.4157979738190898,-0.004378175265594919,111.46417771966371,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,0,q95,wls,-0.024179490143346527,-0.003234211599628888,0.03687803638903886,-0.0025062656641604564,0.017074156395231466,-9.695730130920168,-0.1533333333333333,-0.25365930706403983,-0.024179490143346527,111.46417771966371,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,0,q95,mint,-0.02106329725476197,-0.002817394407570994,0.04122733292583536,0.0,0.020469000923080904,-10.53883709882627,-0.16666666666666666,-0.3076647121340068,-0.02106329725476197,111.46417771966371,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,1,q90,bottom_up,-0.03417686166447176,-0.007219098089939875,0.06840105232388194,-0.02941176470588236,0.03239671343306716,-31.458819364066798,-0.2727272727272727,-0.3283007504132125,-0.03417686166447176,110.22891972876208,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,1,q90,wls,-0.04757537601168327,-0.01004923475613168,0.055473612790937765,-0.022624434389140302,0.02739561670132762,-26.021492560400944,-0.22558922558922564,-0.2042407168477114,-0.04757537601168327,110.22891972876208,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,1,q90,mint,-0.0478901379423613,-0.010115721178286284,0.05760245865236002,-0.022624434389140302,0.02869165299034382,-26.7982535323532,-0.2323232323232323,-0.21014540190692665,-0.0478901379423613,110.22891972876208,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,1,q95,bottom_up,-0.03203768523787076,-0.004375245115115069,0.05353637901861252,-0.029166666666666674,0.0068206983095888685,-8.155990205498803,-0.25000000000000006,-0.4829877632636075,-0.03203768523787076,110.22891972876208,0.0,True,operationally_harmful
