hierarchy,fold,horizon,seed,reconciliation_method,base_model,source,top_mae_native,top_mae_report,top_rmse_report,top_r2,mase,mase_valid,coherence_error_before,coherence_error_after,is_coherent_after,recon_adjustment_l2,bottom_mae_mean_native,bottom_mae_weighted_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count,neg_pred_rate,prediction_hash,model_config_hash,report_unit,rel_mae_vs_independent,pct_vs_independent,persistence_mae_native,ewma_mae_native,ridge_mae_native,lightgbm_mae_native,rel_mae_vs_persistence,rel_mae_vs_ewma,rel_mae_vs_ridge,rel_mae_vs_lightgbm
memory_um,0,1,0,independent,dlinear,experiment-freeze-v2:memory_dlinear,1288970217.5265772,1288970217.5265772,3945064138.502392,0.5050182798689824,1.4847240922736467,True,405896187.47104925,405896187.47104925,False,0.0,269954482.4285871,269954482.4285871,548074446.1739744,0,0,0.0,cf40ccb58f411662,177793534259287c,native,1.0,0.0,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,0.995994453123812,1.0017043993926298,0.9486828792674035,0.6972548630799197
memory_um,0,1,0,bottom_up,dlinear,experiment-freeze-v2:memory_dlinear,1294588434.3318505,1294588434.3318505,3960986380.1681423,0.5010147338921771,1.4911955388074638,True,405896187.47104925,0.0,True,748401857.2759587,269954482.4285871,269954482.4285871,548074446.1739744,0,0,0.0,cf40ccb58f411662,177793534259287c,native,1.0043586862821812,0.4358686282181168,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,1.0003356804837713,1.006070514617063,0.9528178903194066,0.7002939782868103
memory_um,0,1,0,wls,dlinear,experiment-freeze-v2:memory_dlinear,1272621477.3740215,1272621477.3740215,3940183331.8807044,0.5062422982872834,1.4658924947295238,True,405896187.47104925,0.0,True,503810089.4966642,270074328.9517489,270074328.95174885,542870484.0337868,6,1,0.0,cf40ccb58f411662,177793534259287c,native,0.987316432970866,-1.268356702913398,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,0.9833616907169705,0.988999214499555,0.9366501963788236,0.6884111842876559
memory_um,0,1,0,mint,dlinear,experiment-freeze-v2:memory_dlinear,1274651157.037978,1274651157.037978,3942358752.562083,0.5056969291278418,1.4682304186440551,True,405896187.47104925,0.0,True,540738931.7671691,269953063.9497292,269953063.9497292,542670741.6845521,5,2,0.0,cf40ccb58f411662,177793534259287c,native,0.9888910850740397,-1.1108914925960334,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,0.9849300354773313,0.9905765504388169,0.9381440418699069,0.6895091181242528
memory_um,0,1,1,independent,dlinear,robustness_extension,1341642528.9338136,1341642528.9338136,3971654288.373928,0.49832333495789305,1.5453956645712055,True,426205990.1625042,426205990.1625042,False,0.0,264245860.49027228,264245860.49027228,541758771.6260396,0,0,0.0,85ab3b96d147633e,177793534259287c,native,1.0,0.0,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,1.0366946409803524,1.0426379177512255,0.9874497331202203,0.7257473951640431
memory_um,0,1,1,bottom_up,dlinear,robustness_extension,1282500335.0896914,1282500335.0896914,3952328737.969255,0.503193643016703,1.4772716389914788,True,426205990.1625042,0.0,True,767647799.4574708,264245860.49027228,264245860.49027228,541758771.6260396,0,0,0.0,85ab3b96d147633e,177793534259287c,native,0.9559180686593756,-4.408193134062444,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,0.9909951389954632,0.9966764246477843,0.9439210417824968,0.6937550483197846
memory_um,0,1,1,wls,dlinear,robustness_extension,1280308331.775755,1280308331.775755,3942237962.9536614,0.5057272184867996,1.4747467395901643,True,426205990.1625042,0.0,True,515808924.1588045,265352635.05906487,265352635.05906487,536180576.8654831,4,3,0.0,85ab3b96d147633e,177793534259287c,native,0.954284247975651,-4.571575202434897,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,0.9893013658483232,0.9949729412521269,0.9423077259843867,0.6925693072144065
memory_um,0,1,1,mint,dlinear,robustness_extension,1279143676.6099043,1279143676.6099043,3942648189.0753016,0.5056243458759592,1.4734052100804695,True,426205990.1625042,0.0,True,548943876.8864161,264795973.83420643,264795973.83420646,536044959.39582336,3,4,0.0,85ab3b96d147633e,177793534259287c,native,0.9534161663959949,-4.658383360400508,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,0.98840143032676,0.9940678464814761,0.9414505390602288,0.6919392992691812
memory_um,0,1,2,independent,dlinear,robustness_extension,1342112238.0998075,1342112238.0998075,3979170143.223154,0.49642281877648875,1.545936707727696,True,456945698.1447493,456945698.1447493,False,0.0,276028853.1048942,276028853.1048943,582996303.4642822,0,0,0.0,62394d8ced524178,177793534259287c,native,1.0,0.0,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,1.037057587864268,1.0430029453768552,0.9877954393576138,0.7260014793901712
memory_um,0,1,2,bottom_up,dlinear,robustness_extension,1337857115.53044,1337857115.53044,3994803019.91966,0.4924582615047065,1.5410353664023393,True,456945698.1447493,0.0,True,828284759.1139349,276028853.1048942,276028853.1048943,582996303.4642822,0,0,0.0,62394d8ced524178,177793534259287c,native,0.9968295329939082,-0.3170467006091804,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,1.0337696309985274,1.0396961389512813,0.9846636665083626,0.7236997156533909
