experiment_stage,eligible_for_final_claims,target,model,method,threshold_mode,threshold,outer_fold,mae,peak_precision,peak_recall,peak_f1,peak_magnitude_mae,peak_timing_mae_steps,high_load_mae,false_alarms_per_day,n_true_peaks,n_pred_peaks
development,False,machine01_DWT,persistence,point,q95,52713417.386666514,outer_0,15221065.07279147,1.0,1.0,1.0,142896039.94246048,0.47305389221556887,142896039.94246048,0.0,501,501
development,False,machine01_DWT,persistence,point,mad,330484.8861866666,outer_0,15221065.07279147,1.0,1.0,1.0,61108781.72720308,0.27372836916622967,61108781.72720308,-0.2560819348377288,1907,1906
development,False,machine01_DWT,ridge,point,q90,2398276.266666671,outer_0,16461154.290743522,0.6265060240963856,1.0,0.7703703703703704,75686948.55777334,0.09131205673758866,75686948.55777334,348.7835952489866,1128,2490
development,False,machine01_DWT,ridge,point,q95,52713417.386666514,outer_0,16461154.290743522,0.8683834048640916,0.9321357285429142,0.8991309036698701,129665643.9996512,0.3554603854389722,125269224.52748547,59.41100888235308,501,699
development,False,machine01_DWT,ridge,point,mad,330484.8861866666,outer_0,16461154.290743522,0.4050615961435458,0.995280545359203,0.5757877512436859,52635243.4639789,0.09430979978925184,52521089.90057379,1426.3763770461494,1907,7468
development,False,machine01_DWT,lightgbm,point,q90,2398276.266666671,outer_0,14076058.522791646,0.7140096618357488,0.999113475177305,0.8328375925045386,67948808.74712317,0.09316770186335403,67905820.668214,241.48526455197825,1128,2070
development,False,machine01_DWT,lightgbm,point,q95,52713417.386666514,outer_0,14076058.522791646,0.8316455696202532,0.9141716566866267,0.8709580781994191,100078022.6521166,0.21397379912663755,103745298.5270443,85.01920236612595,501,790
development,False,machine01_DWT,lightgbm,point,mad,330484.8861866666,outer_0,14076058.522791646,0.8239901071723,0.9344520188778186,0.8757515618805872,51019913.94676704,0.21717171717171718,47695725.71141733,164.91676603549735,1907,2426
development,False,machine01_tx_bond0,persistence,point,q90,18.205444444444435,outer_0,49.813159476236564,1.0,0.9992012779552716,0.9996004794246904,208.85637586294888,0.5075939248601119,208.70436420313644,-0.8202640538218537,1252,1248
development,False,machine01_tx_bond0,persistence,point,q95,48.18438888888888,outer_0,49.813159476236564,1.0,0.9986263736263736,0.9993127147766323,307.774395779532,0.6038514442916093,307.4672499367335,-0.27342135127395123,728,726
development,False,machine01_tx_bond0,persistence,point,mad,7.051822555560002,outer_0,49.813159476236564,1.0,0.9995755517826825,0.9997877308427086,139.25218651526643,0.22760084925690022,139.20094949967327,-1.3671067563697563,2356,2350
