experiment_stage,eligible_for_final_claims,family,method,base_model,horizon,outer_fold,machine,mae,mase,mase_valid,nmae_train_range,n_parameters,train_seconds,infer_seconds,n_test
development,False,CU,local,ridge,1,outer_0,machine01,3.8466567402591614,1.472086820820431,True,0.038969563434172044,33,0.0012669048587018292,0.0001812090013117995,4847
development,False,CU,local,ridge,1,outer_0,machine02,1.2400141287828264,0.6169011871625796,True,0.0866721845169817,33,0.0012669048587018292,0.00013683400175068527,4847
development,False,CU,local,ridge,1,outer_0,machine03,0.9208647739795917,0.9269991183930796,True,0.015101186733396119,33,0.0012669048587018292,0.00014995899982750416,4847
development,False,CU,local,ridge,1,outer_0,machine04,3.343937204927175,1.854037475017883,True,0.03361116243526997,33,0.0012669048587018292,0.0001458749975427054,4847
development,False,CU,local,ridge,1,outer_0,machine05,0.6044081218109112,0.7142214820939496,True,0.05868040017510915,33,0.0012669048587018292,0.00014995899982750416,4847
development,False,CU,local,ridge,1,outer_0,machine06,0.058104871842607854,1.0659307763881691,True,0.03597225340280485,33,0.0012669048587018292,0.00015854199955356307,4847
development,False,CU,local,ridge,1,outer_0,machine07,0.9562680250611617,0.6613033099649254,True,0.07967055983185482,33,0.0012669048587018292,0.00013720900096814148,4847
development,False,CU,global_pooled,ridge,1,outer_0,machine01,4.551336701943907,1.7417625820172749,True,0.04610850832110611,33,0.0981547919982404,0.08789075000095181,4847
development,False,CU,global_pooled,ridge,1,outer_0,machine02,1.509090244710173,0.750765287175385,True,0.105479562777792,33,0.0981547919982404,0.08789075000095181,4847
development,False,CU,global_pooled,ridge,1,outer_0,machine03,1.2792944851878179,1.2878165105710928,True,0.02097904649380501,33,0.0981547919982404,0.08789075000095181,4847
development,False,CU,global_pooled,ridge,1,outer_0,machine04,3.5656562450354627,1.9769690326679648,True,0.03583974336109932,33,0.0981547919982404,0.08789075000095181,4847
development,False,CU,global_pooled,ridge,1,outer_0,machine05,0.6316996700861259,0.7464715617245151,True,0.06133006505616601,33,0.0981547919982404,0.08789075000095181,4847
development,False,CU,global_pooled,ridge,1,outer_0,machine06,0.07050484083656808,1.2934075465413553,True,0.04364897331789073,33,0.0981547919982404,0.08789075000095181,4847
development,False,CU,global_pooled,ridge,1,outer_0,machine07,1.062510517293627,0.7347748785324916,True,0.0885220518950247,33,0.0981547919982404,0.08789075000095181,4847
development,False,CU,global_onehot,ridge,1,outer_0,machine01,4.0107819275172645,1.5348963048585262,True,0.04063227662328003,40,0.10575137499836273,0.08636466700045276,4847
development,False,CU,global_onehot,ridge,1,outer_0,machine02,1.4580331687973704,0.7253646324468983,True,0.10191087093655009,40,0.10575137499836273,0.08636466700045276,4847
development,False,CU,global_onehot,ridge,1,outer_0,machine03,1.2730580323098755,1.2815385135370998,True,0.020876775408923742,40,0.10575137499836273,0.08636466700045276,4847
development,False,CU,global_onehot,ridge,1,outer_0,machine04,3.6439139700108485,2.0203588291630123,True,0.03662634099878422,40,0.10575137499836273,0.08636466700045276,4847
development,False,CU,global_onehot,ridge,1,outer_0,machine05,0.6320921151415704,0.7469353091147722,True,0.06136816651785919,40,0.10575137499836273,0.08636466700045276,4847
