family,method,horizon,mae_macro,mae_std,mae_worst_machine,mase_macro,mase_n_valid,mase_n_invalid,nmae_train_range_macro,n
CU,global_onehot,1,2.085507999003047,1.4040291929379032,5.465687027257805,4.83054279756958,21,0,0.16198907854341155,21
CU,global_onehot,8,2.0725873902520426,1.3872192935438579,5.397329991154784,4.800813611860418,21,0,0.16111163685444382,21
CU,global_pooled,1,2.1437929509519256,1.4626036459774292,5.638703241765137,5.00390962577572,21,0,0.1674212865340814,21
CU,global_pooled,8,2.1308592620915467,1.4453504730176463,5.569920042230786,4.975700683151201,21,0,0.1666044917913878,21
CU,global_residual_cal0,1,2.085507999003047,1.4040291929379032,5.465687027257805,4.83054279756958,21,0,0.16198907854341155,21
CU,global_residual_cal0,8,2.0725873902520426,1.3872192935438579,5.397329991154784,4.800813611860418,21,0,0.16111163685444382,21
CU,global_residual_cal1024,1,2.579075531978541,3.7059897921510236,13.997254910764186,1.600226358778776,21,0,0.05498569780952865,21
CU,global_residual_cal1024,8,2.4998465654932063,3.6451434490426777,13.726231558935938,1.5376385936354333,21,0,0.05403937433757246,21
CU,global_residual_cal256,1,4.911113915758649,10.477899789609863,48.276520331815995,2.9073204478543535,21,0,0.08243276734606027,21
CU,global_residual_cal256,8,6.253468864001722,13.74920325521507,54.36391277101145,3.387290033029696,21,0,0.0948030797935478,21
CU,global_residual_cal64,1,9.628811941424612,23.924863122324556,111.77692324473438,5.760935518038825,21,0,0.1532705021652308,21
CU,global_residual_cal64,8,16.90635923406436,42.603850525797284,149.6796499782998,8.587780861903125,21,0,0.22119708997404663,21
CU,global_residual_no_head,1,2.085507999003047,1.4040291929379032,5.465687027257805,4.83054279756958,21,0,0.16198907854341155,21
CU,global_residual_no_head,8,2.0725873902520426,1.3872192935438579,5.397329991154784,4.800813611860418,21,0,0.16111163685444382,21
CU,persistence_local,1,1.6568585907608286,1.044546010593295,3.668956977244051,1.1605084162107946,21,0,0.056708489109267006,21
CU,persistence_local,8,1.6503612444478881,1.0332321516378669,3.584866994481832,1.1574096706770631,21,0,0.05665033063803627,21
UM,global_onehot,1,29170247404.21104,20206319379.164852,64694074666.73639,1453.416213664074,21,0,27.170253973009835,21
UM,global_onehot,8,29172626840.339897,20212625908.312687,64714580327.56871,1453.6601673769396,21,0,27.174859593994626,21
UM,global_pooled,1,7576401849.574848,6579794705.177493,22427194640.809616,604.8535014264502,21,0,11.073237621750508,21
UM,global_pooled,8,7576005927.204183,6580250046.018926,22426653057.321644,604.8886158006442,21,0,11.073889172142689,21
UM,global_residual_cal0,1,29170247404.21104,20206319379.164852,64694074666.73639,1453.416213664074,21,0,27.170253973009835,21
UM,global_residual_cal0,8,29172626840.339897,20212625908.312687,64714580327.56871,1453.6601673769396,21,0,27.174859593994626,21
UM,global_residual_cal1024,1,640459153.0271982,1129992687.1608136,5096609525.343239,3.2090913807990877,21,0,0.061837501277472964,21
UM,global_residual_cal1024,8,610792733.7084234,1376152218.4998364,6514447661.950598,3.1284922362784098,21,0,0.06290489789296175,21
UM,global_residual_cal256,1,1719965489.6625226,4158399729.00411,18528716161.969627,7.6572373169065555,21,0,0.12857978293848235,21
UM,global_residual_cal256,8,1746614381.3839366,5480308103.726466,25561102430.21479,7.86150563336325,21,0,0.14179628905036312,21
UM,global_residual_cal64,1,4726679949.483092,13525085391.239508,59234202083.4852,20.374144048311173,21,0,0.3226209507433341,21
UM,global_residual_cal64,8,5067502375.027776,17575303053.246544,81192390960.75215,21.884092980133488,21,0,0.3731894114472866,21
UM,global_residual_no_head,1,29170247404.21104,20206319379.164852,64694074666.73639,1453.416213664074,21,0,27.170253973009835,21
UM,global_residual_no_head,8,29172626840.339897,20212625908.312687,64714580327.56871,1453.6601673769396,21,0,27.174859593994626,21
UM,persistence_local,1,192241533.99799538,150493545.31026173,451439811.7956275,1.0954275288376305,21,0,0.02051700160558137,21
UM,persistence_local,8,192197141.40062433,150356579.78671977,451769564.84332687,1.0952595537783227,21,0,0.020516482426751543,21
