hierarchy,method,model,horizon,top_mae_mean,top_mae_std,top_mase_mean,top_mase_std,bottom_mae_macro_mean,bottom_mae_macro_std,worst_child_mae_mean,worst_child_mae_max,coherence_error_mean,coherence_error_max,adjustment_mae_mean,infer_seconds_total_mean,outer_fold_count
bond0_transmitted_acamas,bottom_up,lightgbm,1,49.519376268881985,5.357841749508483,1.5630286608103532,0.2477288595979581,12.38006068964714,1.339054422074059,49.51932264816321,55.5438517409053,0.0,0.0,10.871097264302753,0.07448361133477495,3
bond0_transmitted_acamas,bottom_up,lightgbm,8,48.37088099285933,5.5632651240709885,1.5413517230705134,0.23986288486406054,12.092867673377034,1.390410229853423,48.37055065230458,54.613026279223355,0.0,0.0,10.412854722736816,0.6634830006660195,3
bond0_transmitted_acamas,bottom_up,persistence,1,48.05197255745981,8.235315438913968,1.5211281084715427,0.3573397647695874,12.014063711047507,2.0588699378187094,48.051634274762954,55.263900530827875,0.0,0.0,0.007276950011524917,0.0004415006660565268,3
bond0_transmitted_acamas,bottom_up,persistence,8,47.528829607572696,8.388821087817457,1.5196112098108028,0.3605272085703234,11.883280227297142,2.097244898258468,47.52849570097618,54.78072825405894,0.0,0.0,0.007260305011228495,0.0008066383331121566,3
bond0_transmitted_acamas,bottom_up,ridge,1,48.69610766882877,6.094197456430556,1.5299076132277396,0.18183052654323098,12.17430218574699,1.523491919996796,48.69083828143951,55.71823015275019,0.0,0.0,0.006821457337405919,0.0014899993329891004,3
bond0_transmitted_acamas,bottom_up,ridge,8,48.35489234346491,6.216144062874556,1.5342650708719432,0.17953636351815286,12.088998810589478,1.553983753638161,48.349627332587865,55.522452714811166,0.0,0.0,0.006787350725920051,0.0074746383337090565,3
bond0_transmitted_acamas,bottom_up_nn,lightgbm,1,48.78829420270191,5.592921375048761,1.537393830356373,0.22379231638532607,12.197288911919687,1.3977933730380951,48.788240990435945,55.18488796206437,0.0,0.0,11.158727925487876,0.0745316806678602,3
bond0_transmitted_acamas,bottom_up_nn,lightgbm,8,47.59885282623319,5.869180509325575,1.513731635057436,0.2128104046829548,11.899859329271925,1.466854142857105,47.598522601830695,54.3082103690214,0.0,0.0,10.769686360224014,0.6635015003327377,3
bond0_transmitted_acamas,bottom_up_nn,persistence,1,48.05197255745981,8.235315438913968,1.5211281084715427,0.3573397647695874,12.014063711047507,2.0588699378187094,48.051634274762954,55.263900530827875,0.0,0.0,0.007276950011524917,0.0004707086663984228,3
bond0_transmitted_acamas,bottom_up_nn,persistence,8,47.528829607572696,8.388821087817457,1.5196112098108028,0.3605272085703234,11.883280227297142,2.097244898258468,47.52849570097618,54.78072825405894,0.0,0.0,0.007260305011228495,0.0008556663318207333,3
bond0_transmitted_acamas,bottom_up_nn,ridge,1,48.67954271683672,6.106782834118898,1.5292892697884275,0.18094276610752444,12.170159170013305,1.5266348617617627,48.6742701810737,55.714975388608586,0.0,0.0,0.02753637223948074,0.0015037216665708304,3
bond0_transmitted_acamas,bottom_up_nn,ridge,8,48.33590355312686,6.228608710797905,1.5335555907516831,0.1785276175928912,12.084250006316594,1.5570967658859765,48.330635696749006,55.516792363771536,0.0,0.0,0.03053121719125047,0.007512749331605543,3
bond0_transmitted_acamas,independent,lightgbm,1,49.218739599159335,5.4670688593630885,1.552874475735566,0.24260890128750642,12.38006068964714,1.339054422074059,49.51932264816321,55.5438517409053,10.871097264302753,12.625725412263144,0.0,0.07434279200121334,3
bond0_transmitted_acamas,independent,lightgbm,8,48.61708312082959,5.225619126977081,1.5503392644927343,0.2439397913560899,12.092867673377034,1.390410229853423,48.37055065230458,54.613026279223355,10.412854722736816,12.03853530808724,0.0,0.6633377363311107,3
bond0_transmitted_acamas,independent,persistence,1,48.05163691564775,8.23538163984709,1.5211173851995736,0.3573397228082876,12.014063711047507,2.0588699378187094,48.051634274762954,55.263900530827875,0.007276950011524917,0.007645093355916283,0.0,0.00029341700064833276,3
bond0_transmitted_acamas,independent,persistence,8,47.528503773268746,8.38889489938307,1.5196007041979172,0.3605276093969392,11.883280227297142,2.097244898258468,47.52849570097618,54.78072825405894,0.007260305011228495,0.007647691753141339,0.0,0.0006688329995085951,3
bond0_transmitted_acamas,independent,ridge,1,48.69076897177998,6.09419635132045,1.5297375294892153,0.18180159168000695,12.17430218574699,1.523491919996796,48.69083828143951,55.71823015275019,0.006821457337405919,0.006919230729502319,0.0,0.0013206526661330524,3
bond0_transmitted_acamas,independent,ridge,8,48.349567979829,6.2161473281535535,1.5340936246170906,0.1795069590540664,12.088998810589478,1.553983753638161,48.349627332587865,55.522452714811166,0.006787350725920051,0.00689066305425101,0.0,0.007333429998349554,3
