family,method,base_model,horizon,mae_macro,mae_weighted,mae_worst_machine,mae_std_fold_machine,mase_macro,train_seconds_mean,infer_seconds_mean,n_parameters_mean,n
CU,global_embed,ridge,1,1.7051088145525104,1.6985097469625348,4.724076729133436,1.527666111341369,1.1863400865706235,1.7184448196676385,0.09324962533355574,2753.0,21
CU,global_embed,ridge,4,1.7303410244604234,1.7234143487408202,4.680260845906216,1.528058529663616,1.1884370212644628,1.3326715276683292,0.09569769466664486,2948.0,21
CU,global_embed,ridge,8,1.7041290464168197,1.6940202278163006,4.698517564265642,1.4938310323010666,1.1864485790073054,1.2213839306665857,0.08901915300036005,3208.0,21
CU,global_embed,ridge,16,1.6758809192590045,1.6619219722600305,4.778573029450267,1.4435240682745087,1.1821801396695535,1.1745361389997317,0.08544459699866518,3728.0,21
CU,global_onehot,ridge,1,1.664736094126567,1.6564695621765837,4.541009935537734,1.3086622761984668,1.1953515736727163,0.221454750331759,0.08579643066574742,40.0,21
CU,global_onehot,ridge,4,1.6503915516441294,1.641808603018531,4.465355285102715,1.280287621283668,1.1917679830687884,0.2418665693330695,0.09150887499951448,160.0,21
CU,global_onehot,ridge,8,1.6569852715398536,1.6476343976641883,4.440188749551484,1.2871640205483337,1.198163357352283,0.26330115266682697,0.09020381899972563,320.0,21
CU,global_onehot,ridge,16,1.6654347491757482,1.6525706980145898,4.547721788329263,1.3075668831924998,1.2069075492297636,0.3552524443330185,0.10699140266539568,640.0,21
CU,global_pooled,ridge,1,1.7968431005686647,1.788779242804156,4.923237549320016,1.4822294888590444,1.2352310472517722,0.1983620693317789,0.08620286099903751,33.0,21
CU,global_pooled,ridge,4,1.7792326334234931,1.7708713042919237,4.828827251959642,1.449545506117907,1.230262480126277,0.21241756933401726,0.08947702766696845,132.0,21
CU,global_pooled,ridge,8,1.7861520478410264,1.7771388869417715,4.806016971736198,1.4575500729663573,1.2366712378765843,0.23110291666792668,0.08783909733271382,264.0,21
