experiment_stage,eligible_for_final_claims,target,horizon,outer_fold,method,mae,rmse,r2,mase,mase_valid,peak_recall,peak_precision,beats_best_constituent,best_constituent_mae,train_seconds,is_oracle
development,False,cluster_mean_CU,1,outer_0,persistence,1.3395330964227814,3.360212832428961,0.40322210587701723,1.3063091627227412,True,0.6853146853146853,0.6853146853146853,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,ewma,1.5696429696602532,3.8088049897429705,0.2332449758308962,1.5307117076436656,True,0.6811188811188811,0.4183848797250859,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,ridge,1.2557048729676177,2.9634659173507227,0.5358279038401548,1.224560099047731,True,0.6489510489510489,0.6526019690576652,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,lightgbm,1.0510354943278968,2.5891884016029794,0.6456711935142005,1.0249670577411552,True,0.73006993006993,0.6358099878197321,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,static_router,1.0510354943278968,2.5891884016029794,0.6456711935142005,1.0249670577411552,True,0.73006993006993,0.6358099878197321,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,regime_router,1.0864948386803501,2.67714457002974,0.6211888057442749,1.0595469173619816,True,0.7524475524475525,0.6017897091722595,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,constrained_mixture,1.0404297254367951,2.5746845566707126,0.6496297591715625,1.014624339732049,True,0.737062937062937,0.6506172839506172,True,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,ens_mean,1.179713911484983,2.8866944212131744,0.5595660570787143,1.1504539126952096,True,0.7328671328671329,0.6215895610913404,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,ens_inverse_mae,1.1573651924586414,2.830590326833691,0.576519719632998,1.128659500509957,True,0.7482517482517482,0.6242707117852976,False,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,ens_stacking,1.0416408753390902,2.5762180376848725,0.6492122741522554,1.0158054499405416,True,0.7328671328671329,0.645320197044335,True,1.0510354943278968,3.944277750000765,False
development,False,cluster_mean_CU,1,outer_0,oracle_upper_bound,0.6200864109375958,2.0445060530128636,0.7790693568154214,0.6047066417775031,True,0.806993006993007,0.8535502958579881,False,1.0510354943278968,3.944277750000765,True
development,False,cluster_mean_CU,4,outer_0,persistence,1.3396230750205949,3.360738005138923,0.4032479833348628,1.3063969096153614,True,0.6853146853146853,0.6853146853146853,False,1.0441118595564747,5.573540207999031,False
development,False,cluster_mean_CU,4,outer_0,ewma,1.5697373683748777,3.809403461823277,0.2332769404335554,1.5308037650226078,True,0.6811188811188811,0.4183848797250859,False,1.0441118595564747,5.573540207999031,False
development,False,cluster_mean_CU,4,outer_0,ridge,1.2555100365396474,2.9637821441409784,0.5358940510799498,1.2243700950741305,True,0.6503496503496503,0.6540084388185654,False,1.0441118595564747,5.573540207999031,False
development,False,cluster_mean_CU,4,outer_0,lightgbm,1.0441118595564747,2.5785958080770053,0.6486895038641248,1.0182151472692098,True,0.7468531468531469,0.6488456865127582,False,1.0441118595564747,5.573540207999031,False
development,False,cluster_mean_CU,4,outer_0,static_router,1.0441118595564747,2.5785958080770053,0.6486895038641248,1.0182151472692098,True,0.7468531468531469,0.6488456865127582,False,1.0441118595564747,5.573540207999031,False
