method,top_mae,bottom_mae_mean,coherence_error,coherent
independent,1358694507.6124406,261733944.41832024,465104157.5826315,False
bottom_up,1263401149.574385,261733944.41832024,0.0,True
top_down,1358694507.6124406,292607442.94048226,9.277697748006282e-06,True
ols,1336455021.3669138,281462431.64467436,0.0,True
wls,1336455021.3669188,281462431.6446752,0.0,True
