hierarchy,base_model,method_a,method_b,mean_diff,ci_low,ci_high,n,block_size,n_boot,mae_a,mae_b,median_paired_diff,relative_mae_diff,prob_b_improves,p_value_approx,block_length,p_holm
memory_um,persistence,independent,bottom_up,0.0,0.0,0.0,8276,32,1000,1294154012.0869985,1294154012.0869985,0.0,0.0,0.0,1.0,32,1.0
memory_um,persistence,independent,wls,0.00043999739693466046,-0.000286228591085575,0.0010891931883202132,8276,32,1000,1294154012.0869985,1294154012.0865586,0.040283203125,3.3989948208174475e-13,0.099,0.198,32,0.5640000000000001
memory_um,persistence,independent,mint,-0.002084655540469996,-0.005130124633700563,0.0013243244718733234,8276,32,1000,1294154012.0869985,1294154012.0890834,-0.18927001953125,-1.6110682768590015e-12,0.906,0.188,32,0.5640000000000001
memory_um,ridge,independent,bottom_up,95293358.03805548,73560026.25383998,116936798.93021588,8276,32,1000,1358694507.6124406,1263401149.574385,114708280.18115234,0.07013597059835729,0.0,0.0,32,0.0
memory_um,ridge,independent,wls,86210717.44397233,72274333.18524276,100560140.81792583,8276,32,1000,1358694507.6124406,1272483790.1684682,90491829.18976593,0.06345114148983035,0.0,0.0,32,0.0
memory_um,ridge,independent,mint,89277176.44040298,73935455.37175222,104902284.14561291,8276,32,1000,1358694507.6124406,1269417331.1720374,94759401.04060364,0.06570805721242307,0.0,0.0,32,0.0
