reconciliation_method,coherence_before,coherence_after,top_mae
bottom_up,232552078.79131576,0.0,1278777580.8306918
independent,232552078.79131576,232552078.79131576,1326424259.8497195
mint,232552078.79131576,0.0,1281785671.6305604
wls,232552078.79131576,0.0,1283318901.1275134
