run_id,fold,horizon,base_model,reconciliation_method,top_mae,top_rmse,top_r2,top_mase,mase_valid,coherence_before_wsum,coherence_after_wsum,coherence_before_mean,coherence_after_mean,is_coherent_after,macro_machine_mae,core_weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,adj_magnitude,ind_top_mae,wall_train_sec_sum,pct_neg_top,pct_gt100_top,pct_neg_machines,pct_gt100_machines,mae_machine01_CU,mae_machine02_CU,mae_machine03_CU,mae_machine04_CU,mae_machine05_CU,mae_machine06_CU,mae_machine07_CU,dlin_ind,pers_ind,ridge_best,lgbm_mint,rel_vs_dlin_ind,rel_vs_pers,rel_vs_ridge_best,rel_vs_lgbm_mint
base__cpu_core_weighted__f0__h16__dlinear__s0__independent__nn0,0,16,dlinear,independent,1.3105642612208253,3.1513460215640343,0.520991213652912,1.1830814320091076,True,116.57592199027869,116.57592199027869,0.4939657711452487,0.4939657711452487,False,1.5673332525454258,1.6469966062295913,3.7952577233468667,0.05867034835857293,0,0,0.0,1.3105642612208253,1.3045958739994603,0.02697599136768276,0.0,0.6320089406142818,0.0,3.7952577233468667,1.2271870101405629,0.8287460472394931,3.5115738998025026,0.6010629564476935,0.05867034835857293,0.9488347824822894,1.3105642612208253,1.4060271584162536,1.1880188698707812,1.0129957773486316,1.0,0.9321045140387206,1.1031510478982316,1.2937509617769936
base__cpu_core_weighted__f0__h16__dlinear__s0__bottom_up__nn0,0,16,dlinear,bottom_up,1.2198480014346502,3.166677461181506,0.5163190777331228,1.101189436545747,True,116.57592199027869,0.0,0.4939657711452487,0.0,True,1.5673332525454258,1.6469966062295913,3.7952577233468667,0.05867034835857293,0,0,0.061745721393156074,1.3105642612208253,1.3045958739994603,0.0,0.0,0.6320089406142818,0.0,3.7952577233468667,1.2271870101405629,0.8287460472394931,3.5115738998025026,0.6010629564476935,0.05867034835857293,0.9488347824822894,1.3105642612208253,1.4060271584162536,1.1880188698707812,1.0129957773486316,0.9307807617905967,0.8675849496454142,1.026791772732811,1.204198505770107
base__cpu_core_weighted__f0__h16__dlinear__s0__wls__nn0,0,16,dlinear,wls,1.2311344015701307,3.1411994981597307,0.5240708179950868,1.1113779719954118,True,116.57592199027869,0.0,0.4939657711452487,0.0,True,1.5926917635649553,1.674227447572325,3.9715671777574486,0.058669535720788465,3,4,0.20167678379600196,1.3105642612208253,1.3045958739994603,0.02697599136768276,0.0,0.6281552275617558,0.0,3.9715671777574486,1.232233427945094,0.8286933502778425,3.5059038072576008,0.6015368436725659,0.058669535720788465,0.9502382023233469,1.3105642612208253,1.4060271584162536,1.1880188698707812,1.0129957773486316,0.9393926249929144,0.8756121062105786,1.0362919586488042,1.2153401120707976
base__cpu_core_weighted__f0__h16__dlinear__s0__mint__nn0,0,16,dlinear,mint,1.2221808184484957,3.1466518562938273,0.5224171895404919,1.1032953328951445,True,116.57592199027869,0.0,0.4939657711452487,0.0,True,1.5753213484023862,1.6557237294438616,3.85722590093359,0.058670615591936176,3,4,0.1544192420088872,1.3105642612208253,1.3045958739994603,0.02697599136768276,0.0,0.6165940884041775,0.0,3.85722590093359,1.2311721810546796,0.8286867836624615,3.50145943901303,0.6009578996435195,0.058670615591936176,0.9490766189174864,1.3105642612208253,1.4060271584162536,1.1880188698707812,1.0129957773486316,0.9325607714268066,0.8692441046623579,1.028755392228265,1.206501394948926
base__cpu_core_weighted__f0__h1__dlinear__s0__independent__nn0,0,1,dlinear,independent,1.3150739218475105,3.18055531269533,0.5260592368741082,1.1886719832370531,True,111.46417771966371,111.46417771966371,0.4723058377951852,0.4723058377951852,False,1.575153039808047,1.6555129332682106,3.80396444318714,0.05811414352150318,0,0,0.0,1.3150739218475105,2.3119037929991464,0.020631318341242006,0.0,0.5599929264051401,0.0,3.80396444318714,1.2413740376970785,0.92895262581644,3.433701542753229,0.6036071011309719,0.05811414352150318,0.9563573845499664,1.3150739218475105,1.4204331179186942,1.2009014408533412,0.9977431249325432,1.0,0.9258260070522979,1.0950723157705933,1.31804859285442
base__cpu_core_weighted__f0__h1__dlinear__s0__bottom_up__nn0,0,1,dlinear,bottom_up,1.2210091027185592,3.1758867955872785,0.5274495454723489,1.103648462316067,True,111.46417771966371,0.0,0.4723058377951852,0.0,True,1.575153039808047,1.6555129332682106,3.80396444318714,0.05811414352150318,0,0,0.05903822972439815,1.3150739218475105,2.3119037929991464,0.020631318341242006,0.0,0.5599929264051401,0.0,3.80396444318714,1.2413740376970785,0.92895262581644,3.433701542753229,0.6036071011309719,0.05811414352150318,0.9563573845499664,1.3150739218475105,1.4204331179186942,1.2009014408533412,0.9977431249325432,0.9284718390607257,0.8596033754180955,1.0167438069280106,1.2237710009789453
base__cpu_core_weighted__f0__h1__dlinear__s0__wls__nn0,0,1,dlinear,wls,1.2320609766432158,3.1610551923190977,0.5318529236858265,1.1136380550516993,True,111.46417771966371,0.0,0.4723058377951852,0.0,True,1.5985322365886268,1.6806758281586167,3.9420171231415737,0.05811010220650147,1,6,0.1849582968594883,1.3150739218475105,2.3119037929991464,0.020631318341242006,0.0,0.5776769135547761,0.0,3.9420171231415737,1.2467902642749735,0.9306011068590989,3.45083015629082,0.6038971265077738,0.05811010220650147,0.9574797768396459,1.3150739218475105,1.4204331179186942,1.2009014408533412,0.9977431249325432,0.9368758334986431,0.8673840120318422,1.0259467885788638,1.2348478740221984
base__cpu_core_weighted__f0__h1__dlinear__s0__mint__nn0,0,1,dlinear,mint,1.224241249457534,3.1636350836621467,0.5310884565219351,1.1065699424020936,True,111.46417771966371,0.0,0.4723058377951852,0.0,True,1.5841148254933601,1.6653115459750916,3.8526580454335773,0.058127129497683165,1,6,0.1419394132812369,1.3150739218475105,2.3119037929991464,0.020631318341242006,0.0,0.5629402575967462,0.0,3.8526580454335773,1.2459994234461345,0.9333438150714626,3.4385751569628304,0.603550439764193,0.058127129497683165,0.9565497682776405,1.3150739218475105,1.4204331179186942,1.2009014408533412,0.9977431249325432,0.9309296071643121,0.8618788410476993,1.019435240736832,1.2270104587694395
base__cpu_core_weighted__f0__h8__dlinear__s0__independent__nn0,0,8,dlinear,independent,1.2969408053016054,3.152303947840108,0.5057401206525882,1.1714706027837543,True,96.52036216500535,96.52036216500535,0.40898458544493793,0.40898458544493793,False,1.557280324896084,1.6364761921099955,3.715498632576185,0.05841598470321715,0,0,0.0,1.2969408053016054,1.2476997910007412,0.0,0.0,0.6086811907533677,0.0,3.715498632576185,1.235685882311315,0.9085475872631584,3.429669225382445,0.6041878947886947,0.05841598470321715,0.948957067247574,1.2969408053016054,1.3906675083299915,1.170428582461781,0.9801360741347104,1.0,0.9326030827160552,1.108090510378454,1.32322525364305
base__cpu_core_weighted__f0__h8__dlinear__s0__bottom_up__nn0,0,8,dlinear,bottom_up,1.2041326979239406,3.116233655512817,0.5169865610121374,1.0876410486140489,True,96.52036216500535,0.0,0.40898458544493793,0.0,True,1.557280324896084,1.6364761921099955,3.715498632576185,0.05841598470321715,0,0,0.051123073180617234,1.2969408053016054,1.2476997910007412,0.0,0.0,0.6086811907533677,0.0,3.715498632576185,1.235685882311315,0.9085475872631584,3.429669225382445,0.6041878947886947,0.05841598470321715,0.948957067247574,1.2969408053016054,1.3906675083299915,1.170428582461781,0.9801360741347104,0.9284407530410903,0.8658667084053365,1.0287963878934578,1.228536250935341
base__cpu_core_weighted__f0__h8__dlinear__s0__wls__nn0,0,8,dlinear,wls,1.2215810718434479,3.118473655689194,0.51629191537898,1.1034014110218984,True,96.52036216500535,0.0,0.40898458544493793,0.0,True,1.582389640807347,1.6633765782513137,3.855114844052195,0.05841380556518853,2,5,0.1631643495628408,1.2969408053016054,1.2476997910007412,0.0,0.0,0.6452685847330784,0.0,3.855114844052195,1.2397624469460964,0.9083164410081839,3.459827820444854,0.6047402119689191,0.05841380556518853,0.9505519156659921,1.2969408053016054,1.3906675083299915,1.170428582461781,0.9801360741347104,0.9418942382334616,0.8784134701690167,1.0437040671666415,1.2463382422913996
base__cpu_core_weighted__f0__h8__dlinear__s0__mint__nn0,0,8,dlinear,mint,1.209524961701427,3.115379769145147,0.5172512279979387,1.0925116475434362,True,96.52036216500535,0.0,0.40898458544493793,0.0,True,1.5643657384221734,1.644210671382742,3.7506564787198435,0.05841322950572309,3,4,0.10894068964673734,1.2969408053016054,1.2476997910007412,0.0,0.0,0.6386163312822218,0.0,3.7506564787198435,1.2391838532566652,0.9083011574117648,3.4406672343257982,0.6041488215789158,0.05841322950572309,0.949189394156506,1.2969408053016054,1.3906675083299915,1.170428582461781,0.9801360741347104,0.932598432216149,0.8697441728209406,1.0334034727325385,1.2340377970163245
base__cpu_core_weighted__f1__h16__dlinear__s0__independent__nn0,1,16,dlinear,independent,1.0368843629622824,2.4152226981317075,0.5160574294707221,0.8861371971806494,True,104.45388158119103,104.45388158119103,0.44260119314063995,0.44260119314063995,False,1.2538743953308449,1.3129906941853142,2.580660749673509,0.08306757809437955,0,0,0.0,1.0368843629622824,1.9572484179980163,0.0463284688441047,0.0,0.3408451636387703,0.0,2.4993920640078207,1.2806299224375484,0.7459318748883362,2.580660749673509,0.6072099815793977,0.08306757809437955,0.9802285966349229,1.0368843629622824,1.1116127835890854,0.9240690084130804,0.7901883349375971,1.0,0.9327747739770265,1.122085421675316,1.312199025368006
base__cpu_core_weighted__f1__h16__dlinear__s0__bottom_up__nn0,1,16,dlinear,bottom_up,0.9291772402608398,2.342867294068601,0.5446190660539312,0.7940890467443019,True,104.45388158119103,0.0,0.44260119314063995,0.0,True,1.2538743953308449,1.3129906941853142,2.580660749673509,0.08306757809437955,0,0,0.05532514914257999,1.0368843629622824,1.9572484179980163,0.02316423442205235,0.0,0.3408451636387703,0.0,2.4993920640078207,1.2806299224375484,0.7459318748883362,2.580660749673509,0.6072099815793977,0.08306757809437955,0.9802285966349229,1.0368843629622824,1.1116127835890854,0.9240690084130804,0.7901883349375971,0.8961242675183824,0.8358821110897875,1.0055279765918477,1.1758933904462396
base__cpu_core_weighted__f1__h16__dlinear__s0__wls__nn0,1,16,dlinear,wls,0.946907513565757,2.3514242352181536,0.5412865821060959,0.8092416088359704,True,104.45388158119103,0.0,0.44260119314063995,0.0,True,1.2822271435291068,1.343269919608527,2.6530522636119116,0.08306911227388317,0,7,0.17157617092466898,1.0368843629622824,1.9572484179980163,0.0463284688441047,0.0,0.4533571594030246,0.0,2.6230981843867482,1.2810039520570136,0.7476533521338461,2.6530522636119116,0.6072572208806467,0.08306911227388317,0.9804559193596963,1.0368843629622824,1.1116127835890854,0.9240690084130804,0.7901883349375971,0.9132238341993413,0.851832155535724,1.0247151510815167,1.1983314251792092
base__cpu_core_weighted__f1__h16__dlinear__s0__mint__nn0,1,16,dlinear,mint,0.9445418468941472,2.3499027292555463,0.5418800176827208,0.8072198740035008,True,104.45388158119103,0.0,0.44260119314063995,0.0,True,1.2780177752061497,1.3387757136600644,2.6607862339680457,0.08308012009038739,0,7,0.16250698921555312,1.0368843629622824,1.9572484179980163,0.0463284688441047,0.0,0.4599755120950395,0.0,2.586538313757539,1.2809019036136793,0.7472331603065457,2.6607862339680457,0.6073043587641027,0.08308012009038739,0.9802803359427471,1.0368843629622824,1.1116127835890854,0.9240690084130804,0.7901883349375971,0.910942319735326,0.8497040163972268,1.0221550969621038,1.1953376241231652
