horizon,reconciliation_method,mean_mae,std_mae,mean_rmse,mean_r2,mean_mase,mase_valid,rel_vs_dlin_ind,rel_vs_pers,rel_vs_ridge_best,rel_vs_lgbm_mint,coh_before,coh_after,adj,macro,core_w,worst,best,improved,degraded
1,bottom_up,1.1528004520782966,0.2123685706833635,2.856118739939187,0.5242257578932398,0.9764162596921002,True,0.9196678877794504,0.869952854556869,1.0093856247712012,1.2383249425463971,0.4891225710274647,0.0,0.06114032137843309,1.5329589048396028,1.6085024415802625,3.5043737040641774,0.06917081658772944,0.0,0.0
1,independent,1.2488501661309486,0.18739910852999495,2.8845167614827383,0.5129093842880786,1.0584320631439044,True,1.0,0.9458175368296105,1.0983584552247267,1.34617864050496,0.4891225710274647,0.4891225710274647,0.0,1.5329589048396028,1.6085024415802625,3.5043737040641774,0.06917081658772944,0.0,0.0
1,mint,1.1588935845842823,0.20021815891584757,2.8471891827996405,0.5268083616253769,0.9817553984341739,True,0.9256851444193578,0.8756132460999811,1.0162379320045414,1.2463405725182293,0.4891225710274647,0.0,0.16141900658132577,1.5519604086085401,1.6288952244885895,3.5943846537478574,0.06931184703876427,0.6666666666666666,6.333333333333333
1,wls,1.1630890925214514,0.2017596841209375,2.84542883322221,0.5273210829510536,0.9854032733086328,True,0.9289485437037003,0.8786745978213991,1.0198122296666776,1.2506991792115987,0.4891225710274647,0.0,0.19075066080727543,1.5608820847503289,1.6384805102136777,3.6409900650917137,0.06920291085053379,1.0,6.0
8,bottom_up,1.1585803399732844,0.2034671494210278,2.8718077130886397,0.5161897689116315,0.9804785262808923,True,0.932398841740047,0.877247025280342,1.023535773769065,1.2464299776590009,0.43782990307180114,0.0,0.05472873788397514,1.5354666485715098,1.6115054706683825,3.5249472930610146,0.06929719996754684,0.0,0.0
8,independent,1.2390818092394589,0.1834272930920599,2.8898892427459715,0.5089373544712277,1.0496111264291343,True,1.0,0.940517073973238,1.098161558562672,1.3361467540298382,0.43782990307180114,0.43782990307180114,0.0,1.5354666485715098,1.6115054706683825,3.5249472930610146,0.06929719996754684,0.0,0.0
8,mint,1.1637952175376483,0.19136865710337428,2.862806095064162,0.5189636683639596,0.9851624558163609,True,0.9376861100779946,0.8821106042318899,1.0294789853238997,1.2532768241398193,0.43782990307180114,0.0,0.14227606608059587,1.5512836404621542,1.628505432433048,3.5915376853433565,0.06943471174113548,2.0,5.0
8,wls,1.1687674245611712,0.19272332944497456,2.862036473103894,0.5191946855667139,0.9895758190982568,True,0.941590456682202,0.8857594945583553,1.033795712697053,1.2584550486219195,0.43782990307180114,0.0,0.1715234347548117,1.559823671133552,1.6376639510940327,3.6270890140422125,0.06933298531702137,0.6666666666666666,6.333333333333333
16,bottom_up,1.1581940973705027,0.20525628221671355,2.878354392094799,0.5197655819765276,0.9811376504339787,True,0.9277173528931623,0.8692738287456594,1.0146971490644852,1.2277240112726437,0.4858325908257286,0.0,0.060729073853216055,1.5383069443712791,1.614666753993253,3.546219277755427,0.07028865119478293,0.0,0.0
16,independent,1.244552127303098,0.1837795143660564,2.8872894267949047,0.5150201744672763,1.0551034556015806,True,1.0,0.936870781381906,1.0944338875880328,1.3228841345160707,0.4858325908257286,0.4858325908257286,0.0,1.5383069443712791,1.614666753993253,3.546219277755427,0.07028865119478293,0.0,0.0
16,mint,1.161725019032405,0.19414801480245406,2.864148367787109,0.5240404026732969,0.9843439776089307,True,0.9315416241478314,0.8728184766741962,1.0190864468165246,1.2326449895726432,0.4858325908257286,0.0,0.1626499570807262,1.5538573746660596,1.6313726842020415,3.6167219126532686,0.07040605442574326,1.3333333333333333,5.666666666666667
16,wls,1.1660814235609485,0.19496455376129235,2.8609796187904624,0.5249841753130192,0.9881733416413004,True,0.9350002171267917,0.8760484914780822,1.02289722467649,1.2371625924296594,0.4858325908257286,0.0,0.1914899447854942,1.5636635987147904,1.6418994776908604,3.6606838237018633,0.07030518540666855,1.6666666666666667,5.333333333333333
