fold,horizon,series,pct_finite,pct_negative,pct_gt100,target_min,target_med,target_max,pred_min,pred_med,pred_max,scaled_mae,inverse_mae_weighted_mean,median_ratio,range_ratio,q95_target_mae,magnitude_alignment_ok,status
0,16,cluster_CU_weighted_mean,100.0,0.556379821958457,0.0,1.7963276836116098,2.5943502826526714,33.59895103311185,-1.6875000512557907,2.78743884931363,27.607439456977012,0.348559828493985,1.3105642612208253,1.0744265598797744,0.9211485224439244,10.165635239147678,True,OK
0,16,machine01_CU,100.0,0.6743997841920691,0.0,1.205555555514164,2.048148148762132,99.86296296361144,-7.161258665829806,2.541154584741504,66.79395320911075,,3.7952577233468667,1.2407083863915496,0.7496164131804534,,True,OK
0,16,machine02_CU,100.0,0.0,0.0,2.5097222220695894,3.6569444440667405,18.86111111134394,2.073553418691216,4.218813353380901,8.327380809915066,,1.2271870101405629,1.1536443656467827,0.382464598791729,,True,OK
0,16,machine03_CU,100.0,0.0,0.0,2.024074074191352,2.8222222224360816,44.79444444403741,0.7717789950992449,2.8925440991621523,20.483553028804636,,0.8287460472394931,1.0249172004128613,0.46087452278885516,,True,OK
0,16,machine04_CU,100.0,3.7496628001079038,0.0,0.3333333327814378,0.8425925920406971,99.80740740688312,-11.992526688510386,1.3099862257250823,87.17538181429649,,3.5115738998025026,1.5547089282524928,0.9969221571133525,,True,OK
0,16,machine05_CU,100.0,0.0,0.0,2.423333333494762,3.1266666661637537,16.819999999987584,2.5334907176207073,3.354585302068984,5.959567233157489,,0.6010629564476935,1.0728950861221398,0.2379770675326339,,True,OK
0,16,machine06_CU,100.0,0.0,0.0,0.4740740739981893,0.6074074073694651,3.279629629536497,0.5224620751275006,0.6090584901602327,1.7597964749188542,,0.05867034835857293,1.002718246058141,0.4410300830966591,,True,OK
0,16,machine07_CU,100.0,0.0,0.0,2.9055555560626103,4.141666666190657,16.497222221870384,3.091216848079215,4.428774087921096,7.563586394167959,,0.9488347824822894,1.0693217114921778,0.32905232713952404,,True,OK
0,1,cluster_CU_weighted_mean,100.0,0.4925727253971529,0.0,1.7963276836116098,2.6073446329472594,33.59895103311185,-1.6367847495910992,2.816128696088016,27.575502801091222,0.3501039316104677,1.3150739218475105,1.0800753611557494,0.9185496186792205,10.466698707359024,True,OK
0,1,machine01_CU,100.0,0.9077780070146483,0.0,1.205555555514164,2.0555555553141014,99.86296296361144,-10.941869697288839,2.5423842277559383,70.85801167205977,,3.80396444318714,1.2368355704049296,0.8291306605188058,,True,OK
0,1,machine02_CU,100.0,0.0,0.0,2.5097222220695894,3.656944444519467,18.86111111134394,2.0278381514418773,4.24473724342067,8.135851155183225,,1.2413740376970785,1.1607333137866251,0.37354704515332526,,True,OK
0,1,machine03_CU,100.0,0.04126263668248401,0.0,2.024074074191352,2.825925926401935,99.28138566643015,-7.7529253721922355,2.8877119460378804,50.32703354323895,,0.92895262581644,1.021863991217425,0.5971783299844574,,True,OK
0,1,machine04_CU,100.0,2.970909841138849,0.0,0.3333333327814378,0.8425925925580986,99.84814814826544,-11.788719196165811,1.261922008565997,92.90773429478874,,3.433701542753229,1.49766568055722,1.0520690179153538,,True,OK
0,1,machine05_CU,100.0,0.0,0.0,2.423333333494762,3.126666666629415,16.819999999987584,2.5381357744938953,3.356509135286115,5.96617214978482,,0.6036071011309719,1.0735103844326563,0.23811320041669273,,True,OK
0,1,machine06_CU,100.0,0.0,0.0,0.4740740739981893,0.6092592591799245,3.279629629536497,0.5023389647796521,0.6099978847045646,1.7859624819291706,,0.05811414352150318,1.001212333688017,0.4575291744323441,,True,OK
0,1,machine07_CU,100.0,0.0,0.0,2.9055555560626103,4.13611111153538,24.54166666630449,2.9157202151686943,4.427371588578624,7.651078719643567,,0.9563573845499664,1.0704189198957772,0.2188636617896317,,True,OK
0,8,cluster_CU_weighted_mean,100.0,0.5325960419091967,0.0,1.7963276836116098,2.6005649717792987,33.59895103311185,0.5412427583496904,2.834709536087979,24.630365339236377,0.3451211639266438,1.2969408053016054,1.0900360371109972,0.7574570913900797,10.271619512741632,True,OK
0,8,machine01_CU,100.0,0.5355064027939465,0.0,1.205555555514164,2.050000000055189,99.86296296361144,-5.224408009712814,2.5597322692527786,62.71080060501259,,3.715498632576185,1.2486498874067644,0.6885971403415334,,True,OK
0,8,machine02_CU,100.0,0.0,0.0,2.5097222220695894,3.658333333571337,18.86111111134394,2.0210554836732757,4.231251374706153,8.343192435030131,,1.235685882311315,1.1566062982498977,0.38664219866386046,,True,OK
