run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f0__h1__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,0,1,32,dlinear,0,abe0cd1cb9555ccb,2.3119037929991464,310.3574455560124
base__cpu_core_weighted__f0__h8__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,0,8,32,dlinear,0,abe0cd1cb9555ccb,1.2476997910007412,306.07803005117887
base__cpu_core_weighted__f0__h16__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,0,16,32,dlinear,0,abe0cd1cb9555ccb,1.3045958739994603,309.2931656481148
base__cpu_core_weighted__f1__h1__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,1,1,32,dlinear,0,abe0cd1cb9555ccb,1.6935374159984349,244.81006573095843
base__cpu_core_weighted__f1__h8__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,1,8,32,dlinear,0,abe0cd1cb9555ccb,1.900466291000157,243.9535971298482
base__cpu_core_weighted__f1__h16__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,1,16,32,dlinear,0,abe0cd1cb9555ccb,1.9572484179980163,244.70470965909868
base__cpu_core_weighted__f2__h1__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,2,1,32,dlinear,0,abe0cd1cb9555ccb,2.014879042000757,329.0184063337407
base__cpu_core_weighted__f2__h8__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,2,8,32,dlinear,0,abe0cd1cb9555ccb,1.9835353749995193,327.23829376050975
base__cpu_core_weighted__f2__h16__dlinear__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_dlinear,b53277ffe064c35e,cpu_core_weighted,2,16,32,dlinear,0,abe0cd1cb9555ccb,2.1258680429991728,327.1450308233799
