run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,prediction_hash,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean,neg_pred_rate
base__cpu_core_weighted__f0__h8__dlinear__s1__mint__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,8,32,dlinear,1,618fe6bdd6bbba47,abe0cd1cb9555ccb,1.1749900419981714,307.5298870240003,mint,False,99.68604404631928,0.0,True,289.9825841802501,55.681135839672926,0.0
base__cpu_core_weighted__f0__h8__dlinear__s2__independent__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,8,32,dlinear,2,b004bf027da0e394,abe0cd1cb9555ccb,1.3317451249968144,315.1904535860228,independent,False,103.20025888587324,103.20025888587324,False,315.1904535860228,57.17750618315116,0.0
base__cpu_core_weighted__f0__h8__dlinear__s2__bottom_up__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,8,32,dlinear,2,b004bf027da0e394,abe0cd1cb9555ccb,1.3317451249968144,315.1904535860228,bottom_up,False,103.20025888587324,0.0,True,298.565957935266,57.17750618315116,0.0
base__cpu_core_weighted__f0__h8__dlinear__s2__wls__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,8,32,dlinear,2,b004bf027da0e394,abe0cd1cb9555ccb,1.3317451249968144,315.1904535860228,wls,False,103.20025888587324,0.0,True,300.1097735506863,57.4833011741679,0.0
base__cpu_core_weighted__f0__h8__dlinear__s2__mint__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,8,32,dlinear,2,b004bf027da0e394,abe0cd1cb9555ccb,1.3317451249968144,315.1904535860228,mint,False,103.20025888587324,0.0,True,298.5722320602464,57.153247477555325,0.0
base__cpu_core_weighted__f0__h16__dlinear__s1__independent__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,16,32,dlinear,1,9c775b3387fbb49f,abe0cd1cb9555ccb,1.3424882930012243,311.96902692821976,independent,False,119.10457628405712,119.10457628405712,False,311.96902692821976,55.56218736013262,0.0002697599136768
base__cpu_core_weighted__f0__h16__dlinear__s1__bottom_up__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,16,32,dlinear,1,9c775b3387fbb49f,abe0cd1cb9555ccb,1.3424882930012243,311.96902692821976,bottom_up,False,119.10457628405712,0.0,True,288.29303696583105,55.56218736013262,0.0005395198273536
base__cpu_core_weighted__f0__h16__dlinear__s1__wls__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,16,32,dlinear,1,9c775b3387fbb49f,abe0cd1cb9555ccb,1.3424882930012243,311.96902692821976,wls,False,119.10457628405712,0.0,True,291.46569122897836,56.489024025120976,0.0002697599136768
base__cpu_core_weighted__f0__h16__dlinear__s1__mint__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,16,32,dlinear,1,9c775b3387fbb49f,abe0cd1cb9555ccb,1.3424882930012243,311.96902692821976,mint,False,119.10457628405712,0.0,True,289.0127674347396,55.73939495780387,0.0002697599136768
base__cpu_core_weighted__f0__h16__dlinear__s2__independent__nn0,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,16,32,dlinear,2,3cfafc32772429ec,abe0cd1cb9555ccb,1.3418617050028845,313.13619809782153,independent,False,120.3560676120714,120.3560676120714,False,313.13619809782153,56.90156221570789,0.0002697599136768
