hierarchy,model,horizon,fold,method,mean_mae,std_mae,cv,min_mae,max_mae,best_seed,worst_seed,identical_hashes,max_pred_abs_diff,stability_class,seed0_mae,seed1_mae,seed2_mae,prediction_hash_relation,direction_agreement
cpu_core_weighted,lightgbm,1,0,independent,1.1094787687062333,0.0,0.0,1.1094787687062333,1.1094787687062333,0,0,True,0.0,seed_invariant,1.1094787687062333,1.1094787687062333,1.1094787687062333,identical,all_agree
cpu_core_weighted,lightgbm,1,0,bottom_up,1.0059544225288457,0.0,0.0,1.0059544225288457,1.0059544225288457,0,0,True,0.0,seed_invariant,1.0059544225288457,1.0059544225288457,1.0059544225288457,identical,all_agree
cpu_core_weighted,lightgbm,1,0,wls,0.9998981625281598,0.0,0.0,0.9998981625281598,0.9998981625281598,0,0,True,0.0,seed_invariant,0.9998981625281598,0.9998981625281598,0.9998981625281598,identical,all_agree
cpu_core_weighted,lightgbm,1,0,mint,0.9977431249325432,0.0,0.0,0.9977431249325432,0.9977431249325432,0,0,True,0.0,seed_invariant,0.9977431249325432,0.9977431249325432,0.9977431249325432,identical,all_agree
cpu_core_weighted,lightgbm,1,1,independent,0.845825083496615,0.0,0.0,0.845825083496615,0.845825083496615,0,0,True,0.0,seed_invariant,0.845825083496615,0.845825083496615,0.845825083496615,identical,all_agree
cpu_core_weighted,lightgbm,1,1,bottom_up,0.7805449359194853,1.1102230246251563e-16,1.422369134093874e-16,0.7805449359194851,0.7805449359194851,0,0,True,0.0,seed_invariant,0.7805449359194851,0.7805449359194851,0.7805449359194851,identical,all_agree
cpu_core_weighted,lightgbm,1,1,wls,0.7733649699892714,1.1102230246251563e-16,1.435574492907997e-16,0.7733649699892713,0.7733649699892713,0,0,True,0.0,seed_invariant,0.7733649699892713,0.7733649699892713,0.7733649699892713,identical,all_agree
cpu_core_weighted,lightgbm,1,1,mint,0.7730862362246635,0.0,0.0,0.7730862362246635,0.7730862362246635,0,0,True,0.0,seed_invariant,0.7730862362246635,0.7730862362246635,0.7730862362246635,identical,all_agree
cpu_core_weighted,lightgbm,1,2,independent,1.1492168649705437,0.0,0.0,1.1492168649705437,1.1492168649705437,0,0,True,0.0,seed_invariant,1.1492168649705437,1.1492168649705437,1.1492168649705437,identical,all_agree
cpu_core_weighted,lightgbm,1,2,bottom_up,1.0205550544242874,0.0,0.0,1.0205550544242874,1.0205550544242874,0,0,True,0.0,seed_invariant,1.0205550544242874,1.0205550544242874,1.0205550544242874,identical,all_agree
cpu_core_weighted,lightgbm,1,2,wls,1.0165011232696677,0.0,0.0,1.0165011232696677,1.0165011232696677,0,0,True,0.0,seed_invariant,1.0165011232696677,1.0165011232696677,1.0165011232696677,identical,all_agree
cpu_core_weighted,lightgbm,1,2,mint,1.0112159355198145,0.0,0.0,1.0112159355198145,1.0112159355198145,0,0,True,0.0,seed_invariant,1.0112159355198145,1.0112159355198145,1.0112159355198145,identical,all_agree
cpu_core_weighted,lightgbm,8,0,independent,1.08977444725631,0.0,0.0,1.08977444725631,1.08977444725631,0,0,True,0.0,seed_invariant,1.08977444725631,1.08977444725631,1.08977444725631,identical,all_agree
cpu_core_weighted,lightgbm,8,0,bottom_up,0.9965505384455932,0.0,0.0,0.9965505384455932,0.9965505384455932,0,0,True,0.0,seed_invariant,0.9965505384455932,0.9965505384455932,0.9965505384455932,identical,all_agree
cpu_core_weighted,lightgbm,8,0,wls,0.986359339565342,0.0,0.0,0.986359339565342,0.986359339565342,0,0,True,0.0,seed_invariant,0.986359339565342,0.986359339565342,0.986359339565342,identical,all_agree
cpu_core_weighted,lightgbm,8,0,mint,0.9801360741347102,0.0,0.0,0.9801360741347102,0.9801360741347102,0,0,True,0.0,seed_invariant,0.9801360741347102,0.9801360741347102,0.9801360741347102,identical,all_agree
cpu_core_weighted,lightgbm,8,1,independent,0.8619293246865777,0.0,0.0,0.8619293246865777,0.8619293246865777,0,0,True,0.0,seed_invariant,0.8619293246865777,0.8619293246865777,0.8619293246865777,identical,all_agree
cpu_core_weighted,lightgbm,8,1,bottom_up,0.794109324195644,0.0,0.0,0.794109324195644,0.794109324195644,0,0,True,0.0,seed_invariant,0.794109324195644,0.794109324195644,0.794109324195644,identical,all_agree
cpu_core_weighted,lightgbm,8,1,wls,0.7873944212939675,0.0,0.0,0.7873944212939675,0.7873944212939675,0,0,True,0.0,seed_invariant,0.7873944212939675,0.7873944212939675,0.7873944212939675,identical,all_agree
cpu_core_weighted,lightgbm,8,1,mint,0.7877895503581098,0.0,0.0,0.7877895503581098,0.7877895503581098,0,0,True,0.0,seed_invariant,0.7877895503581098,0.7877895503581098,0.7877895503581098,identical,all_agree
cpu_core_weighted,lightgbm,8,2,independent,1.132114434314775,0.0,0.0,1.132114434314775,1.132114434314775,0,0,True,0.0,seed_invariant,1.132114434314775,1.132114434314775,1.132114434314775,identical,all_agree
cpu_core_weighted,lightgbm,8,2,bottom_up,1.021055775499171,0.0,0.0,1.021055775499171,1.021055775499171,0,0,True,0.0,seed_invariant,1.021055775499171,1.021055775499171,1.021055775499171,identical,all_agree
cpu_core_weighted,lightgbm,8,2,wls,1.0116825627701151,0.0,0.0,1.0116825627701151,1.0116825627701151,0,0,True,0.0,seed_invariant,1.0116825627701151,1.0116825627701151,1.0116825627701151,identical,all_agree
cpu_core_weighted,lightgbm,8,2,mint,1.0098630269075288,0.0,0.0,1.0098630269075288,1.0098630269075288,0,0,True,0.0,seed_invariant,1.0098630269075288,1.0098630269075288,1.0098630269075288,identical,all_agree
cpu_core_weighted,lightgbm,16,0,independent,1.117143297745833,0.0,0.0,1.117143297745833,1.117143297745833,0,0,True,0.0,seed_invariant,1.117143297745833,1.117143297745833,1.117143297745833,identical,all_agree
cpu_core_weighted,lightgbm,16,0,bottom_up,1.0307048936504906,0.0,0.0,1.0307048936504906,1.0307048936504906,0,0,True,0.0,seed_invariant,1.0307048936504906,1.0307048936504906,1.0307048936504906,identical,all_agree
cpu_core_weighted,lightgbm,16,0,wls,1.0180193510570834,0.0,0.0,1.0180193510570834,1.0180193510570834,0,0,True,0.0,seed_invariant,1.0180193510570834,1.0180193510570834,1.0180193510570834,identical,all_agree
cpu_core_weighted,lightgbm,16,0,mint,1.0129957773486316,0.0,0.0,1.0129957773486316,1.0129957773486316,0,0,True,0.0,seed_invariant,1.0129957773486316,1.0129957773486316,1.0129957773486316,identical,all_agree
cpu_core_weighted,lightgbm,16,1,independent,0.8648501103571508,0.0,0.0,0.8648501103571508,0.8648501103571508,0,0,True,0.0,seed_invariant,0.8648501103571508,0.8648501103571508,0.8648501103571508,identical,all_agree
cpu_core_weighted,lightgbm,16,1,bottom_up,0.7993938475030506,0.0,0.0,0.7993938475030506,0.7993938475030506,0,0,True,0.0,seed_invariant,0.7993938475030506,0.7993938475030506,0.7993938475030506,identical,all_agree
cpu_core_weighted,lightgbm,16,1,wls,0.7892731254510011,0.0,0.0,0.7892731254510011,0.7892731254510011,0,0,True,0.0,seed_invariant,0.7892731254510011,0.7892731254510011,0.7892731254510011,identical,all_agree
cpu_core_weighted,lightgbm,16,1,mint,0.7901883349375972,0.0,0.0,0.7901883349375972,0.7901883349375972,0,0,True,0.0,seed_invariant,0.7901883349375972,0.7901883349375972,0.7901883349375972,identical,all_agree
cpu_core_weighted,lightgbm,16,2,independent,1.1549701444181844,0.0,0.0,1.1549701444181844,1.1549701444181844,0,0,True,0.0,seed_invariant,1.1549701444181844,1.1549701444181844,1.1549701444181844,identical,all_agree
cpu_core_weighted,lightgbm,16,2,bottom_up,1.0266075964353594,0.0,0.0,1.0266075964353594,1.0266075964353594,0,0,True,0.0,seed_invariant,1.0266075964353594,1.0266075964353594,1.0266075964353594,identical,all_agree
cpu_core_weighted,lightgbm,16,2,wls,1.020968838113624,0.0,0.0,1.020968838113624,1.020968838113624,0,0,True,0.0,seed_invariant,1.020968838113624,1.020968838113624,1.020968838113624,identical,all_agree
cpu_core_weighted,lightgbm,16,2,mint,1.0172490640950174,0.0,0.0,1.0172490640950174,1.0172490640950174,0,0,True,0.0,seed_invariant,1.0172490640950174,1.0172490640950174,1.0172490640950174,identical,all_agree
cpu_core_weighted,dlinear,1,0,independent,1.327244702569006,0.0108634194069709,0.0081849408673048,1.3150739218475105,1.3414495075816597,0,2,False,914.1844638040582,practically_seed_stable,1.3150739218475105,1.3252106782778486,1.3414495075816597,distinct,all_agree
cpu_core_weighted,dlinear,1,0,bottom_up,1.2286111162912443,0.0113879462936579,0.0092689591870487,1.2201163911590962,1.2447078549960775,1,2,False,914.1844638040582,practically_seed_stable,1.2210091027185592,1.2201163911590962,1.2447078549960775,distinct,all_agree
cpu_core_weighted,dlinear,1,0,wls,1.2412461214528523,0.0110607513610728,0.0089110057787141,1.232060976643216,1.2568038736157374,0,2,False,914.1844638040582,practically_seed_stable,1.232060976643216,1.2348735140996034,1.2568038736157374,distinct,all_agree
cpu_core_weighted,dlinear,1,0,mint,1.2326491652866836,0.0113054547666215,0.0091716727557205,1.224241249457534,1.2486302270378409,0,2,False,914.1844638040582,practically_seed_stable,1.224241249457534,1.225076019364676,1.2486302270378409,distinct,all_agree
cpu_core_weighted,dlinear,1,1,independent,1.031741137487991,0.0040028657786289,0.0038797190818375,1.0281708996512142,1.0373307869955866,1,0,False,251.65831053786997,practically_seed_stable,1.0373307869955866,1.0281708996512142,1.0297217258171718,distinct,all_agree
cpu_core_weighted,dlinear,1,1,bottom_up,0.9199459731765742,0.0057453692675967,0.0062453333512162,0.914708149667674,0.9279442720428408,0,2,False,251.65831053786997,practically_seed_stable,0.914708149667674,0.9171854978192078,0.9279442720428408,distinct,all_agree
cpu_core_weighted,dlinear,1,1,wls,0.9374831619080308,0.0024681686729605,0.0026327605371995,0.9355919932375958,0.9409694933168962,1,2,False,251.65831053786997,practically_seed_stable,0.9358879991696007,0.9355919932375958,0.9409694933168962,distinct,all_agree
cpu_core_weighted,dlinear,1,1,mint,0.9363014018344346,0.0029191330088089,0.0031177279058747,0.9341661836274086,0.940428853857276,0,2,False,251.65831053786997,practically_seed_stable,0.9341661836274086,0.9343091680186192,0.940428853857276,distinct,all_agree
cpu_core_weighted,dlinear,1,2,independent,1.386295937057735,0.0059458999140566,0.0042890552840226,1.3797603690185691,1.3941457895497489,2,0,False,662.8703686428662,practically_seed_stable,1.3941457895497489,1.3849816526048877,1.3797603690185691,distinct,all_agree
cpu_core_weighted,dlinear,1,2,bottom_up,1.313489366656453,0.0125384492025299,0.0095459084183126,1.295761435674019,1.3226841038486563,2,0,False,662.8703686428662,practically_seed_stable,1.3226841038486563,1.3220225604466844,1.295761435674019,distinct,all_agree
cpu_core_weighted,dlinear,1,2,wls,1.3084986187466696,0.0099290248477179,0.0075881049513284,1.2971269129392664,1.3213183017515375,2,0,False,662.8703686428662,practically_seed_stable,1.3213183017515375,1.3070506415492051,1.2971269129392664,distinct,all_agree
cpu_core_weighted,dlinear,1,2,mint,1.3060369245465508,0.0103773396196219,0.007945670925977,1.2929018380128785,1.3182733206679045,2,0,False,662.8703686428662,practically_seed_stable,1.3182733206679045,1.3069356149588696,1.2929018380128785,distinct,all_agree
cpu_core_weighted,dlinear,8,0,independent,1.311862105453675,0.0169390525108771,0.0129122203015531,1.2969408053016054,1.3355527694323,0,2,False,917.4514284574512,moderately_seed_sensitive,1.2969408053016054,1.30309274162712,1.3355527694323,distinct,all_agree
cpu_core_weighted,dlinear,8,0,bottom_up,1.2325442781067657,0.0250665805522549,0.0203372657660283,1.2041326979239408,1.2651099912511272,0,2,False,917.4514284574512,moderately_seed_sensitive,1.2041326979239408,1.228390145145229,1.2651099912511272,distinct,all_agree
cpu_core_weighted,dlinear,8,0,wls,1.2431829453258614,0.0210099715076967,0.0169001445738057,1.2215810718434477,1.2716515828418913,0,2,False,917.4514284574512,moderately_seed_sensitive,1.2215810718434477,1.236316181292245,1.2716515828418913,distinct,all_agree
cpu_core_weighted,dlinear,8,0,mint,1.2344671005678436,0.0230617246895948,0.0186815223175949,1.209524961701427,1.2651365765264675,0,2,False,917.4514284574512,moderately_seed_sensitive,1.209524961701427,1.228739763475636,1.2651365765264675,distinct,all_agree
