hierarchy,unit,base_model,horizon,fold,method_a,method_b,npz_path,correction_family,in_holm_family,effect_class,tradeoff_class,coherence_before,coherence_after,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,ci_low,ci_high,p_value_holm,holm_rank,family_size,alpha,reject_holm_0.05,evidence_layer,family,model_a,model_b,bootstrap_rng_seed,mae_a_report,mae_b_report,abs_ci_low,abs_ci_high
memory_um,memory_level,persistence,8,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,-0.0003909527253522,-0.03228759765625,1291570370.298706,1291570370.298315,-3.0269564426582665e-13,-6.973596425717547e-13,1.2073677218242874e-13,0.9214,0.1572,True,True,228173977.45051223,228173977.45110223,2.585861828873805e-12,1597217842.1535857,1597217842.157715,2.5855259687369962e-12,427958992.2302576,427958992.23022974,-6.504214098889871e-14,2.0,5.0,-0.0009211902016378,0.0001441100269667,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,8,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,-0.0003044007550792,-0.0261993408203125,1291570370.298706,1291570370.2984016,-2.3568267132731736e-13,-5.540114011060167e-13,1.0591679590905293e-13,0.9124,0.1752,True,True,228173977.45051223,228173977.45095828,1.954873926293274e-12,1597217842.1535857,1597217842.1567082,1.955004538568699e-12,427958992.2302576,427958992.2301782,-1.855163421781865e-13,4.0,3.0,-0.000731766193633,0.0001284246967152,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,8,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,0.0,0.0,844465442.1477809,844465442.1477809,0.0,0.0,0.0,0.0,1.0,True,True,157380669.84724358,157380669.84724358,0.0,1101664688.930705,1101664688.930705,0.0,271687768.66658604,271687768.66658604,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,8,1,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,0.000277503656352,0.0902557373046875,844465442.1477809,844465442.1480584,3.2861457971121426e-13,-1.3761256668318356e-12,2.1226186404726417e-12,0.37,0.74,True,True,157380669.84724358,157380669.8492861,1.2978289958643606e-11,1101664688.930705,1101664688.9450028,1.2978289958643606e-11,271687768.66658604,271687768.6785438,4.401289275640461e-11,3.0,4.0,-0.0011931277399758,0.0016843645615046,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,8,1,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,0.0001285971400382,0.1047210693359375,844465442.1477809,844465442.1479094,1.522823002812454e-13,-1.8440108575752817e-12,2.233129960325909e-12,0.458,0.916,True,True,157380669.84724358,157380669.8487323,9.45932821151109e-12,1101664688.930705,1101664688.941126,9.459355263592078e-12,271687768.66658604,271687768.6933195,9.839772387748507e-11,3.0,4.0,-0.0015792049048586,0.0017768285052204,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,8,2,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8272,32,5000,0,0.0,0.0,1043003720.7891682,1043003720.7891682,0.0,0.0,0.0,0.0,1.0,True,True,191036776.90411717,191036776.90411717,0.0,1337257438.3288202,1337257438.3288202,0.0,451769564.84332687,451769564.84332687,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,8,2,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8272,32,5000,0,-0.0002176683230372,-0.0101089477539062,1043003720.7891682,1043003720.7889508,-2.0869371671325118e-13,-3.66116277463649e-13,-5.789918005262431e-14,0.997,0.006,False,False,191036776.90411717,191036776.9045978,2.5158614008002776e-12,1337257438.3288202,1337257438.3321843,2.51566082543326e-12,451769564.84332687,451769564.8418743,-3.215278996671716e-12,3.0,4.0,-0.0003865350837633,-5.733215140189609e-05,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,8,2,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8272,32,5000,0,0.0004988712775638,0.022247314453125,1043003720.7891682,1043003720.7896672,4.783024907968171e-13,1.4176880624322469e-13,8.281029192007945e-13,0.0022,0.0044,False,False,191036776.90411717,191036776.90357944,-2.814763269959658e-12,1337257438.3288202,1337257438.325056,-2.8148301284153307e-12,451769564.84332687,451769564.842899,-9.470362182236179e-13,5.0,2.0,0.0001423302194827,0.0008751566682147,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.0,0.0,1285438902.927975,1285438902.927975,0.0,0.0,0.0,0.0,1.0,True,True,227277894.74342436,227277894.74342436,0.0,1590945263.2039704,1590945263.2039704,0.0,426683283.0427309,426683283.0427309,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,-1.3385842432627709e-05,-0.0001373291015625,1285438902.927975,1285438902.9279616,-1.0413441200618259e-14,-1.4498108024021488e-14,-6.287340501422321e-15,1.0,0.0,False,False,227277894.74342436,227277894.7426956,-3.206454328385132e-12,1590945263.2039704,1590945263.1988692,-3.206398130997811e-12,426683283.0427309,426683283.0425786,-3.570551697255999e-13,6.0,1.0,-1.8587240568446616e-05,-7.86235843035518e-06,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,1.773573327419501e-05,0.003387451171875,1285438902.927975,1285438902.9279926,1.3797414434709052e-14,-3.817921382921359e-14,6.048620608664808e-14,0.2788,0.5576,True,True,227277894.74342436,227277894.74294963,-2.088725759491546e-12,1590945263.2039704,1590945263.2006474,-2.0887444919539863e-12,426683283.0427309,426683283.0425949,-3.187793025484424e-13,6.0,1.0,-4.6057770953832387e-05,7.913065597373475e-05,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.0,0.0,844976853.3901465,844976853.3901465,0.0,0.0,0.0,0.0,1.0,True,True,157471415.92404935,157471415.92404935,0.0,1102299911.4683452,1102299911.4683452,0.0,271934026.06367266,271934026.06367266,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,1,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.0002004773258051,0.1517791748046875,844976853.3901465,844976853.390347,2.3725777221096394e-13,-2.6566018842106376e-12,3.105665821354889e-12,0.4362,0.8724,True,True,157471415.92404935,157471415.92866796,2.932986208913434e-11,1102299911.4683452,1102299911.5006757,2.933005134457613e-11,271934026.06367266,271934026.09566814,1.1765896219516915e-10,5.0,2.0,-0.0022518222607043,0.00251665885361,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,1,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.0001726361773317,0.0750732421875,844976853.3901465,844976853.3903192,2.0430876495504331e-13,-1.2130656232854237e-12,1.620542572980792e-12,0.3864,0.7728,True,True,157471415.92404935,157471415.92744452,2.1560547693372817e-11,1102299911.4683452,1102299911.4921117,2.156084509478132e-11,271934026.06367266,271934026.0800938,6.038648225808978e-11,3.0,4.0,-0.0010221024861766,0.0013072565326014,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,2,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8264,32,5000,0,0.0,0.0,1043733133.2584704,1043733133.2584704,0.0,0.0,0.0,0.0,1.0,True,True,191170063.50656897,191170063.50656897,0.0,1338190444.5459826,1338190444.5459826,0.0,452192737.76573086,452192737.76573086,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,persistence,16,2,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8264,32,5000,0,-0.000289580944316,-0.0132598876953125,1043733133.2584704,1043733133.258181,-2.7744730438137093e-13,-4.822005566822703e-13,-7.926286721261432e-14,0.9972,0.0056,False,False,191170063.50656897,191170063.5071428,3.0019005558249532e-12,1338190444.5459826,1338190444.55,3.002078720734196e-12,452192737.76573086,452192737.767811,4.600123629349449e-12,1.0,6.0,-0.0005157361764529,-8.014173960062576e-05,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
