hierarchy,base_model,method,threshold,high_load_mae,precision,recall,f1,false_alarms_per_day,signed_bias,operational_class,lightgbm_seed_invariant,dlinear_peak_bias_all_seeds
cpu_core_weighted,dlinear,bottom_up,q90,4.852814697137401,0.5849821065674932,0.6915803903488258,0.6330608180265649,123.79396542985381,-3.2640198084036722,operationally_harmful,False,True
cpu_core_weighted,dlinear,bottom_up,q95,7.569165678256449,0.6584998494244292,0.5834286775463075,0.6175307830971302,41.88790419666059,-5.9656244258096995,operationally_harmful,False,True
cpu_core_weighted,dlinear,independent,q90,4.862412606432101,0.561777288496673,0.7090808622268194,0.6263108207807563,138.2902558954876,-3.120311599345049,n/a,False,True
cpu_core_weighted,dlinear,independent,q95,7.60387591211228,0.6377041522097746,0.5808726513302452,0.6063839406690366,45.654102557889125,-5.719536828327474,n/a,False,True
cpu_core_weighted,dlinear,mint,q90,4.830840292844381,0.5860576770505129,0.6970071843090128,0.6361563802400657,123.97291402047591,-3.22322186414667,operationally_harmful,False,True
cpu_core_weighted,dlinear,mint,q95,7.557907467740961,0.6617002900789178,0.5798354583720967,0.6171447412141617,40.86459114815477,-5.8935200245192005,operationally_harmful,False,True
cpu_core_weighted,dlinear,wls,q90,4.827759394961916,0.584422764020593,0.699160582069827,0.6362278516143607,125.00469738240594,-3.2073324694215533,coherence_only,False,True
cpu_core_weighted,dlinear,wls,q95,7.557150077951525,0.6605638998921407,0.5805626582730171,0.6170833774179522,41.108104524599675,-5.8690146505445995,operationally_harmful,False,True
cpu_core_weighted,lightgbm,bottom_up,q90,3.6204174811993943,0.6206224314808115,0.7750640224469431,0.68878749299295,117.99804454183271,-1.6940931527900565,operational_improvement,True,False
cpu_core_weighted,lightgbm,bottom_up,q95,5.14967449420917,0.643860841258089,0.7906136953664491,0.7078420663034698,61.33532892851277,-3.4086090426929285,recall_focused_tradeoff,True,False
cpu_core_weighted,lightgbm,independent,q90,4.08686120037502,0.5882271394574382,0.7205065541409111,0.6475411436395558,125.55183004644329,-2.466298374869633,n/a,True,False
cpu_core_weighted,lightgbm,independent,q95,6.174198498498044,0.6270553319927572,0.656495637399992,0.6401249554393607,53.390162353690656,-4.490576951288049,n/a,True,False
cpu_core_weighted,lightgbm,mint,q90,3.571172107980365,0.6151061650494594,0.7816343141328903,0.6879101141789694,122.25968046416604,-1.9047256935320556,operational_improvement,True,False
cpu_core_weighted,lightgbm,mint,q95,5.2373088643896235,0.6589083579657122,0.7751111809851072,0.7112518844781396,55.42756177556319,-3.703414753870696,operational_improvement,True,False
cpu_core_weighted,lightgbm,wls,q90,3.5809325018870086,0.614399616109988,0.7830289419865506,0.6880610485415956,122.71046935430802,-1.9653791175180895,operational_improvement,True,False
cpu_core_weighted,lightgbm,wls,q95,5.289799657456045,0.6628612873416428,0.7717952408507384,0.7124198418936538,53.83156284969193,-3.784355757323237,operational_improvement,True,False
cpu_core_weighted,persistence,bottom_up,q90,5.437507662986267,0.6276580162846154,0.6288687582571538,0.6282489286357087,93.1760041260289,-1.4726324718387027,coherence_only,False,False
cpu_core_weighted,persistence,bottom_up,q95,8.08900710578884,0.6326423841737733,0.6363488320226085,0.634439583899999,49.59164157015415,-2.8936658271522955,coherence_only,False,False
cpu_core_weighted,persistence,independent,q90,5.437507662986267,0.6276580162846154,0.6288687582571538,0.6282489286357087,93.1760041260289,-1.4726324718387027,n/a,False,False
cpu_core_weighted,persistence,independent,q95,8.08900710578884,0.6326423841737733,0.6363488320226085,0.634439583899999,49.59164157015415,-2.8936658271522955,n/a,False,False
cpu_core_weighted,persistence,mint,q90,5.437507662986264,0.6276580162846154,0.6288687582571538,0.6282489286357087,93.1760041260289,-1.472632471838673,coherence_only,False,False
cpu_core_weighted,persistence,mint,q95,8.08900710578884,0.6326423841737733,0.6363488320226085,0.634439583899999,49.59164157015415,-2.893665827152264,coherence_only,False,False
cpu_core_weighted,persistence,wls,q90,5.43750766298625,0.6276580162846154,0.6288687582571538,0.6282489286357087,93.1760041260289,-1.4726324718385695,coherence_only,False,False
cpu_core_weighted,persistence,wls,q95,8.08900710578883,0.6326423841737733,0.6363488320226085,0.634439583899999,49.59164157015415,-2.8936658271521654,coherence_only,False,False
cpu_core_weighted,ridge,bottom_up,q90,4.751107926037725,0.6045806703820705,0.6734001431532655,0.6366101603631176,110.58251830381698,-3.1107217742655235,operationally_harmful,False,False
