fold,horizon,reconciliation_method,mae_machine01_CU,mae_machine02_CU,mae_machine03_CU,mae_machine04_CU,mae_machine05_CU,mae_machine06_CU,mae_machine07_CU,macro_machine_mae,core_weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae,pct_neg_machines,pct_gt100_machines
0,16,independent,3.7952577233468667,1.2271870101405629,0.8287460472394931,3.5115738998025026,0.6010629564476935,0.05867034835857293,0.9488347824822894,1.5673332525454258,1.6469966062295913,3.7952577233468667,0.05867034835857293,0,0,1.3105642612208253,0.6320089406142818,0.0
0,16,bottom_up,3.7952577233468667,1.2271870101405629,0.8287460472394931,3.5115738998025026,0.6010629564476935,0.05867034835857293,0.9488347824822894,1.5673332525454258,1.6469966062295913,3.7952577233468667,0.05867034835857293,0,0,1.2198480014346502,0.6320089406142818,0.0
0,16,wls,3.9715671777574486,1.232233427945094,0.8286933502778425,3.5059038072576008,0.6015368436725659,0.058669535720788465,0.9502382023233469,1.5926917635649553,1.674227447572325,3.9715671777574486,0.058669535720788465,3,4,1.2311344015701307,0.6281552275617558,0.0
0,16,mint,3.85722590093359,1.2311721810546796,0.8286867836624615,3.50145943901303,0.6009578996435195,0.058670615591936176,0.9490766189174864,1.5753213484023862,1.6557237294438616,3.85722590093359,0.058670615591936176,3,4,1.2221808184484957,0.6165940884041775,0.0
0,1,independent,3.80396444318714,1.2413740376970785,0.92895262581644,3.433701542753229,0.6036071011309719,0.05811414352150318,0.9563573845499664,1.575153039808047,1.6555129332682106,3.80396444318714,0.05811414352150318,0,0,1.3150739218475105,0.5599929264051401,0.0
0,1,bottom_up,3.80396444318714,1.2413740376970785,0.92895262581644,3.433701542753229,0.6036071011309719,0.05811414352150318,0.9563573845499664,1.575153039808047,1.6555129332682106,3.80396444318714,0.05811414352150318,0,0,1.2210091027185592,0.5599929264051401,0.0
0,1,wls,3.9420171231415737,1.2467902642749735,0.9306011068590989,3.45083015629082,0.6038971265077738,0.05811010220650147,0.9574797768396459,1.5985322365886268,1.6806758281586167,3.9420171231415737,0.05811010220650147,1,6,1.2320609766432158,0.5776769135547761,0.0
0,1,mint,3.8526580454335773,1.2459994234461345,0.9333438150714626,3.4385751569628304,0.603550439764193,0.058127129497683165,0.9565497682776405,1.5841148254933601,1.6653115459750916,3.8526580454335773,0.058127129497683165,1,6,1.224241249457534,0.5629402575967462,0.0
0,8,independent,3.715498632576185,1.235685882311315,0.9085475872631584,3.429669225382445,0.6041878947886947,0.05841598470321715,0.948957067247574,1.557280324896084,1.6364761921099955,3.715498632576185,0.05841598470321715,0,0,1.2969408053016054,0.6086811907533677,0.0
0,8,bottom_up,3.715498632576185,1.235685882311315,0.9085475872631584,3.429669225382445,0.6041878947886947,0.05841598470321715,0.948957067247574,1.557280324896084,1.6364761921099955,3.715498632576185,0.05841598470321715,0,0,1.2041326979239406,0.6086811907533677,0.0
0,8,wls,3.855114844052195,1.2397624469460964,0.9083164410081839,3.459827820444854,0.6047402119689191,0.05841380556518853,0.9505519156659921,1.582389640807347,1.6633765782513137,3.855114844052195,0.05841380556518853,2,5,1.2215810718434479,0.6452685847330784,0.0
0,8,mint,3.7506564787198435,1.2391838532566652,0.9083011574117648,3.4406672343257982,0.6041488215789158,0.05841322950572309,0.949189394156506,1.5643657384221734,1.644210671382742,3.7506564787198435,0.05841322950572309,3,4,1.209524961701427,0.6386163312822218,0.0
1,16,independent,2.4993920640078207,1.2806299224375484,0.7459318748883362,2.580660749673509,0.6072099815793977,0.08306757809437955,0.9802285966349229,1.2538743953308449,1.3129906941853142,2.580660749673509,0.08306757809437955,0,0,1.0368843629622824,0.3408451636387703,0.0
1,16,bottom_up,2.4993920640078207,1.2806299224375484,0.7459318748883362,2.580660749673509,0.6072099815793977,0.08306757809437955,0.9802285966349229,1.2538743953308449,1.3129906941853142,2.580660749673509,0.08306757809437955,0,0,0.9291772402608398,0.3408451636387703,0.0
1,16,wls,2.6230981843867482,1.2810039520570136,0.7476533521338461,2.6530522636119116,0.6072572208806467,0.08306911227388317,0.9804559193596963,1.2822271435291068,1.343269919608527,2.6530522636119116,0.08306911227388317,0,7,0.946907513565757,0.4533571594030246,0.0
1,16,mint,2.586538313757539,1.2809019036136793,0.7472331603065457,2.6607862339680457,0.6073043587641027,0.08308012009038739,0.9802803359427471,1.2780177752061497,1.3387757136600644,2.6607862339680457,0.08308012009038739,0,7,0.9445418468941472,0.4599755120950395,0.0
1,1,independent,2.521418662889581,1.27043345907397,0.7513805917052055,2.4527492582344417,0.5996537390351567,0.0799030545659268,0.9820280266747895,1.2367952560255817,1.2946559740791281,2.521418662889581,0.0799030545659268,0,0,1.0373307869955866,0.3448556765416678,0.0
1,1,bottom_up,2.521418662889581,1.27043345907397,0.7513805917052055,2.4527492582344417,0.5996537390351567,0.0799030545659268,0.9820280266747895,1.2367952560255817,1.2946559740791281,2.521418662889581,0.0799030545659268,0,0,0.9147081496676741,0.3448556765416678,0.0
1,1,wls,2.6631702946719638,1.271066433425663,0.7541108320865026,2.5415288478994005,0.599711286239595,0.07990722753472461,0.9823079885601003,1.2702575586311358,1.330400955650845,2.6631702946719638,0.07990722753472461,0,7,0.9358879991696007,0.45618703668504085,0.0
1,1,mint,2.634384464712257,1.2708351160878535,0.7536471134100698,2.5532755133828187,0.5997493007597131,0.07993434896629834,0.9821011879438766,1.267703863608984,1.3276703048942213,2.634384464712257,0.07993434896629834,0,7,0.9341661836274087,0.47519482988025097,0.0
1,8,independent,2.5135995730442295,1.2735637365618266,0.7698059387054937,2.5136512254844923,0.603659762708316,0.07992793040162974,0.981507766226023,1.2479594190188588,1.3064910552264788,2.5136512254844923,0.07992793040162974,0,0,1.033701682753594,0.29001973330144115,0.0
1,8,bottom_up,2.5135995730442295,1.2735637365618266,0.7698059387054937,2.5136512254844923,0.603659762708316,0.07992793040162974,0.981507766226023,1.2479594190188588,1.3064910552264788,2.5136512254844923,0.07992793040162974,0,0,0.9361980040103265,0.29001973330144115,0.0
1,8,wls,2.627510211230852,1.2742027060463947,0.7720333391614242,2.635657820612347,0.6037544205775303,0.07993039800745247,0.9818216543429182,1.2821300785684169,1.3429884817391626,2.635657820612347,0.07993039800745247,0,7,0.9551432921371278,0.48436285355498415,0.0
1,8,mint,2.6057551537253505,1.2738289624146475,0.7710770654756758,2.650510430488582,0.6036950820886468,0.07994026245333069,0.9813669677295045,1.280881989196534,1.3416639148319067,2.650510430488582,0.07994026245333069,1,6,0.9537043969454486,0.5411708425521736,0.0
2,16,independent,2.9445909305937294,1.2747713524018063,2.2806769934136772,4.262739360245905,0.4992230962163959,0.06912802713139632,1.2248625366600563,1.7937131852375665,1.8840129615648538,4.262739360245905,0.06912802713139632,0,0,1.3862077577261862,0.6544798013992327,0.0
2,16,bottom_up,2.9445909305937294,1.2747713524018063,2.2806769934136772,4.262739360245905,0.4992230962163959,0.06912802713139632,1.2248625366600563,1.7937131852375665,1.8840129615648538,4.262739360245905,0.06912802713139632,0,0,1.3255570504160183,0.6544798013992327,0.0
2,16,wls,2.9996885774511304,1.281721830241363,2.2795966226276256,4.35743202973623,0.49916984807010933,0.06917690822533402,1.2257174070003745,1.8160718890503094,1.9082010658917294,4.35743202973623,0.06917690822533402,2,5,1.3202023555469582,1.05318588730911,0.0
2,16,mint,2.9764403307112945,1.2769986952752759,2.2783060074553907,4.3321536030581695,0.49938233384625325,0.06946742759490619,1.2248826047862085,1.8082330003896427,1.899618609502198,4.3321536030581695,0.06946742759490619,1,6,1.3184523917545723,0.9478672985781991,0.0
2,1,independent,2.911317003819567,1.2635909729385424,2.338150406178497,4.1877380061158105,0.5076747995642205,0.06949525167575833,1.230532490503859,1.7869284186851797,1.8753384173934486,4.1877380061158105,0.06949525167575833,0,0,1.3941457895497487,0.7007419620774938,0.0029442939583087975
2,1,bottom_up,2.911317003819567,1.2635909729385424,2.338150406178497,4.1877380061158105,0.5076747995642205,0.06949525167575833,1.230532490503859,1.7869284186851797,1.8753384173934486,4.1877380061158105,0.06949525167575833,0,0,1.3226841038486563,0.7007419620774938,0.0029442939583087975
2,1,wls,2.9695111506990512,1.270069208839765,2.3307106835099076,4.317782777461604,0.5076545127301274,0.06959140281037528,1.2316754771677363,1.8138564590312238,1.9043647468315708,4.317782777461604,0.06959140281037528,2,5,1.321318301751538,1.1453303497821223,0.0
2,1,mint,2.9289314090981087,1.2651949304143038,2.329940787388723,4.2961114510977385,0.5078437223831588,0.06987406265231132,1.230541394028588,1.8040625367232759,1.893703822596456,4.2961114510977385,0.06987406265231132,1,6,1.318273320667904,0.9833941820751384,0.0
2,8,independent,2.9782060804952346,1.2682581453196768,2.2201731941005676,4.345692021122366,0.4977335735968714,0.06954768479779362,1.2285107131645951,1.8011602017995865,1.8915491646686728,4.345692021122366,0.06954768479779362,0,0,1.3866029396631767,0.6153947411722118,0.0
2,8,bottom_up,2.9782060804952346,1.2682581453196768,2.2201731941005676,4.345692021122366,0.4977335735968714,0.06954768479779362,1.2285107131645951,1.8011602017995865,1.8915491646686728,4.345692021122366,0.06954768479779362,0,0,1.335410317985586,0.6153947411722118,0.0
2,8,wls,3.014360224070994,1.2763932997605343,2.2263498927398118,4.390494377462095,0.49791108335693035,0.06965475237842311,1.2294954284054544,1.814951294024892,1.906626793291622,4.390494377462095,0.06965475237842311,0,7,1.329577909702938,0.7996840754269917,0.0
2,8,mint,2.999844905173287,1.2711527885489216,2.2195269701655533,4.373446146821645,0.4976959118285808,0.06995064326435269,1.2286049905719465,1.8086031937677554,1.899641711084495,4.373446146821645,0.06995064326435269,2,5,1.3281562939660692,0.7305755750814493,0.0
