hierarchy,seed,fold,horizon,reconciliation_method,top_mae_report,pct_vs_independent,coherence_error_before,coherence_error_after,bottom_mae_mean_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count
cpu_core_weighted,0,0,1,bottom_up,1.2210091027185592,-7.152816093927406,111.46417771966371,0.0,55.81443603589967,136.94271995473704,0,0
cpu_core_weighted,0,0,1,wls,1.232060976643216,-6.312416650135666,111.46417771966371,0.0,56.66278506363335,141.91261643309664,1,6
cpu_core_weighted,0,0,1,mint,1.224241249457534,-6.907039283568784,111.46417771966371,0.0,56.1447892643031,138.6956896356088,1,6
cpu_core_weighted,1,0,1,bottom_up,1.2201163911590962,-7.930383360276371,111.7871754317808,0.0,55.60767337300563,136.83717015172894,0,0
cpu_core_weighted,1,0,1,wls,1.2348735140996034,-6.816815292768464,111.7871754317808,0.0,56.535358649646604,142.32341207792476,1,6
cpu_core_weighted,1,0,1,mint,1.2250760193646761,-7.556131304593794,111.7871754317808,0.0,55.928101638596466,138.53055229667652,1,6
cpu_core_weighted,2,0,1,bottom_up,1.2447078549960775,-7.211725229970522,110.32141607195008,0.0,56.42434141818868,136.2124434806469,0,0
cpu_core_weighted,2,0,1,wls,1.2568038736157374,-6.3100126756555746,110.32141607195008,0.0,57.14121995211715,141.26891211753716,2,5
cpu_core_weighted,2,0,1,mint,1.2486302270378407,-6.919327191908387,110.32141607195008,0.0,56.674815054471146,138.2041726529273,2,5
cpu_core_weighted,0,0,8,bottom_up,1.2041326979239408,-7.155924695890958,96.52036216500535,0.0,55.172625905422706,133.75795077274265,0,0
cpu_core_weighted,0,0,8,wls,1.2215810718434477,-5.810576176653859,96.52036216500535,0.0,56.07955320961572,138.784134385879,2,5
cpu_core_weighted,0,0,8,mint,1.209524961701427,-6.7401567783850975,96.52036216500535,0.0,55.43338834947529,135.02363323391438,3,4
cpu_core_weighted,1,0,8,bottom_up,1.228390145145229,-5.732715262354448,99.68604404631927,0.0,55.66872585418254,136.6946492369961,0,0
cpu_core_weighted,1,0,8,wls,1.236316181292245,-5.124467215702055,99.68604404631927,0.0,56.16184123885661,139.80397888679278,2,5
cpu_core_weighted,1,0,8,mint,1.228739763475636,-5.705885373794828,99.68604404631927,0.0,55.681135839672926,136.91106962757232,3,4
cpu_core_weighted,2,0,8,bottom_up,1.2651099912511272,-5.27442867054334,103.20025888587323,0.0,57.17750618315116,137.81756210736833,0,0
cpu_core_weighted,2,0,8,wls,1.2716515828418913,-4.784624617833034,103.20025888587323,0.0,57.4833011741679,140.146293910797,3,4
cpu_core_weighted,2,0,8,mint,1.2651365765264677,-5.2724380883702455,103.20025888587323,0.0,57.153247477555325,138.0909556117892,5,2
cpu_core_weighted,0,0,16,bottom_up,1.2198480014346502,-6.9219238209403455,116.57592199027869,0.0,55.527314152883356,136.6292780404872,0,0
cpu_core_weighted,0,0,16,wls,1.2311344015701304,-6.06073750070858,116.57592199027869,0.0,56.445382518152655,142.97641839926817,3,4
cpu_core_weighted,0,0,16,mint,1.2221808184484955,-6.743922857319362,116.57592199027869,0.0,55.82154287839304,138.86013243360924,3,4
cpu_core_weighted,1,0,16,bottom_up,1.2215806651094536,-7.589211722558686,119.10457628405712,0.0,55.56218736013262,136.74669786778182,0,0
cpu_core_weighted,1,0,16,wls,1.235024115377027,-6.5722343981150955,119.10457628405712,0.0,56.489024025120976,143.4339311909351,2,5
cpu_core_weighted,1,0,16,mint,1.2246303704861847,-7.358505977185392,119.10457628405712,0.0,55.73939495780387,138.44504612199154,2,5
cpu_core_weighted,2,0,16,bottom_up,1.265522203019458,-4.621937122934671,120.3560676120714,0.0,56.90156221570789,140.04153753528388,0,0
cpu_core_weighted,2,0,16,wls,1.2655807774904178,-4.617522566192123,120.3560676120714,0.0,57.13652001956065,143.57871987360255,3,4
cpu_core_weighted,2,0,16,mint,1.2616735994911592,-4.911993155484041,120.3560676120714,0.0,56.76541054685504,141.02823895394206,3,4
cpu_core_weighted,0,1,1,bottom_up,0.914708149667674,-11.820977345429373,110.22891972876208,0.0,43.6484014118106,90.77107186402493,0,0
cpu_core_weighted,0,1,1,wls,0.9358879991696009,-9.779213062767933,110.22891972876208,0.0,44.85351793337134,95.87413060819071,0,7
cpu_core_weighted,0,1,1,mint,0.9341661836274086,-9.945198258982835,110.22891972876208,0.0,44.761455993576604,94.83784072964126,0,7
cpu_core_weighted,1,1,1,bottom_up,0.9171854978192078,-10.794450793117749,106.07289348706479,0.0,43.65406261248647,90.94597816433998,0,0
cpu_core_weighted,1,1,1,wls,0.9355919932375958,-9.004233288942897,106.07289348706479,0.0,44.80844959398108,95.52235898262242,0,7
