hierarchy,seed,fold,horizon,finite_pred_pct,negative_pred_pct,pct_above_100_cpu_report,y_min,y_median,y_max,p_min,p_median,p_max,y_range,p_range,pred_to_target_range_ratio,scaled_space_mae,inverse_transformed_mae,median_pred_over_target,q90_mae,q95_mae,early_stop_epoch,training_batches_completed,timeout_status
cpu_core_weighted,0,0,1,100.0,0.020631318341242006,0.0,423.9333333323399,615.3333333755533,7929.352443814398,-386.28120090349944,664.6063722767718,6507.8186610575285,7505.4191104820575,6894.099861961028,0.9185496186792205,unavailable_in_frozen_pack_metrics,310.3574455560124,1.0800753611557494,1073.3049953872846,1764.3742525951493,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,0,1,100.0,0.020631318341242006,0.0,423.9333333323399,615.3333333755533,7929.352443814398,-341.2885939388184,664.0749554201935,6525.56922575714,7505.4191104820575,6866.857819695959,0.9149199689735801,unavailable_in_frozen_pack_metrics,312.74972007357223,1.0792117367951721,1074.449305326176,1761.5868553989399,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,0,1,100.0,0.0,0.0,423.9333333323399,615.3333333755533,7929.352443814398,23.48639831438436,658.5598576521878,6256.793981938326,7505.4191104820575,6233.307583623942,0.8305075961605547,unavailable_in_frozen_pack_metrics,316.5820837892716,1.0702489560243802,1091.242060873622,1800.9070744384437,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,0,8,100.0,0.0,0.0,423.9333333323399,613.7333333399145,7929.352443814398,127.73329097052692,668.991450516763,5812.766220059785,7505.4191104820575,5685.032929089259,0.7574570913900798,unavailable_in_frozen_pack_metrics,306.07803005117887,1.0900360371109972,1070.4417483905781,1767.8904097162308,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,0,8,100.0,0.0,0.0,423.9333333323399,613.7333333399145,7929.352443814398,156.94372692196316,666.6815797255822,5925.732483512185,7505.4191104820575,5768.788756590222,0.7686164718681119,unavailable_in_frozen_pack_metrics,307.5298870240003,1.086272397977026,1062.138478041517,1749.0673814830532,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,0,8,100.0,0.0,0.0,423.9333333323399,613.7333333399145,7929.352443814398,379.9617183513899,667.5461624430883,6079.948049824059,7505.4191104820575,5699.986331472669,0.7594494388077644,unavailable_in_frozen_pack_metrics,315.1904535860228,1.087681124977075,1094.3487711866965,1816.6009359420907,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,0,16,100.0,0.02697599136768276,0.0,423.9333333323399,612.2666667060305,7929.352443814398,-398.2500120963666,657.8355684380167,6515.355711846575,7505.4191104820575,6913.605723942942,0.9211485224439245,unavailable_in_frozen_pack_metrics,309.2931656481148,1.0744265598797744,1087.0661609713727,1750.3102561301332,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,0,16,100.0,0.02697599136768276,0.0,423.9333333323399,612.2666667060305,7929.352443814398,-460.09618187177944,660.3993737138121,6622.899671421504,7505.4191104820575,7082.995853293283,0.9437175658053768,unavailable_in_frozen_pack_metrics,311.96902692821976,1.0786139596113138,1086.809633646509,1741.0092869637144,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,0,16,100.0,0.02697599136768276,0.0,423.9333333323399,612.2666667060305,7929.352443814398,-70.48527718259675,659.1974277038762,6187.694735640437,7505.4191104820575,6258.180012823033,0.8338215255804794,unavailable_in_frozen_pack_metrics,313.13619809782153,1.0766508509279646,1105.9699755709703,1796.6408070265106,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,1,1,100.0,0.057023379585630106,0.0,413.86666667337215,582.4000000053396,7688.533333291612,-740.117271139647,634.4639979818834,6856.706582293097,7274.666666618239,7596.823853432744,1.0442848039062476,unavailable_in_frozen_pack_metrics,244.81006573095843,1.0893956009204437,1117.2779829734259,1728.1074584866196,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
