hierarchy,seed,horizon,reconciliation_method,n_folds,mean_mae_report,std_mae_report,mean_pct_vs_independent,mean_rel_vs_persistence,mean_rel_vs_ewma
cpu_core_weighted,0,1,bottom_up,3,1.1528004520782966,0.1733982118594745,-8.033211222054959,0.869952854556869,0.8709778614375558
cpu_core_weighted,0,1,independent,3,1.2488501661309486,0.1530107313836447,0.0,0.9458175368296105,0.9470619886552257
cpu_core_weighted,0,1,mint,3,1.1588935845842823,0.16347744219443378,-7.431485558064222,0.8756132460999809,0.8766855671240655
cpu_core_weighted,0,1,wls,3,1.1630890925214514,0.1647360922538033,-7.10514562962998,0.8786745978213989,0.8797473154895933
cpu_core_weighted,0,8,bottom_up,3,1.1585803399732844,0.16613023183337985,-6.7601158259953165,0.877247025280342,0.8779905360560222
cpu_core_weighted,0,8,independent,3,1.2390818092394589,0.14976775765849487,0.0,0.9405170739732381,0.9414126912861881
cpu_core_weighted,0,8,mint,3,1.1637952175376483,0.15625185422163548,-6.231388992200533,0.8821106042318899,0.8828963756549602
cpu_core_weighted,0,8,wls,3,1.168767424561171,0.15735793955682947,-5.8409543317798205,0.8857594945583552,0.886544969644533
cpu_core_weighted,0,16,bottom_up,3,1.158194097370503,0.167591052643883,-7.228264710683771,0.8692738287456594,0.8701273544112386
cpu_core_weighted,0,16,independent,3,1.244552127303098,0.15005534512444277,0.0,0.936870781381906,0.9378710149511185
cpu_core_weighted,0,16,mint,3,1.1617250190324049,0.1585211902801092,-6.845837585216877,0.8728184766741961,0.8737006625997493
cpu_core_weighted,0,16,wls,3,1.1660814235609485,0.159187891548195,-6.499978287320833,0.8760484914780822,0.8769348879245028
cpu_core_weighted,1,1,bottom_up,3,1.1531081498083295,0.17193184720677904,-7.756892400156357,0.870344395534843,0.8713757686259767
cpu_core_weighted,1,1,independent,3,1.24612107684465,0.156033868432441,0.0,0.9432955312647836,0.9445223477483097
cpu_core_weighted,1,1,mint,3,1.1554402674473883,0.15989469596923966,-7.440099972699699,0.873236993486044,0.8743166605117096
cpu_core_weighted,1,1,wls,3,1.1591720496288014,0.1608175273275896,-7.149303641276802,0.8759529692264371,0.8770334487649141
cpu_core_weighted,1,8,bottom_up,3,1.164962533441033,0.16394082522231299,-6.72149686460082,0.8821523065352438,0.8829067065337676
cpu_core_weighted,1,8,independent,3,1.24585776104763,0.15256584981355303,0.0,0.945495308845299,0.9463886081187826
cpu_core_weighted,1,8,mint,3,1.1658844187249355,0.15425994841175444,-6.543730097252209,0.8837173910304651,0.8845091352735065
cpu_core_weighted,1,8,wls,3,1.1692420033517859,0.15559695358052208,-6.284841754750688,0.8861554098657597,0.8869457310179966
cpu_core_weighted,1,16,bottom_up,3,1.1653473014917621,0.1710581446842738,-7.187034885257283,0.8744815800833156,0.8753326564111683
cpu_core_weighted,1,16,independent,3,1.2520723231703685,0.15695439876251768,0.0,0.9419518300569938,0.942942474665965
cpu_core_weighted,1,16,mint,3,1.1681720415271655,0.16079374444136463,-6.848971520774228,0.8775764650685174,0.8784588128210166
cpu_core_weighted,1,16,wls,3,1.1725003928994735,0.16201579809200944,-6.515394287168952,0.8807141475455776,0.8815992894795306
cpu_core_weighted,2,1,bottom_up,3,1.156137854237646,0.1626977775738044,-7.727879379419492,0.873329763487836,0.8743975336682487
cpu_core_weighted,2,1,independent,3,1.2503105341391334,0.15676202196043718,0.0,0.9463735224209932,0.947603781957619
cpu_core_weighted,2,1,mint,3,1.1606536396359983,0.15676779237254987,-7.295356809878073,0.877388543917566,0.8784862950898544
cpu_core_weighted,2,1,wls,3,1.1649667599573,0.15924314422050923,-6.972678145827859,0.8804458664744653,0.8815404457525325
cpu_core_weighted,2,8,bottom_up,3,1.179043330200751,0.17514024766429123,-6.5494690618004014,0.8918667094223633,0.8925944861738143
cpu_core_weighted,2,8,independent,3,1.257478456528804,0.15625994508538368,0.0,0.9539900734088004,0.9548821673057736
cpu_core_weighted,2,8,mint,3,1.184579922543045,0.16454427016752068,-5.985927219198913,0.897101690167292,0.897876175334169
cpu_core_weighted,2,8,wls,3,1.1880950738413496,0.16551428861008077,-5.713037566898866,0.8997118586577145,0.900487012727055
cpu_core_weighted,2,16,bottom_up,3,1.18057160404201,0.16944403145985615,-6.020213751445646,0.886059397764964,0.8869401936970412
cpu_core_weighted,2,16,independent,3,1.253636570122732,0.16225612782094162,0.0,0.9426325250932898,0.9436112201729049
cpu_core_weighted,2,16,mint,3,1.1799916392933978,0.16495552013044915,-6.015967121668901,0.8860512871173802,0.8869428095430957
cpu_core_weighted,2,16,wls,3,1.1827707358240387,0.1658798247418473,-5.800812311650049,0.8880845058957899,0.8889769937777793
memory_um,0,1,bottom_up,3,1060632667.7894378,203036244.1992449,-0.09062322666911775,0.997114378077165,1.0050712059368754
memory_um,0,1,independent,3,1058097901.6477107,184802194.5105861,0.0,0.997821462112554,1.0058452895387804
memory_um,0,1,mint,3,1037228513.9174322,196738809.9352381,-2.2573503352508593,0.9754050975416814,0.9832030848258118
memory_um,0,1,wls,3,1036811493.7713679,195977741.0589397,-2.2859244723533627,0.9751235433942895,0.9829200951823601
memory_um,0,8,bottom_up,3,1050702256.1338778,188213629.32893744,-2.2066253258653856,0.9904622186163442,0.998369548426633
memory_um,0,8,independent,3,1078226408.7703092,211567465.68982115,0.0,1.0134668807709712,1.0215614741187484
memory_um,0,8,mint,3,1038913631.0179077,193070269.99557802,-3.479181127136602,0.9778761033327047,0.9856807071871394
memory_um,0,8,wls,3,1041649745.8011246,195837027.41399202,-3.267522365852056,0.9800725480883519,0.9878900727660135
memory_um,0,16,bottom_up,3,1054990368.9334902,184241093.898184,-2.365608233704782,0.9965358699651731,1.0044323919757543
memory_um,0,16,independent,3,1084207826.3120816,206498328.98324847,0.0,1.021299075573633,1.0293945419657609
memory_um,0,16,mint,3,1042465539.1172558,189080622.17971152,-3.7083241726544016,0.9831317999541088,0.9909176993720048
memory_um,0,16,wls,3,1044916143.4172401,191608211.79661602,-3.5200690994251196,0.9850954161872609,0.9928923703273549
memory_um,1,1,bottom_up,3,1053753027.1290487,202684567.44590506,-2.3673639925693157,0.9905370741583995,0.9984355840992922
memory_um,1,1,independent,3,1078921059.1081285,207247511.61489323,0.0,1.0144049738497598,1.0225256967314655
memory_um,1,1,mint,3,1039056312.1251112,201898142.5278518,-3.7706942044046414,0.9762989848754016,0.984089269759461
memory_um,1,1,wls,3,1039612998.8283244,202453670.6949918,-3.7274452247252454,0.9767465826617121,0.9845393443548976
memory_um,1,8,bottom_up,3,1055225341.749848,182252222.21049112,-2.342230121527496,0.9957177283914594,1.0036863035154602
memory_um,1,8,independent,3,1086171062.144023,215267039.87381056,0.0,1.0208134075414985,1.0289708441627088
memory_um,1,8,mint,3,1042445868.3099117,190388000.5285811,-3.7592711495964064,0.9817702859636773,0.9896181427093923
memory_um,1,8,wls,3,1045396981.3183047,193317205.12903357,-3.5314251866576885,0.9841537979768752,0.9920159529800117
memory_um,1,16,bottom_up,3,1065245544.8703533,205558628.98973098,-2.110641486168663,1.0026979676326329,1.0106002710292419
memory_um,1,16,independent,3,1087351865.4307134,206008666.38208276,0.0,1.0243960457753785,1.0325167870470429
memory_um,1,16,mint,3,1050129626.8478551,205414981.27120352,-3.570353039304545,0.9878791049189656,0.9956701033768779
memory_um,1,16,wls,3,1051421087.7549348,206714530.89400446,-3.470522197737658,0.9889205402193939,0.9967172836049621
memory_um,2,1,bottom_up,3,1077322505.197587,218052349.29388964,-0.044949271020770176,1.0107871673023705,1.0188335814876892
memory_um,2,1,independent,3,1075401107.8168104,207440450.16137168,0.0,1.0110882627079016,1.0191869697671259
memory_um,2,1,mint,3,1054229035.4875995,212665246.9397465,-2.166687687355995,0.9893403455912276,0.9972290033755652
memory_um,2,1,wls,3,1054292185.3290979,212269038.36090204,-2.1543222897178436,0.9894570980393173,0.9973467876156409
memory_um,2,8,bottom_up,3,1111317442.8180282,234136870.1520496,-3.233193296184067,1.0414262218628438,1.0496677204964069
memory_um,2,8,independent,3,1167783700.7846644,319933470.1101449,0.0,1.084105084702055,1.092613450067089
memory_um,2,8,mint,3,1099050764.4870763,252358640.51031944,-4.8504356151663925,1.026649636656167,1.034754025755961
memory_um,2,8,wls,3,1107113250.7534392,261602248.4326221,-4.324949129826808,1.0330178541765072,1.0411593700605482
memory_um,2,16,bottom_up,3,1110443989.725692,242559933.78638062,0.1812603408714549,1.0404216963635997,1.0485676656758822
memory_um,2,16,independent,3,1103877025.3868895,220131976.73640594,0.0,1.0385607166559403,1.0467833678916276
memory_um,2,16,mint,3,1083062021.1688898,230869760.60190943,-2.190796246590576,1.0158848540756171,1.0238668437091147
memory_um,2,16,wls,3,1082203744.4336293,229676044.76004893,-2.2504732297492978,1.0152187588315578,1.023196252434751
