base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
persistence,16,mint,False,2,245994156.48958325,88002175.38039559,452192737.77444184,325499668.5696147,56928459.70958406,5290216.952565494,164283029.68441385,191170063.50865695,160625852.16447347,452192737.77444184,5290216.952565494,2,5,1043733133.2576348
ridge,16,independent,False,2,264425344.36935008,88774659.80854298,625552604.2462171,367753121.31193286,55199472.80499418,4605335.611375774,164878763.99303302,224455614.59220654,189261975.4112936,625552604.2462171,4605335.611375774,0,0,1065098498.0995754
ridge,16,bottom_up,False,2,264425344.36935008,88774659.80854298,625552604.2462171,367753121.31193286,55199472.80499418,4605335.611375774,164878763.99303302,224455614.59220654,189261975.4112936,625552604.2462171,4605335.611375774,0,0,1106800962.842381
ridge,16,wls,False,2,283046936.58698404,88769049.98741066,598803485.1918505,367366647.7177053,55202078.635773875,4605369.788589272,164922844.44783568,223245201.7651642,188491492.8729529,598803485.1918505,4605369.788589272,3,4,1065919806.8753793
ridge,16,mint,False,2,279828120.6562761,88769238.93533204,595829702.1221107,367534586.10536236,55206125.96897711,4605383.525176278,164913994.61008942,222383878.84618917,187610627.84060377,595829702.1221107,4605383.525176278,3,4,1065340507.2458456
lightgbm,1,independent,False,2,272091848.6868866,120306156.61410263,543885368.384455,346687128.97938967,65091115.79167012,4592594.152084363,276722366.70494664,232768082.75907645,200081156.39439029,543885368.384455,4592594.152084363,0,0,1263368437.7287288
lightgbm,1,bottom_up,False,2,272091848.6868866,120306156.61410263,543885368.384455,346687128.97938967,65091115.79167012,4592594.152084363,276722366.70494664,232768082.75907645,200081156.39439029,543885368.384455,4592594.152084363,0,0,1173657905.0886176
lightgbm,1,wls,False,2,305731939.05770457,120276596.31793001,557938720.5242872,351843721.2501908,65080605.522157826,4592619.904979129,276427276.22611487,240270211.25762352,207378560.60773885,557938720.5242872,4592619.904979129,3,4,1167809504.6159296
lightgbm,1,mint,False,2,282148771.80213654,120294169.79135726,549081040.4288753,346860025.71250045,65081380.321351014,4592590.535727498,276589271.05986977,234949607.09311682,202301022.3617857,549081040.4288753,4592590.535727498,4,3,1166472261.9314036
persistence,1,independent,False,2,245625694.34182873,88060586.74912429,451439811.7956275,324923081.7944196,56940332.49619519,5288358.512863873,164103671.77485204,190911648.209273,160405437.3513672,451439811.7956275,5288358.512863873,0,0,1042314122.8689455
persistence,1,bottom_up,False,2,245625694.34182873,88060586.74912429,451439811.7956275,324923081.7944196,56940332.49619519,5288358.512863873,164103671.77485204,190911648.209273,160405437.3513672,451439811.7956275,5288358.512863873,0,0,1042314122.8689455
persistence,1,wls,False,2,245625694.3499116,88060586.74929197,451439811.79641336,324923081.794345,56940332.49619841,5288358.512864063,164103671.77485225,190911648.21055382,160405437.35271966,451439811.79641336,5288358.512864063,1,6,1042314122.8677671
persistence,1,mint,False,2,245625694.3287255,88060586.74915634,451439811.782914,324923081.7951914,56940332.49619841,5288358.512863941,164103671.77485028,190911648.20569998,160405437.34771335,451439811.782914,5288358.512863941,3,4,1042314122.8727453
ridge,1,independent,False,2,263946876.66099674,88817985.78525221,624311043.0919858,366860810.4973293,55193169.222070545,4603730.31364543,164709677.2838431,224063327.55073184,188936680.61391616,624311043.0919858,4603730.31364543,0,0,1062872941.5920458
ridge,1,bottom_up,False,2,263946876.66099674,88817985.78525221,624311043.0919858,366860810.4973293,55193169.222070545,4603730.31364543,164709677.2838431,224063327.55073184,188936680.61391616,624311043.0919858,4603730.31364543,0,0,1104382836.436448
ridge,1,wls,False,2,282502112.62060046,88812058.44215274,597631222.4171891,366471857.23571914,55195849.25620988,4603763.90127167,164753328.21503612,222852884.5840256,188165170.1667587,597631222.4171891,4603763.90127167,3,4,1063609034.760056
ridge,1,mint,False,2,279306553.37140834,88811930.2299796,594671676.187193,366639591.9343337,55199949.89152483,4603782.225974269,164744401.22417045,221996840.72351202,187289740.8993446,594671676.187193,4603782.225974269,3,4,1063028098.595265
lightgbm,8,independent,False,2,273888658.7409261,120463080.57901068,551178955.4349654,347476815.4562201,64908819.18675074,4598625.525458954,263749909.6269336,232323552.07860938,199329520.9562443,551178955.4349654,4598625.525458954,0,0,1262294522.4928114
lightgbm,8,independent,True,2,273888658.7409261,120463080.57901068,551178955.4349654,347476815.4562201,64908819.18675074,4598625.525458954,263749909.6269336,232323552.07860938,199329520.9562443,551178955.4349654,4598625.525458954,0,0,1167561614.072031
lightgbm,8,bottom_up,False,2,273888658.7409261,120463080.57901068,551178955.4349654,347476815.4562201,64908819.18675074,4598625.525458954,263749909.6269336,232323552.07860938,199329520.9562443,551178955.4349654,4598625.525458954,0,0,1167561614.072031
lightgbm,8,bottom_up,True,2,273888658.7409261,120463080.57901068,551178955.4349654,347476815.4562201,64908819.18675074,4598625.525458954,263749909.6269336,232323552.07860938,199329520.9562443,551178955.4349654,4598625.525458954,0,0,1167561614.072031
lightgbm,8,wls,False,2,309473019.17516005,120433652.47676821,567682546.3159047,353907973.23249686,64900401.96933405,4598624.209981947,263700413.19954106,240670947.22559813,207373313.55931422,567682546.3159047,4598624.209981947,4,3,1162557010.7609544
lightgbm,8,wls,True,2,309473019.17516005,120433652.47676821,567682546.3159047,353907973.23249686,64900401.96933405,4598624.209981947,263700413.19954106,240670947.22559813,207373313.55931422,567682546.3159047,4598624.209981947,4,3,1162557010.7609544
lightgbm,8,mint,False,2,287473143.1432464,120448826.97060119,559273749.4987204,350198231.0549241,64900498.038943484,4598714.021008338,263700999.42363918,235799166.0215833,202652853.7655973,559273749.4987204,4598714.021008338,3,4,1160263172.3851845
lightgbm,8,mint,True,2,287473143.1432464,120448826.97060119,559273749.4987204,350198231.0549241,64900498.038943484,4598714.021008338,263700999.42363918,235799166.0215833,202652853.7655973,559273749.4987204,4598714.021008338,3,4,1160263172.3851845
lightgbm,8,ols,False,2,314591161.92611945,165832559.71774504,566199656.9493307,377738849.2097347,122783838.33551843,96159669.04360026,289653072.6007538,276136972.5404003,250955447.99753165,566199656.9493307,96159669.04360026,0,7,1232192925.0790453
lightgbm,8,ols,True,2,314591161.92611945,165832559.71774504,566199656.9493307,377738849.2097347,122783838.33551843,96159669.04360026,289653072.6007538,276136972.5404003,250955447.99753165,566199656.9493307,96159669.04360026,0,7,1232192925.0790453
persistence,8,independent,False,2,245820356.5802708,88091664.34042554,451769564.84332687,325191334.37524176,56909241.19148936,5287976.108317215,164187300.88974854,191036776.90411717,160512950.6227378,451769564.84332687,5287976.108317215,0,0,1043003720.7891682
persistence,8,independent,True,2,245820356.5802708,88091664.34042554,451769564.84332687,325191334.37524176,56909241.19148936,5287976.108317215,164187300.88974854,191036776.90411717,160512950.6227378,451769564.84332687,5287976.108317215,0,0,1043003720.7891682
persistence,8,bottom_up,False,2,245820356.5802708,88091664.34042554,451769564.84332687,325191334.37524176,56909241.19148936,5287976.108317215,164187300.88974854,191036776.90411717,160512950.6227378,451769564.84332687,5287976.108317215,0,0,1043003720.7891682
persistence,8,bottom_up,True,2,245820356.5802708,88091664.34042554,451769564.84332687,325191334.37524176,56909241.19148936,5287976.108317215,164187300.88974854,191036776.90411717,160512950.6227378,451769564.84332687,5287976.108317215,0,0,1043003720.7891682
persistence,8,wls,False,2,245820356.58505455,88091664.34033772,451769564.84187067,325191334.3753627,56909241.1914904,5287976.108317336,164187300.88974836,191036776.90459737,160512950.62327012,451769564.84187067,5287976.108317336,3,4,1043003720.7889507
persistence,8,wls,True,2,245820356.58505455,88091664.34033772,451769564.84187067,325191334.3753627,56909241.1914904,5287976.108317336,164187300.88974836,191036776.90459737,160512950.62327012,451769564.84187067,5287976.108317336,3,4,1043003720.7889507
persistence,8,mint,False,2,245820356.5770505,88091664.34031692,451769564.8428908,325191334.3752547,56909241.191466324,5287976.108317181,164187300.88975015,191036776.90357807,160512950.62217543,451769564.8428908,5287976.108317181,5,2,1043003720.7896671
persistence,8,mint,True,2,245820356.5770505,88091664.34031692,451769564.8428908,325191334.3752547,56909241.191466324,5287976.108317181,164187300.88975015,191036776.90357807,160512950.62217543,451769564.8428908,5287976.108317181,5,2,1043003720.7896671
persistence,8,ols,False,2,245820356.58027333,88091664.34042314,451769564.8433217,325191334.3752419,56909241.19148834,5287976.108317112,164187300.8897486,191036776.9041163,160512950.62273708,451769564.8433217,5287976.108317112,4,3,1043003720.7891706
persistence,8,ols,True,2,245820356.58027333,88091664.34042314,451769564.8433217,325191334.3752419,56909241.19148834,5287976.108317112,164187300.8897486,191036776.9041163,160512950.62273708,451769564.8433217,5287976.108317112,4,3,1043003720.7891706
ridge,8,independent,False,2,264179578.46971598,88865772.20556794,624820134.8466765,367240942.7086412,55180008.295732036,4603854.991434016,164820774.43998656,224244437.99396488,189089443.13660216,624820134.8466765,4603854.991434016,0,0,1063739741.8137753
ridge,8,independent,True,2,264179578.46971598,88865772.20556794,624820134.8466765,367240942.7086412,55180008.295732036,4603854.991434016,164820774.43998656,224244437.99396488,189089443.13660216,624820134.8466765,4603854.991434016,0,0,1105377507.1309767
ridge,8,bottom_up,False,2,264179578.46971598,88865772.20556794,624820134.8466765,367240942.7086412,55180008.295732036,4603854.991434016,164820774.43998656,224244437.99396488,189089443.13660216,624820134.8466765,4603854.991434016,0,0,1105377507.1309767
ridge,8,bottom_up,True,2,264179578.46971598,88865772.20556794,624820134.8466765,367240942.7086412,55180008.295732036,4603854.991434016,164820774.43998656,224244437.99396488,189089443.13660216,624820134.8466765,4603854.991434016,0,0,1105377507.1309767
ridge,8,wls,False,2,282765392.7349822,88859983.39735241,598099219.7586842,366848192.76092005,55182707.03666535,4603888.560105044,164864245.66808444,223031947.13097054,188316784.94409546,598099219.7586842,4603888.560105044,3,4,1064527863.0082309
ridge,8,wls,True,2,282765392.7349822,88859983.39735241,598099219.7586842,366848192.76092005,55182707.03666535,4603888.560105044,164864245.66808444,223031947.13097054,188316784.94409546,598099219.7586842,4603888.560105044,3,4,1064527863.0082309
ridge,8,mint,False,2,279567078.2489333,88860005.45998348,595128490.4955506,367017076.8895272,55186866.294739105,4603905.970234478,164855427.6665071,222174121.57506785,187439530.60053593,595128490.4955506,4603905.970234478,3,4,1063940225.901815
ridge,8,mint,True,2,279567078.2489333,88860005.45998348,595128490.4955506,367017076.8895272,55186866.294739105,4603905.970234478,164855427.6665071,222174121.57506785,187439530.60053593,595128490.4955506,4603905.970234478,3,4,1063940225.901815
ridge,8,ols,False,2,284296820.4570338,113406214.52404511,599559537.1668673,369633276.42054814,85712455.8119728,53876578.3531514,180297305.67624196,240968884.0585515,211446594.23064503,599559537.1668673,53876578.3531514,1,6,1056590027.3318185
ridge,8,ols,True,2,284296820.4570338,113406214.52404511,599559537.1668673,369633276.42054814,85712455.8119728,53876578.3531514,180297305.67624196,240968884.0585515,211446594.23064503,599559537.1668673,53876578.3531514,1,6,1056590027.3318185
