hierarchy,best_pure_accuracy,best_pure_accuracy_mae,best_accuracy_coherence,best_accuracy_coherence_mae,unsuitable,negative_findings
cpu,lightgbm+mint,0.9311407916065129,lightgbm+mint,0.9311407916065129,WLS/MinT when machine-level Pareto required,WLS/MinT may degrade machines vs bottom_up
memory,dlinear+mint,1039535894.6841986,dlinear+mint,1039535894.6841986,lightgbm as accuracy leader vs persistence,memory LightGBM weak vs persistence
disk,persistence+independent,1550152926.0888884,persistence+independent,1550152926.0888884,bottom_up for learned models; lightgbm transferred hparams,disk BU harmful; LGBM transferred-stress
