hierarchy,base_model,horizon,method,n_folds,wins,ties,losses,mean_rel,best_fold_rel,worst_fold_rel,fold_consistency,fold_rels
cpu_core_weighted,ridge,8,wls,3,3,0,0,-0.08232944185667483,-0.0980827345127191,-0.0644661407960493,strongly_consistent,-0.0844395;-0.0980827;-0.0644661
cpu_core_weighted,ridge,16,bottom_up,3,3,0,0,-0.0955884497059859,-0.117699417365541,-0.0618000893390226,strongly_consistent,-0.107266;-0.117699;-0.0618001
cpu_core_weighted,ridge,16,mint,3,3,0,0,-0.08935714491454853,-0.1021284844818821,-0.064507223824926,strongly_consistent,-0.101436;-0.102128;-0.0645072
cpu_core_weighted,ridge,16,wls,3,3,0,0,-0.0822047180074396,-0.0989785070418633,-0.061463593339453,strongly_consistent,-0.0861721;-0.0989785;-0.0614636
disk_ud,lightgbm,1,bottom_up,3,0,0,3,6.227101579399189,4.20476665975324,8.0615991334025,consistently_harmful,8.0616;4.20477;6.41494
disk_ud,lightgbm,1,mint,3,1,0,2,2.6872251070157778,-0.0292364286877071,4.969001167531352,mixed,4.969;-0.0292364;3.12191
disk_ud,lightgbm,1,top_down,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,lightgbm,1,wls,3,0,0,3,2.2081028349607883,0.2771189406742232,4.153692780435706,consistently_harmful,4.15369;0.277119;2.1935
disk_ud,lightgbm,8,bottom_up,3,0,0,3,8.436542283879922,1.4329023428863306,15.210982897038614,consistently_harmful,8.66574;1.4329;15.211
disk_ud,lightgbm,8,mint,3,0,0,3,4.046196603927943,0.0940468575696819,6.7602740383088005,consistently_harmful,6.76027;0.0940469;5.28427
disk_ud,lightgbm,8,top_down,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,lightgbm,8,wls,3,0,0,3,3.045112648727507,0.1229285713964224,5.490974284494916,consistently_harmful,5.49097;0.122929;3.52144
disk_ud,persistence,1,bottom_up,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,persistence,1,mint,3,0,0,3,7.862531155381887e-11,3.7001510402521176e-11,1.6105056292102728e-10,consistently_harmful,3.78239e-11;1.61051e-10;3.70015e-11
disk_ud,persistence,1,top_down,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,persistence,1,wls,3,1,0,2,2.141385195695265e-12,-4.553754545643422e-11,2.9682652251589246e-11,mixed,2.2279e-11;-4.55375e-11;2.96827e-11
disk_ud,persistence,8,bottom_up,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,persistence,8,mint,3,1,0,2,3.1751150259148996e-11,-2.5830868901710943e-11,1.1654284605046295e-10,mixed,4.54147e-12;1.16543e-10;-2.58309e-11
disk_ud,persistence,8,top_down,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,persistence,8,wls,3,2,1,0,-4.563173628533239e-12,-1.240403681447398e-11,6.67494820257696e-13,directionally_consistent,-1.2404e-11;-1.95298e-12;6.67495e-13
disk_ud,ridge,1,bottom_up,3,0,0,3,0.1599667562144432,0.0146636858213598,0.2949651260001283,consistently_harmful,0.170271;0.294965;0.0146637
disk_ud,ridge,1,mint,3,1,0,2,0.017065759328128167,-0.01764193484301,0.0459611438396711,mixed,0.0228781;0.0459611;-0.0176419
disk_ud,ridge,1,top_down,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,ridge,1,wls,3,1,0,2,0.037959283409538865,-0.018404191825174,0.0924490993436072,mixed,0.0398329;0.0924491;-0.0184042
disk_ud,ridge,8,bottom_up,3,0,0,3,0.1366864331215267,0.0148108768878599,0.2244602475588722,consistently_harmful,0.170788;0.22446;0.0148109
disk_ud,ridge,8,mint,3,1,0,2,0.013411134972662999,-0.0175747624657309,0.0315001261996693,mixed,0.0315001;0.026308;-0.0175748
disk_ud,ridge,8,top_down,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
disk_ud,ridge,8,wls,3,1,0,2,0.02841372381230123,-0.0183057620276012,0.0593650429476113,mixed,0.0441819;0.059365;-0.0183058
memory_um,dlinear,1,bottom_up,3,1,0,2,-0.0009062322666911999,-0.0443490118824686,0.0372716288002138,mixed,0.00435869;-0.044349;0.0372716
memory_um,dlinear,1,mint,3,3,0,0,-0.02257350335250853,-0.0522352277418812,-0.0043763673896841,strongly_consistent,-0.0111089;-0.0522352;-0.00437637
memory_um,dlinear,1,wls,3,3,0,0,-0.022859244723533536,-0.052358862345893,-0.0035353047955737,strongly_consistent,-0.0126836;-0.0523589;-0.0035353
memory_um,dlinear,8,bottom_up,3,2,0,1,-0.022066253258653898,-0.0746748541921337,0.0534090116968487,mixed,-0.0746749;-0.0449329;0.053409
memory_um,dlinear,8,mint,3,2,0,1,-0.03479181127136603,-0.0629671044133803,0.0084640652303884,directionally_consistent,-0.0629671;-0.0498724;0.00846407
memory_um,dlinear,8,wls,3,2,0,1,-0.03267522365852057,-0.057975623895966,0.0100122789381297,directionally_consistent,-0.0579756;-0.0500623;0.0100123
memory_um,dlinear,16,bottom_up,3,2,0,1,-0.023656082337047833,-0.0776700563064765,0.0549255367177261,mixed,-0.0776701;-0.0482237;0.0549255
memory_um,dlinear,16,mint,3,2,0,1,-0.037083241726544,-0.06468378856975,0.0071825967911129,directionally_consistent,-0.0646838;-0.0537485;0.0071826
memory_um,dlinear,16,wls,3,2,0,1,-0.03520069099425124,-0.0601635627079822,0.0085910806990152,directionally_consistent,-0.0601636;-0.0540296;0.00859108
memory_um,lightgbm,1,bottom_up,3,2,0,1,-0.021352159612311735,-0.11554057564022,0.1224930993721568,mixed,0.122493;-0.115541;-0.071009
memory_um,lightgbm,1,mint,3,3,0,0,-0.06097811819363589,-0.0977191061277892,-0.0085185597408977,strongly_consistent,-0.00851856;-0.0977191;-0.0766967
memory_um,lightgbm,1,wls,3,2,0,1,-0.053780557209614666,-0.0966356946477462,0.0109322376988526,directionally_consistent,0.0109322;-0.0966357;-0.0756382
memory_um,lightgbm,8,bottom_up,3,2,0,1,0.07821262514348314,-0.0750481814923029,0.3161464822196109,mixed,0.316146;-0.00646043;-0.0750482
memory_um,lightgbm,8,mint,3,2,0,1,0.015737050078219267,-0.0808300664302438,0.1521621490281455,mixed,0.152162;-0.0241209;-0.0808301
memory_um,lightgbm,8,wls,3,2,0,1,-0.014889287059624001,-0.0790128689894755,0.0588730527846075,mixed,0.0588731;-0.024528;-0.0790129
memory_um,lightgbm,16,bottom_up,3,1,0,2,0.04901891818938494,-0.1071832158305518,0.217030327187398,mixed,0.21703;0.0372096;-0.107183
