hierarchy,base_model,horizon,reconciliation_method,top_mae,coherence_after,coherence_before
cpu_core_weighted,dlinear,1,bottom_up,272.060906690478,0.0,115.43292676248166
cpu_core_weighted,dlinear,1,independent,294.72863920690384,115.43292676248166,115.43292676248166
cpu_core_weighted,dlinear,1,mint,273.4988859618906,0.0,115.43292676248166
cpu_core_weighted,dlinear,1,wls,274.48902583506253,0.0,115.43292676248166
cpu_core_weighted,dlinear,8,bottom_up,273.4249602336951,0.0,103.32785712494508
cpu_core_weighted,dlinear,8,independent,292.4233069805123,103.32785712494508,103.32785712494508
cpu_core_weighted,dlinear,8,mint,274.655671338885,0.0,103.32785712494508
cpu_core_weighted,dlinear,8,wls,275.82911219643637,0.0,103.32785712494508
cpu_core_weighted,dlinear,16,bottom_up,273.3338069794387,0.0,114.65649143487195
cpu_core_weighted,dlinear,16,independent,293.7143020435311,114.65649143487195,114.65649143487195
cpu_core_weighted,dlinear,16,mint,274.16710449164754,0.0,114.65649143487195
cpu_core_weighted,dlinear,16,wls,275.19521596038385,0.0,114.65649143487195
cpu_core_weighted,lightgbm,1,bottom_up,220.82161381264598,0.0,157.03696349193052
cpu_core_weighted,lightgbm,1,independent,244.22229641764014,157.03696349193052,157.03696349193052
cpu_core_weighted,lightgbm,1,mint,218.85423000525898,0.0,157.03696349193052
cpu_core_weighted,lightgbm,1,wls,219.46145478858512,0.0,157.03696349193052
cpu_core_weighted,lightgbm,8,bottom_up,221.15771610976557,0.0,158.18196279610467
cpu_core_weighted,lightgbm,8,independent,231.86041712237758,79.09098139805234,158.18196279610467
cpu_core_weighted,lightgbm,8,mint,218.8813251608592,0.0,158.18196279610467
cpu_core_weighted,lightgbm,8,ols,233.73984593240854,0.0,158.18196279610467
cpu_core_weighted,lightgbm,8,wls,219.5180518909074,0.0,158.18196279610467
cpu_core_weighted,lightgbm,16,bottom_up,224.7275652236602,0.0,162.3961407986088
cpu_core_weighted,lightgbm,16,independent,246.77446613166526,162.3961407986088,162.3961407986088
cpu_core_weighted,lightgbm,16,mint,221.87407654199137,0.0,162.3961407986088
cpu_core_weighted,lightgbm,16,wls,222.4898900835744,0.0,162.3961407986088
cpu_core_weighted,persistence,1,bottom_up,311.5982975506591,0.0,0.0
cpu_core_weighted,persistence,1,independent,311.5982975506591,0.0,0.0
cpu_core_weighted,persistence,1,mint,311.5982975506579,0.0,0.0
cpu_core_weighted,persistence,1,wls,311.5982975506619,0.0,0.0
cpu_core_weighted,persistence,8,bottom_up,310.5646395503428,0.0,0.0
cpu_core_weighted,persistence,8,independent,310.5646395503428,0.0,0.0
cpu_core_weighted,persistence,8,mint,310.56463955034536,0.0,0.0
cpu_core_weighted,persistence,8,ols,310.564639550343,0.0,0.0
cpu_core_weighted,persistence,8,wls,310.5646395503504,0.0,0.0
cpu_core_weighted,persistence,16,bottom_up,313.3599697347256,0.0,0.0
cpu_core_weighted,persistence,16,independent,313.3599697347256,0.0,0.0
cpu_core_weighted,persistence,16,mint,313.35996973472254,0.0,0.0
cpu_core_weighted,persistence,16,wls,313.3599697347356,0.0,0.0
cpu_core_weighted,ridge,1,bottom_up,269.26402122861947,0.0,121.90340099508767
cpu_core_weighted,ridge,1,independent,295.7998145318292,121.90340099508767,121.90340099508767
cpu_core_weighted,ridge,1,mint,270.5047835721503,0.0,121.90340099508767
cpu_core_weighted,ridge,1,wls,272.14296380160584,0.0,121.90340099508767
cpu_core_weighted,ridge,8,bottom_up,265.11334683175636,0.0,121.02390566609495
cpu_core_weighted,ridge,8,independent,278.8609581738328,60.511952833047474,121.02390566609495
cpu_core_weighted,ridge,8,mint,267.14355411729406,0.0,121.02390566609495
cpu_core_weighted,ridge,8,ols,286.57265112421396,0.0,121.02390566609495
cpu_core_weighted,ridge,8,wls,269.33091205055456,0.0,121.02390566609495
cpu_core_weighted,ridge,16,bottom_up,269.2148304283287,0.0,120.91612680330746
cpu_core_weighted,ridge,16,independent,296.93040952684316,120.91612680330746,120.91612680330746
cpu_core_weighted,ridge,16,mint,270.81068146324577,0.0,120.91612680330746
cpu_core_weighted,ridge,16,wls,273.00246707347816,0.0,120.91612680330746
disk_ud,lightgbm,1,bottom_up,57040439415.47003,0.0,51578077685.37145
disk_ud,lightgbm,1,independent,9138899709.420622,51578077685.37145,51578077685.37145
disk_ud,lightgbm,1,mint,21589957719.88969,0.0,51578077685.37145
disk_ud,lightgbm,1,top_down,9138899709.420622,7.0834837862155e-05,51578077685.37145
disk_ud,lightgbm,1,wls,20726933042.249626,0.0,51578077685.37145
disk_ud,lightgbm,8,bottom_up,51078933573.220085,0.0,44540619658.97568
disk_ud,lightgbm,8,independent,8871236896.70711,44540619658.97568,44540619658.97568
disk_ud,lightgbm,8,mint,26662402140.8853,0.0,44540619658.97568
disk_ud,lightgbm,8,top_down,8871236896.70711,7.82520933939102e-05,44540619658.97568
disk_ud,lightgbm,8,wls,22552552939.670227,0.0,44540619658.97568
disk_ud,persistence,1,bottom_up,1549522849.3455029,0.0,0.0
disk_ud,persistence,1,independent,1549522849.3455029,0.0,0.0
disk_ud,persistence,1,mint,1549522849.4507303,0.0,0.0
disk_ud,persistence,1,top_down,1549522849.3455029,2.4583194880779764e-08,0.0
disk_ud,persistence,1,wls,1549522849.3582022,0.0,0.0
disk_ud,persistence,8,bottom_up,1550783002.8322742,0.0,0.0
disk_ud,persistence,8,independent,1550783002.8322742,0.0,0.0
disk_ud,persistence,8,mint,1550783002.865372,0.0,0.0
disk_ud,persistence,8,top_down,1550783002.8322742,2.4604005421856734e-08,0.0
disk_ud,persistence,8,wls,1550783002.824249,0.0,0.0
disk_ud,ridge,1,bottom_up,2012543448.9063501,0.0,945603562.8409365
disk_ud,ridge,1,independent,1753483059.538901,945603562.8409365,945603562.8409365
disk_ud,ridge,1,mint,1779308310.6313276,0.0,945603562.8409365
disk_ud,ridge,1,top_down,1753483059.538901,8.129681847806653e-05,945603562.8409365
disk_ud,ridge,1,wls,1811080473.228279,0.0,945603562.8409365
