hierarchy,base_model,horizon,method_b,top_rel,macro_rel,weighted_rel,worst_rel,machines_improved,machines_degraded,coh_after,tradeoff_class
cpu_core_weighted,dlinear,1,bottom_up,-0.08033211222054956,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,dlinear,1,mint,-0.07431485558064226,0.013422980386101874,0.013737452951700155,0.027827327671307883,0.6666666666666666,6.333333333333333,0.0,pareto_improvement
cpu_core_weighted,dlinear,1,wls,-0.07105145629629978,0.018989200451430235,0.019429002613775878,0.041188163832807496,1.0,6.0,0.0,pareto_improvement
cpu_core_weighted,dlinear,8,bottom_up,-0.06760115825995312,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,dlinear,8,mint,-0.06231388992200528,0.011687772769183537,0.011975395984150553,0.023431815233187103,2.0,5.0,0.0,pareto_improvement
cpu_core_weighted,dlinear,8,wls,-0.05840954331779802,0.017053944835770312,0.01744816676210714,0.032141303464845256,0.6666666666666666,6.333333333333333,0.0,pareto_improvement
cpu_core_weighted,dlinear,16,bottom_up,-0.07228264710683768,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,dlinear,16,mint,-0.06845837585216873,0.010815491776565175,0.011073464463520442,0.021220060416611803,1.3333333333333333,5.666666666666667,0.0,pareto_improvement
cpu_core_weighted,dlinear,16,wls,-0.06499978287320823,0.01708551666914813,0.017477835969221044,0.0322402610781559,1.6666666666666667,5.333333333333333,0.0,pareto_improvement
cpu_core_weighted,lightgbm,1,bottom_up,-0.09414810693894403,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,lightgbm,1,mint,-0.1022633739081798,0.025404137813321584,0.026356355069441974,0.04687528049545694,2.3333333333333335,4.666666666666667,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,1,wls,-0.0999730821278463,0.031590267048757385,0.03319217263605429,0.050616166082538834,1.3333333333333333,5.666666666666667,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,8,bottom_up,-0.08744220284360558,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,lightgbm,8,mint,-0.0982025266367858,0.024360256043612513,0.02526838282416775,0.052430038982964895,2.3333333333333335,4.666666666666667,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,8,wls,-0.09591606766753347,0.029791953668491588,0.031327887342335915,0.053217211967559595,0.6666666666666666,6.333333333333333,0.0,aggregate_focused_improvement
cpu_core_weighted,lightgbm,16,bottom_up,-0.08806629104217807,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,lightgbm,16,mint,-0.09959930245335134,0.025218775337520306,0.026152844594332366,0.049342661839554214,2.3333333333333335,4.666666666666667,0.0,aggregate_focused_improvement
