claim,horizon,fold,mae_persistence,mae_lightgbm,relative_mae_diff,mean_paired_diff,ci_low,ci_high,n_paired,block_length,effect_class
A_cpu_lgbm_vs_persistence,1,0,1.4204331179186942,1.1094787687062335,-0.2189151641775926,-0.310954349212461,-0.37350276057336057,-0.25696535802588705,4847,32,substantial_improvement
A_cpu_lgbm_vs_persistence,1,1,1.0957052557717806,0.8458250834966149,-0.22805418789303689,-0.24988017227516557,-0.3023324434694199,-0.2019157329792654,5261,32,substantial_improvement
A_cpu_lgbm_vs_persistence,1,2,1.4448569341568862,1.1492168649705437,-0.20461546205531878,-0.29564006918634256,-0.362098445680358,-0.23066676417998452,4852,32,substantial_improvement
A_cpu_lgbm_vs_persistence,8,0,1.3906675083299915,1.08977444725631,-0.21636592447249628,-0.30089306107368136,-0.36336444460864314,-0.2341699613131985,4295,32,substantial_improvement
A_cpu_lgbm_vs_persistence,8,1,1.1125931579402315,0.8619293246865776,-0.22529693937513823,-0.25066383325365416,-0.3004758752712327,-0.19674673567418874,4778,32,substantial_improvement
A_cpu_lgbm_vs_persistence,8,2,1.4445949212341347,1.132114434314775,-0.21631011041656148,-0.3124804869193595,-0.38741520952641967,-0.24322748162986396,4341,32,substantial_improvement
A_cpu_lgbm_vs_persistence,16,0,1.4060271584162536,1.117143297745833,-0.2054610815596327,-0.2888838606704206,-0.36243243093170896,-0.22845346078201717,3707,32,substantial_improvement
A_cpu_lgbm_vs_persistence,16,1,1.1116127835890854,0.8648501103571508,-0.2219861779883525,-0.24676267323193457,-0.3055489368680802,-0.1919122552068389,4317,32,substantial_improvement
A_cpu_lgbm_vs_persistence,16,2,1.465749503775071,1.1549701444181844,-0.21202760673393875,-0.3107793593568865,-0.38749933288940125,-0.23791704452820625,3798,32,substantial_improvement
