run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean,source_pack
base__memory_um__f0__h8__persistence__s0__independent__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,independent,True,0.0,0.0,True,1291570370.298706,228173977.45051223,memory_classical
base__memory_um__f0__h8__persistence__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,bottom_up,False,0.0,0.0,True,1291570370.298706,228173977.45051223,memory_classical
base__memory_um__f0__h8__persistence__s0__bottom_up__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,bottom_up,True,0.0,0.0,True,1291570370.298706,228173977.45051223,memory_classical
base__memory_um__f0__h8__persistence__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,wls,False,0.0,0.0,True,1291570370.298315,228173977.45110172,memory_classical
base__memory_um__f0__h8__persistence__s0__wls__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,wls,True,0.0,0.0,True,1291570370.298315,228173977.45110172,memory_classical
base__memory_um__f0__h8__persistence__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,mint,False,0.0,0.0,True,1291570370.2984016,228173977.45096025,memory_classical
base__memory_um__f0__h8__persistence__s0__mint__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,mint,True,0.0,0.0,True,1291570370.2984016,228173977.45096025,memory_classical
base__memory_um__f0__h8__persistence__s0__ols__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,ols,False,0.0,0.0,True,1291570370.298708,228173977.4505115,memory_classical
base__memory_um__f0__h8__persistence__s0__ols__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706,ols,True,0.0,0.0,True,1291570370.298708,228173977.4505115,memory_classical
base__memory_um__f0__h8__ridge__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,independent,False,464923296.3696819,464923296.3696819,False,1357156730.239117,261400373.5963501,memory_classical
base__memory_um__f0__h8__ridge__s0__independent__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,independent,True,464923296.3696819,0.0,True,1261466683.145857,261400373.5963501,memory_classical
base__memory_um__f0__h8__ridge__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,bottom_up,False,464923296.3696819,0.0,True,1261466683.145857,261400373.5963501,memory_classical
base__memory_um__f0__h8__ridge__s0__bottom_up__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,bottom_up,True,464923296.3696819,0.0,True,1261466683.145857,261400373.5963501,memory_classical
