hierarchy,seed,fold,horizon,reconciliation_method,top_mae_report,pct_vs_independent,coherence_error_before,coherence_error_after,bottom_mae_mean_native,worst_machine_mae_native
cpu_core_weighted,0,0,1,bottom_up,1.0059544225288457,-9.330899256243319,172.09132864608608,0.0,46.61391014236892,111.90665608296979
cpu_core_weighted,0,0,1,wls,0.9998981625281598,-9.876764591525788,172.09132864608608,0.0,48.36474936530754,119.5668036282799
cpu_core_weighted,0,0,1,mint,0.9977431249325431,-10.071003332852001,172.09132864608608,0.0,48.25110440351016,118.58520076844309
cpu_core_weighted,1,0,1,bottom_up,1.0059544225288457,-9.330899256243319,172.09132864608608,0.0,46.61391014236892,111.90665608296979
cpu_core_weighted,1,0,1,wls,0.9998981625281598,-9.876764591525788,172.09132864608608,0.0,48.36474936530754,119.5668036282799
cpu_core_weighted,1,0,1,mint,0.9977431249325431,-10.071003332852001,172.09132864608608,0.0,48.25110440351016,118.58520076844309
cpu_core_weighted,2,0,1,bottom_up,1.0059544225288457,-9.330899256243319,172.09132864608608,0.0,46.61391014236892,111.90665608296979
cpu_core_weighted,2,0,1,wls,0.9998981625281598,-9.876764591525788,172.09132864608608,0.0,48.36474936530754,119.5668036282799
cpu_core_weighted,2,0,1,mint,0.9977431249325431,-10.071003332852001,172.09132864608608,0.0,48.25110440351016,118.58520076844309
cpu_core_weighted,0,0,8,bottom_up,0.9965505384455932,-8.554422343579793,171.44483583057644,0.0,46.43133409300681,110.53426005754847
cpu_core_weighted,0,0,8,wls,0.9863593395653419,-9.48958823097138,171.44483583057644,0.0,48.13533315680387,118.48714401827553
cpu_core_weighted,0,0,8,mint,0.9801360741347102,-10.060648182532894,171.44483583057644,0.0,47.52517354815662,116.52034133100786
cpu_core_weighted,1,0,8,bottom_up,0.9965505384455932,-8.554422343579793,171.44483583057644,0.0,46.43133409300681,110.53426005754847
cpu_core_weighted,1,0,8,wls,0.9863593395653419,-9.48958823097138,171.44483583057644,0.0,48.13533315680387,118.48714401827553
cpu_core_weighted,1,0,8,mint,0.9801360741347102,-10.060648182532894,171.44483583057644,0.0,47.52517354815662,116.52034133100786
cpu_core_weighted,2,0,8,bottom_up,0.9965505384455932,-8.554422343579793,171.44483583057644,0.0,46.43133409300681,110.53426005754847
cpu_core_weighted,2,0,8,wls,0.9863593395653419,-9.48958823097138,171.44483583057644,0.0,48.13533315680387,118.48714401827553
cpu_core_weighted,2,0,8,mint,0.9801360741347102,-10.060648182532894,171.44483583057644,0.0,47.52517354815662,116.52034133100786
cpu_core_weighted,0,0,16,bottom_up,1.0307048936504906,-7.737450000349777,183.11774023810403,0.0,47.06120562341504,113.76937071030068
cpu_core_weighted,0,0,16,wls,1.0180193510570834,-8.872984055739463,183.11774023810403,0.0,49.19087278623136,125.06632390974114
cpu_core_weighted,0,0,16,mint,1.0129957773486316,-9.322664389371527,183.11774023810403,0.0,48.22835549140253,119.87375581581951
cpu_core_weighted,1,0,16,bottom_up,1.0307048936504906,-7.737450000349777,183.11774023810403,0.0,47.06120562341504,113.76937071030068
cpu_core_weighted,1,0,16,wls,1.0180193510570834,-8.872984055739463,183.11774023810403,0.0,49.19087278623136,125.06632390974114
cpu_core_weighted,1,0,16,mint,1.0129957773486316,-9.322664389371527,183.11774023810403,0.0,48.22835549140253,119.87375581581951
cpu_core_weighted,2,0,16,bottom_up,1.0307048936504906,-7.737450000349777,183.11774023810403,0.0,47.06120562341504,113.76937071030068
cpu_core_weighted,2,0,16,wls,1.0180193510570834,-8.872984055739463,183.11774023810403,0.0,49.19087278623136,125.06632390974114
cpu_core_weighted,2,0,16,mint,1.0129957773486316,-9.322664389371527,183.11774023810403,0.0,48.22835549140253,119.87375581581951
cpu_core_weighted,0,1,1,bottom_up,0.7805449359194851,-7.7179252366533895,127.44703509795418,0.0,36.358867073253336,71.11039077317638
cpu_core_weighted,0,1,1,wls,0.7733649699892713,-8.56679648323927,127.44703509795418,0.0,37.64921956318953,75.283508048343
cpu_core_weighted,0,1,1,mint,0.7730862362246635,-8.599750550226215,127.44703509795418,0.0,37.609470211005124,75.8418802431684
cpu_core_weighted,1,1,1,bottom_up,0.7805449359194851,-7.7179252366533895,127.44703509795418,0.0,36.358867073253336,71.11039077317638
cpu_core_weighted,1,1,1,wls,0.7733649699892713,-8.56679648323927,127.44703509795418,0.0,37.64921956318953,75.283508048343
cpu_core_weighted,1,1,1,mint,0.7730862362246635,-8.599750550226215,127.44703509795418,0.0,37.609470211005124,75.8418802431684
cpu_core_weighted,2,1,1,bottom_up,0.7805449359194851,-7.7179252366533895,127.44703509795418,0.0,36.358867073253336,71.11039077317638
cpu_core_weighted,2,1,1,wls,0.7733649699892713,-8.56679648323927,127.44703509795418,0.0,37.64921956318953,75.283508048343
cpu_core_weighted,2,1,1,mint,0.7730862362246635,-8.599750550226215,127.44703509795418,0.0,37.609470211005124,75.8418802431684
cpu_core_weighted,0,1,8,bottom_up,0.794109324195644,-7.8683946059724725,132.7397281498307,0.0,37.06789243844397,74.94490068696513
cpu_core_weighted,0,1,8,wls,0.7873944212939675,-8.647449536505004,132.7397281498307,0.0,38.482206354752705,79.7016803272947
cpu_core_weighted,0,1,8,mint,0.7877895503581098,-8.601607139358814,132.7397281498307,0.0,38.619719431439236,81.24147314697036
cpu_core_weighted,1,1,8,bottom_up,0.794109324195644,-7.8683946059724725,132.7397281498307,0.0,37.06789243844397,74.94490068696513
cpu_core_weighted,1,1,8,wls,0.7873944212939675,-8.647449536505004,132.7397281498307,0.0,38.482206354752705,79.7016803272947
cpu_core_weighted,1,1,8,mint,0.7877895503581098,-8.601607139358814,132.7397281498307,0.0,38.619719431439236,81.24147314697036
cpu_core_weighted,2,1,8,bottom_up,0.794109324195644,-7.8683946059724725,132.7397281498307,0.0,37.06789243844397,74.94490068696513
cpu_core_weighted,2,1,8,wls,0.7873944212939675,-8.647449536505004,132.7397281498307,0.0,38.482206354752705,79.7016803272947
cpu_core_weighted,2,1,8,mint,0.7877895503581098,-8.601607139358814,132.7397281498307,0.0,38.619719431439236,81.24147314697036
cpu_core_weighted,0,1,16,bottom_up,0.7993938475030506,-7.5685095105172735,131.29275142248974,0.0,37.279213009793736,78.79765919135743
cpu_core_weighted,0,1,16,wls,0.7892731254510011,-8.73873796176532,131.29275142248974,0.0,38.623700186827136,82.42674560724379
cpu_core_weighted,0,1,16,mint,0.7901883349375972,-8.632915059549584,131.29275142248974,0.0,38.85430956611954,84.42462165074811
cpu_core_weighted,1,1,16,bottom_up,0.7993938475030506,-7.5685095105172735,131.29275142248974,0.0,37.279213009793736,78.79765919135743
cpu_core_weighted,1,1,16,wls,0.7892731254510011,-8.73873796176532,131.29275142248974,0.0,38.623700186827136,82.42674560724379
cpu_core_weighted,1,1,16,mint,0.7901883349375972,-8.632915059549584,131.29275142248974,0.0,38.85430956611954,84.42462165074811
cpu_core_weighted,2,1,16,bottom_up,0.7993938475030506,-7.5685095105172735,131.29275142248974,0.0,37.279213009793736,78.79765919135743
cpu_core_weighted,2,1,16,wls,0.7892731254510011,-8.73873796176532,131.29275142248974,0.0,38.623700186827136,82.42674560724379
cpu_core_weighted,2,1,16,mint,0.7901883349375972,-8.632915059549584,131.29275142248974,0.0,38.85430956611954,84.42462165074811
cpu_core_weighted,0,2,1,bottom_up,1.0205550544242874,-11.195607588786471,171.5725267317513,0.0,49.01390804078175,105.84451488511195
cpu_core_weighted,0,2,1,wls,1.0165011232696677,-11.548363563588815,171.5725267317513,0.0,50.314086475788535,108.46016765699017
cpu_core_weighted,0,2,1,mint,1.0112159355198143,-12.00825828937575,171.5725267317513,0.0,49.482016727441966,107.36962796076126
cpu_core_weighted,1,2,1,bottom_up,1.0205550544242874,-11.195607588786471,171.5725267317513,0.0,49.01390804078175,105.84451488511195
cpu_core_weighted,1,2,1,wls,1.0165011232696677,-11.548363563588815,171.5725267317513,0.0,50.314086475788535,108.46016765699017
cpu_core_weighted,1,2,1,mint,1.0112159355198143,-12.00825828937575,171.5725267317513,0.0,49.482016727441966,107.36962796076126
cpu_core_weighted,2,2,1,bottom_up,1.0205550544242874,-11.195607588786471,171.5725267317513,0.0,49.01390804078175,105.84451488511195
cpu_core_weighted,2,2,1,wls,1.0165011232696677,-11.548363563588815,171.5725267317513,0.0,50.314086475788535,108.46016765699017
cpu_core_weighted,2,2,1,mint,1.0112159355198143,-12.00825828937575,171.5725267317513,0.0,49.482016727441966,107.36962796076126
