hierarchy,horizon,fold,reconciliation_method,mean_mae_report,std_mae_report,cv,min_mae_report,max_mae_report,identical_prediction_hashes,n_unique_hashes,pairwise_max_abs_pred_diff,stability_class,seed0_mae,seed1_mae,seed2_mae
cpu_core_weighted,1,0,bottom_up,1.0059544225288457,0.0,0.0,1.0059544225288457,1.0059544225288457,True,1,0.0,seed_invariant,1.0059544225288457,1.0059544225288457,1.0059544225288457
cpu_core_weighted,1,0,independent,1.1094787687062333,0.0,0.0,1.1094787687062333,1.1094787687062333,True,1,0.0,seed_invariant,1.1094787687062333,1.1094787687062333,1.1094787687062333
cpu_core_weighted,1,0,mint,0.9977431249325431,0.0,0.0,0.9977431249325431,0.9977431249325431,True,1,0.0,seed_invariant,0.9977431249325431,0.9977431249325431,0.9977431249325431
cpu_core_weighted,1,0,wls,0.9998981625281598,0.0,0.0,0.9998981625281598,0.9998981625281598,True,1,0.0,seed_invariant,0.9998981625281598,0.9998981625281598,0.9998981625281598
cpu_core_weighted,1,1,bottom_up,0.7805449359194853,1.1102230246251565e-16,1.422369134093874e-16,0.7805449359194851,0.7805449359194851,True,1,0.0,seed_invariant,0.7805449359194851,0.7805449359194851,0.7805449359194851
cpu_core_weighted,1,1,independent,0.845825083496615,0.0,0.0,0.845825083496615,0.845825083496615,True,1,0.0,seed_invariant,0.845825083496615,0.845825083496615,0.845825083496615
cpu_core_weighted,1,1,mint,0.7730862362246635,0.0,0.0,0.7730862362246635,0.7730862362246635,True,1,0.0,seed_invariant,0.7730862362246635,0.7730862362246635,0.7730862362246635
cpu_core_weighted,1,1,wls,0.7733649699892714,1.1102230246251565e-16,1.435574492907997e-16,0.7733649699892713,0.7733649699892713,True,1,0.0,seed_invariant,0.7733649699892713,0.7733649699892713,0.7733649699892713
cpu_core_weighted,1,2,bottom_up,1.0205550544242874,0.0,0.0,1.0205550544242874,1.0205550544242874,True,1,0.0,seed_invariant,1.0205550544242874,1.0205550544242874,1.0205550544242874
cpu_core_weighted,1,2,independent,1.1492168649705437,0.0,0.0,1.1492168649705437,1.1492168649705437,True,1,0.0,seed_invariant,1.1492168649705437,1.1492168649705437,1.1492168649705437
cpu_core_weighted,1,2,mint,1.0112159355198143,0.0,0.0,1.0112159355198143,1.0112159355198143,True,1,0.0,seed_invariant,1.0112159355198143,1.0112159355198143,1.0112159355198143
cpu_core_weighted,1,2,wls,1.0165011232696677,0.0,0.0,1.0165011232696677,1.0165011232696677,True,1,0.0,seed_invariant,1.0165011232696677,1.0165011232696677,1.0165011232696677
cpu_core_weighted,8,0,bottom_up,0.9965505384455932,0.0,0.0,0.9965505384455932,0.9965505384455932,True,1,0.0,seed_invariant,0.9965505384455932,0.9965505384455932,0.9965505384455932
cpu_core_weighted,8,0,independent,1.08977444725631,0.0,0.0,1.08977444725631,1.08977444725631,True,1,0.0,seed_invariant,1.08977444725631,1.08977444725631,1.08977444725631
cpu_core_weighted,8,0,mint,0.9801360741347102,0.0,0.0,0.9801360741347102,0.9801360741347102,True,1,0.0,seed_invariant,0.9801360741347102,0.9801360741347102,0.9801360741347102
cpu_core_weighted,8,0,wls,0.9863593395653419,0.0,0.0,0.9863593395653419,0.9863593395653419,True,1,0.0,seed_invariant,0.9863593395653419,0.9863593395653419,0.9863593395653419
cpu_core_weighted,8,1,bottom_up,0.794109324195644,0.0,0.0,0.794109324195644,0.794109324195644,True,1,0.0,seed_invariant,0.794109324195644,0.794109324195644,0.794109324195644
cpu_core_weighted,8,1,independent,0.8619293246865777,0.0,0.0,0.8619293246865777,0.8619293246865777,True,1,0.0,seed_invariant,0.8619293246865777,0.8619293246865777,0.8619293246865777
cpu_core_weighted,8,1,mint,0.7877895503581098,0.0,0.0,0.7877895503581098,0.7877895503581098,True,1,0.0,seed_invariant,0.7877895503581098,0.7877895503581098,0.7877895503581098
cpu_core_weighted,8,1,wls,0.7873944212939675,0.0,0.0,0.7873944212939675,0.7873944212939675,True,1,0.0,seed_invariant,0.7873944212939675,0.7873944212939675,0.7873944212939675
cpu_core_weighted,8,2,bottom_up,1.021055775499171,0.0,0.0,1.021055775499171,1.021055775499171,True,1,0.0,seed_invariant,1.021055775499171,1.021055775499171,1.021055775499171
