run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,prediction_hash,model_kwargs,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f2__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,2,1,32,lightgbm,1,7cbad8118478b634,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,6.562751207999099,271.2151801330483
base__cpu_core_weighted__f2__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,2,1,32,lightgbm,2,7cbad8118478b634,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,7.195654292001564,271.2151801330483
base__cpu_core_weighted__f2__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,2,8,32,lightgbm,1,5ed9fea06dc0efca,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,57.311696208002104,267.1790064982869
base__cpu_core_weighted__f2__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,2,8,32,lightgbm,2,5ed9fea06dc0efca,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,55.467242249000265,267.1790064982869
base__cpu_core_weighted__f2__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,2,16,32,lightgbm,1,f8b655a5f3dcb31b,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,114.27953545799755,272.5729540826915
base__cpu_core_weighted__f2__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,2,16,32,lightgbm,2,f8b655a5f3dcb31b,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,119.52419854299842,272.5729540826915
base__memory_um__f0__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,0,1,32,lightgbm,1,61abb4b3c816d897,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.1239787089962192,1848635679.4026904
base__memory_um__f0__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,0,1,32,lightgbm,2,61abb4b3c816d897,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.1269647089957289,1848635679.4026904
base__memory_um__f0__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,0,8,32,lightgbm,1,41770c51b1cccba8,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,8.864686499000527,1526324191.3500135
base__memory_um__f0__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,0,8,32,lightgbm,2,41770c51b1cccba8,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,8.98530537500119,1526324191.3500135
base__memory_um__f0__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,0,16,32,lightgbm,1,e53ab9929bca2b4c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,18.101191166997523,1735274052.5911322
base__memory_um__f0__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,0,16,32,lightgbm,2,e53ab9929bca2b4c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,18.577857332998978,1735274052.5911322
base__memory_um__f1__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,1,1,32,lightgbm,1,26c986c05fb5ac77,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.2773977079996257,1352577183.857901
base__memory_um__f1__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,1,1,32,lightgbm,2,26c986c05fb5ac77,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.2735975850009709,1352577183.857901
base__memory_um__f1__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,1,8,32,lightgbm,1,b07c5dd1683f4ecf,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,10.29615449999983,1349230704.7903304
base__memory_um__f1__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,1,8,32,lightgbm,2,b07c5dd1683f4ecf,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,10.345750543001486,1349230704.7903304
base__memory_um__f1__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,1,16,32,lightgbm,1,bda5e9c985616287,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,22.720161500001268,1348125215.317614
base__memory_um__f1__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,1,16,32,lightgbm,2,bda5e9c985616287,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,25.313509081996017,1348125215.317614
base__memory_um__f2__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,2,1,32,lightgbm,1,eac8b3a199098e32,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.40870945700226,1263368437.7287288
base__memory_um__f2__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,2,1,32,lightgbm,2,eac8b3a199098e32,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,1.4335470010046265,1263368437.7287288
base__memory_um__f2__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,2,8,32,lightgbm,1,9a69f2e3281457ae,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,11.591089791998456,1262294522.4928114
base__memory_um__f2__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,2,8,32,lightgbm,2,9a69f2e3281457ae,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,11.885487332001505,1262294522.4928114
base__memory_um__f2__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,2,16,32,lightgbm,1,6fcb8ac28b195b0c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,26.742018666998774,1266339742.2184117
base__memory_um__f2__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,memory_um,2,16,32,lightgbm,2,6fcb8ac28b195b0c,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 15}",abe0cd1cb9555ccb,24.878108916998826,1266339742.2184117
