base_model,n_jobs,total_train_sec,median_job_train_sec,slowest_job,warm_inference_latency,reconciliation_overhead
lightgbm,6,40.117741042998205,6.180486166999345,12.968211166999936,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
persistence,6,0.0014301260052886,0.00020245800033075,0.0004000840008302,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
ridge,6,0.2001769200051055,0.02429970900084295,0.0777484999998705,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
