base_model,horizon,reconciliation_method,mean_mae,std_mae,mean_rmse,mean_r2,mean_mase,mase_valid,rel_vs_ind,rel_vs_pers,coh_before,coh_after,adj_mean,adj_max,macro,weighted,worst,best,improved,degraded,normal_mae,reset_mae
lightgbm,1,bottom_up,57040439415.47003,32414766183.93244,66235440578.989624,-0.20329034483004438,43.24468377506654,True,7.227101579399189,41.9849286584526,51578077685.37145,0.0,6447259710.67143,131544932938.10376,15948882993.117071,17302657849.65987,39514161196.76035,158614142.34872892,0.0,0.0,57016672394.08261,49878083552.81292
lightgbm,1,independent,9138899709.420622,7746892017.9634075,13608305227.322565,0.9468546762876097,6.89476103791523,True,1.0,7.040413358412317,51578077685.37145,51578077685.37145,0.0,0.0,15948882993.117071,17302657849.65987,39514161196.76035,158614142.34872892,0.0,0.0,9075667031.840826,14293555108.127403
lightgbm,1,mint,21589957719.88969,5820497071.258081,26362482739.97296,0.7758117005190416,16.52627048871163,True,3.6872251070157778,14.022246982351348,51578077685.37145,0.0,6946206335.142737,108024569891.09102,14192524798.15518,15639538762.374277,39342999991.42424,174525556.06436086,3.6666666666666665,3.3333333333333335,21545906783.518757,21755414198.150074
lightgbm,1,top_down,9138899709.420622,7746892017.9634075,13608305227.322565,0.9468546762876097,6.89476103791523,True,1.0,7.040413358412317,51578077685.37145,7.0834837862155e-05,6447259710.67143,30253670348.066193,16655128733.224298,18821648058.884556,35446929080.99406,1384541042.3884053,2.6666666666666665,4.333333333333333,9075667031.840826,14293555108.127403
lightgbm,1,wls,20726933042.249626,5274320809.326798,25492793083.63046,0.8123542590619941,15.887192536182866,True,3.2081028349607883,14.077377754552392,51578077685.37145,0.0,6447259710.67143,81948999391.86537,12859259678.910536,14554957908.413404,37513998482.47843,158556648.4033063,2.6666666666666665,4.333333333333333,20677422641.655407,20789776995.337193
lightgbm,8,bottom_up,51078933573.220085,13148282724.89056,56254829909.77509,-0.20865621499833176,37.907986644101015,True,9.436542283879922,33.869191765920924,44540619658.97568,0.0,5567577457.37196,113547833637.99121,16182330698.77543,17981908190.389862,45774812037.12307,147574320.1521453,0.0,0.0,51088533685.02126,41783175134.131226
lightgbm,8,independent,8871236896.70711,7975130229.758322,13294377135.1649,0.9489633009751847,6.712271194526248,True,1.0,6.87845930831968,44540619658.97568,44540619658.97568,0.0,0.0,16182330698.77543,17981908190.389862,45774812037.12307,147574320.1521453,0.0,0.0,8805395341.00631,14344230091.518522
lightgbm,8,mint,26662402140.8853,7423148235.112232,32029639123.727417,0.6535865697554794,20.343667848140367,True,5.046196603927943,17.140621149948476,44540619658.97568,0.0,6379378453.781848,90531982774.26941,16742773273.304556,18458775874.45691,48857487697.95194,162893841.47728243,3.0,4.0,26624616182.753036,24770807829.018482
lightgbm,8,top_down,8871236896.70711,7975130229.758322,13294377135.1649,0.9489633009751847,6.712271194526248,True,1.0,6.87845930831968,44540619658.97568,7.82520933939102e-05,5567577457.371959,24941000765.258423,16935229159.249075,19391986571.502552,40131249239.91538,1165658639.4546506,2.3333333333333335,4.666666666666667,8805395341.00631,14344230091.518522
lightgbm,8,wls,22552552939.670223,5554514080.385121,27524463144.51454,0.7631418166043206,17.28953629849487,True,4.045112648727507,14.824325229721282,44540619658.97568,0.0,5567577457.371959,75111631614.33069,15497225963.304054,17161693595.089308,42688992364.37979,148841888.5176835,2.3333333333333335,4.666666666666667,22510536921.76899,21835741157.531387
persistence,1,bottom_up,1549522849.3455029,362609210.1048966,4989637964.148261,0.991484326874167,1.1733823146893072,True,1.0,1.0,0.0,0.0,0.0,0.0,246208487.35392702,222551813.31866798,874235344.9469161,4675702.680054215,0.0,0.0,1420259810.4162476,15584166129.662773
persistence,1,independent,1549522849.3455029,362609210.1048966,4989637964.148261,0.991484326874167,1.1733823146893072,True,1.0,1.0,0.0,0.0,0.0,0.0,246208487.35392702,222551813.31866798,874235344.9469161,4675702.680054215,0.0,0.0,1420259810.4162476,15584166129.662773
persistence,1,mint,1549522849.4507303,362609210.0398376,4989637964.147606,0.991484326874167,1.1733823147688829,True,1.0000000000786253,1.0000000000786253,0.0,0.0,0.13008067589579345,1.0179443359375,246208487.38127747,222551813.34138286,874235345.0829893,4675702.68013351,2.0,5.0,1420259810.5239089,15584166129.682077
persistence,1,top_down,1549522849.3455029,362609210.1048966,4989637964.148261,0.991484326874167,1.1733823146893072,True,1.0,1.0,0.0,2.4583194880779764e-08,9.496651923181146e-07,3.0517578125e-05,246208487.35392702,222551813.31866804,874235344.9469161,4675702.680054215,0.3333333333333333,2.3333333333333335,1420259810.4162476,15584166129.662773
persistence,1,wls,1549522849.3582022,362609210.1579935,4989637964.148835,0.9914843268741653,1.1733823146986626,True,1.0000000000021414,1.0000000000021414,0.0,0.0,0.08608560070563565,0.7338714599609375,246208487.37097278,222551813.33368194,874235345.0308176,4675702.680067279,1.0,6.0,1420259810.4289048,15584166129.655073
persistence,8,bottom_up,1550783002.8322742,362890355.53197795,4991748690.090743,0.9914729263573102,1.1746993810949877,True,1.0,1.0,0.0,0.0,0.0,0.0,246404372.25200737,222736778.4584221,874960962.8771363,4676507.108020845,0.0,0.0,1421414782.2799666,15584166129.662773
persistence,8,independent,1550783002.8322742,362890355.53197795,4991748690.090743,0.9914729263573102,1.1746993810949877,True,1.0,1.0,0.0,0.0,0.0,0.0,246404372.25200737,222736778.4584221,874960962.8771363,4676507.108020845,0.0,0.0,1421414782.2799666,15584166129.662773
persistence,8,mint,1550783002.8653717,362890355.4548632,4991748690.089885,0.9914729263573122,1.1746993811214304,True,1.0000000000317513,1.0000000000317513,0.0,0.0,0.09201432689528717,0.889801025390625,246404372.2647471,222736778.47870255,874960962.8484932,4676507.10810013,1.6666666666666667,5.333333333333333,1421414782.3140519,15584166129.669159
persistence,8,top_down,1550783002.8322742,362890355.53197795,4991748690.090743,0.9914729263573102,1.1746993810949877,True,1.0,1.0,0.0,2.4604005421856734e-08,9.49969303831001e-07,3.0517578125e-05,246404372.2520074,222736778.4584221,874960962.8771366,4676507.108020845,0.3333333333333333,2.3333333333333335,1421414782.2799666,15584166129.662773
persistence,8,wls,1550783002.8242486,362890355.52394193,4991748690.090844,0.9914729263573099,1.1746993810882975,True,0.9999999999954369,0.9999999999954369,0.0,0.0,0.02969457701347569,0.2687530517578125,246404372.25616148,222736778.46320263,874960962.8840598,4676507.108027159,2.0,5.0,1421414782.2717354,15584166129.663599
ridge,1,bottom_up,2012543448.9063501,487078064.3687862,5076398838.861408,0.9914448545464856,1.5374937276367426,True,1.1599667562144431,1.3103383790678007,945603562.8409365,0.0,118200445.35511707,99634100901.67603,381007280.44358516,361021430.3677235,1342170829.862117,6766092.106918588,0.0,0.0,1896064681.885163,16804266604.883911
ridge,1,independent,1753483059.538901,458248703.25899625,4727579842.05463,0.9923284636392363,1.3328684184716542,True,1.0,1.1279030870368423,945603562.8409365,945603562.8409365,0.0,0.0,381007280.44358516,361021430.3677235,1342170829.862117,6766092.106918588,0.0,0.0,1650579461.5954132,14831933316.661896
ridge,1,mint,1779308310.6313276,453501577.02775544,4742410019.557439,0.9923568909629233,1.3545296289045587,True,1.0170657593281283,1.1477104332540577,945603562.8409365,0.0,118214342.93509366,54868444854.44334,391038876.06072545,371722288.79066354,1278651099.6353722,6767993.815718747,2.3333333333333335,4.666666666666667,1671241886.2357361,15458178261.027483
ridge,1,top_down,1753483059.538901,458248703.25899625,4727579842.05463,0.9923284636392363,1.3328684184716542,True,1.0,1.1279030870368423,945603562.8409365,8.129681847806653e-05,118200445.35511708,24951794942.24286,458737665.7052776,464746783.5161466,1309091358.9176962,25686863.00606585,1.0,6.0,1650579461.5954132,14831933316.661896
ridge,1,wls,1811080473.228279,444642540.2760219,4783874283.049735,0.9922667921994323,1.3795188335541753,True,1.037959283409539,1.171446365713405,945603562.8409365,0.0,118200445.3551172,51197904825.48926,383448446.6936633,364459309.4545765,1271939205.7815847,6766408.667504386,2.3333333333333335,4.666666666666667,1701289574.2769525,15694893077.951317
ridge,8,bottom_up,1983094736.5554597,521513139.08614874,5077238845.113705,0.9914355578412569,1.5157625409611537,True,1.1366864331215265,1.2834075851514173,914334943.6199989,0.0,114291867.95249988,99633745452.77954,376422094.4616976,359012888.2178251,1309679305.5382528,6768392.987827537,0.0,0.0,1866404671.7622147,16820957343.395895
