fold,horizon,base_model,proportion_method,training_targets_used_for_proportions,evaluation_targets_used_for_proportions,top_forecast_unchanged,zero_total_handling,fallback,proportions_vary_by_horizon,mean_prop_sum,min_prop,max_prop,prop_sum_ok,frac_steps_prop_sum_near_1,prop_machine01_UD,prop_machine02_UD,prop_machine03_UD,prop_machine04_UD,prop_machine05_UD,prop_machine06_UD,prop_machine07_UD
0,1,lightgbm,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.0000000000000002,0.023348007431492273,0.22246868101474118,True,1.0,0.11829898175916309,0.22246868101474118,0.18012921744936722,0.21547216766725827,0.07575229456233215,0.023348007431492273,0.16453065011564616
0,1,persistence,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999993,0.023534144618807862,0.2261208482000205,True,1.0,0.10986250852694274,0.2261208482000205,0.21408965467132005,0.17025815650619128,0.07963741488608007,0.023534144618807862,0.17649727259063683
0,1,ridge,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.0000000000000002,0.023528429003066675,0.22595872005592946,True,1.0,0.10978780756093819,0.22595872005592946,0.21384489125261444,0.17081582182976376,0.07961581635786784,0.023528429003066675,0.17644851393981997
0,8,lightgbm,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999816,0.023401501320552496,0.22297204739689566,True,1.0,0.11653827068165679,0.22297204739689566,0.18026764301810277,0.21598328817715617,0.07592630102953314,0.023401501320552496,0.16491094837608444
0,8,persistence,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999992,0.023533292862954917,0.2261161072181823,True,1.0,0.10982460593161149,0.2261161072181823,0.21404850811492895,0.17036353205699054,0.07963102830505585,0.023533292862954917,0.17648292551027525
0,8,ridge,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999983,0.023527602808467662,0.22595387128668445,True,1.0,0.10975129929673298,0.22595387128668445,0.2138043620047352,0.17091883640202338,0.07960956415769697,0.023527602808467662,0.17643446404365773
1,1,lightgbm,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999785,0.022517266221375953,0.22417101935365208,True,1.0,0.22417101935365208,0.2166702952963167,0.18358709196898615,0.10311978263252196,0.07654627475574835,0.022517266221375953,0.17338826977137717
1,1,persistence,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.0000000000000016,0.025529909511456596,0.24163535402482264,True,1.0,0.19764704157447835,0.24163535402482264,0.1777486727447894,0.06566022025957273,0.09152190647333122,0.025529909511456596,0.2002568954115505
1,1,ridge,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.0,0.025512067828450866,0.24147176348533256,True,1.0,0.1973863218926041,0.24147176348533256,0.17778742165517814,0.06625436653844426,0.09145978006853836,0.025512067828450866,0.20012827853145174
1,8,lightgbm,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.000000000000047,0.024199376406182974,0.2423910471414996,True,1.0,0.2423910471414996,0.2328217384869919,0.1955350399786682,0.036476962845394964,0.08225435903285509,0.024199376406182974,0.1863214761084546
1,8,persistence,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.0000000000000016,0.02552797866807374,0.24162231092243472,True,1.0,0.19761591807523254,0.24162231092243472,0.17782781395722885,0.06564862868494852,0.09151495597834393,0.02552797866807374,0.20024239371373914
1,8,ridge,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999996,0.025513830723879905,0.24149350415397844,True,1.0,0.19738386299320665,0.24149350415397844,0.17789120578519937,0.0661088736303609,0.09146610454419646,0.025513830723879905,0.20014261816917783
2,1,lightgbm,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999908,0.02451173822521383,0.2424388890735591,True,1.0,0.2424388890735591,0.22898222906958396,0.11761052644420579,0.10693788534142236,0.08812666579442223,0.02451173822521383,0.19139206605158363
2,1,persistence,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999991,0.025833842941921533,0.23830717681761202,True,1.0,0.232116429253811,0.23830717681761202,0.09818847429573045,0.08893602182471778,0.09919408039053172,0.025833842941921533,0.21742397447567466
2,1,ridge,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.0000000000000002,0.025834309809912824,0.23831368887261517,True,1.0,0.2320247021957825,0.23831368887261517,0.09824625143006518,0.08895500548100056,0.0991962317701545,0.025834309809912824,0.2174298104404695
2,8,lightgbm,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999957,0.023616047911332375,0.2387250708152036,True,1.0,0.2387250708152036,0.22062902848539576,0.1404964498343138,0.10721608690982372,0.08490799089737207,0.023616047911332375,0.18440932514655428
2,8,persistence,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,0.9999999999999992,0.02583552776799066,0.23832475756705881,True,1.0,0.2321125791848572,0.23832475756705881,0.09817983937589878,0.08892851251294287,0.09919590065043739,0.02583552776799066,0.21742288294081347
2,8,ridge,forecast_proportions_from_independent_bottom_forecasts,False,False,True,add_eps=1e-12 to bottom sum before normalize,none_beyond_eps,yes_via_horizon_specific_base_forecasts,1.000000000000001,0.02583596659581158,0.23833085998726408,True,1.0,0.23202042549421129,0.23833085998726408,0.09823910609461743,0.08894736367954614,0.09919791917932094,0.02583596659581158,0.21742835896922957
