fold,horizon,series,train_ymin,train_ymed,train_ymax,eval_ymin,eval_ymed,eval_ymax,pred_ymin,pred_ymed,pred_ymax,pct_finite_all_series,pct_negative_all_series,pct_negative_top,scaled_mae_top,inverse_transformed_mae_top,pred_to_target_median_ratio,pred_to_target_range_ratio,y_mean_train,y_std_train,magnitude_alignment_ok,n_test
0,16,cluster_UM,113481224192.0,116048105472.0,181478932480.0,115448389632.0,120038010880.0,178617548800.0,115488412762.12288,119536938280.57625,146552289214.56955,100.0,0.0,0.0,0.32435263843413026,1349931371.2096462,0.9958257172394779,0.49175700391755245,116914410134.71704,4161925050.8541517,True,8261
0,16,machine01_UM,,,,16703700992.0,17727590400.0,38314332160.0,16488874093.933067,17602701126.007557,27149694517.645737,100.0,0.0,,,454853978.4493598,0.9929550902759777,0.49331370013378917,,,True,8261
0,16,machine02_UM,,,,12449144832.0,13979508736.0,15838748672.0,12478402140.609863,13800786275.026897,15157686435.13597,100.0,0.0,,,223030675.7984921,0.9872153975974236,0.7904417215098818,,,True,8261
0,16,machine03_UM,,,,15302565888.0,15857008640.0,46311505920.0,13110761992.954552,15905659427.010933,29391925317.117805,100.0,0.0,,,545422081.7846897,1.0030680936181247,0.5250473994713053,,,True,8261
0,16,machine04_UM,,,,7189921792.0,7324495872.0,43395637248.0,6862656163.000481,7369714880.150857,26846715549.30788,100.0,0.0,,,433418762.4192545,1.0061736683235387,0.5519586931127927,,,True,8261
0,16,machine05_UM,,,,8226230272.0,8894984192.0,9366597632.0,8305092081.683468,8898222410.487324,9220914591.262457,100.0,0.0,,,63211939.22143862,1.0003640499429145,0.8030942849670732,,,True,8261
0,16,machine06_UM,,,,36902072320.0,36944920576.0,37017866240.0,36916980849.92652,36944193755.48495,36994320456.397026,100.0,0.0,,,5143789.417240438,0.9999803269162927,0.6679073173315556,,,True,8261
0,16,machine07_UM,,,,17473314816.0,19168468992.0,20071784448.0,17591015776.9915,19118439810.46149,19681664597.322193,100.0,0.0,,,108013786.44625838,0.9973900272599032,0.8045692720763312,,,True,8261
0,1,cluster_UM,113481224192.0,116047517696.0,181478932480.0,115448389632.0,120039839744.0,178617548800.0,115416365342.88495,119666119747.87744,150297250671.9935,100.0,0.0,0.0,0.31001301220354816,1288970217.5265772,0.9968867003078348,0.5521822007530912,116912200735.7542,4157793920.857316,True,8276
0,1,machine01_UM,,,,16703700992.0,17728688128.0,38314332160.0,16643315270.052586,17629665047.173096,27950729571.717995,100.0,0.0,,,435879160.5994882,0.994414528581474,0.5232338756680505,,,True,8276
0,1,machine02_UM,,,,12449144832.0,13979389952.0,15838748672.0,12472641072.994682,13744938266.224731,15091630311.318539,100.0,0.0,,,257772018.91407412,0.9832287612992922,0.7726534904810163,,,True,8276
0,1,machine03_UM,,,,15302565888.0,15857297408.0,46311505920.0,11178066213.420517,15889198925.08718,30528976358.59326,100.0,0.0,,,548074446.1739744,1.0020117877760863,0.6240429413325116,,,True,8276
0,1,machine04_UM,,,,7189921792.0,7324549120.0,43395637248.0,6692275313.960838,7367298315.2674885,24881166864.033764,100.0,0.0,,,448668427.54464847,1.0058364268662983,0.5023762497437037,,,True,8276
0,1,machine05_UM,,,,8226230272.0,8895133696.0,9366597632.0,8292147394.856149,8896015066.597273,9245353231.45886,100.0,0.0,,,61474768.71942239,1.0000990845812323,0.8358761132927478,,,True,8276
0,1,machine06_UM,,,,36902072320.0,36944953344.0,37017866240.0,36916610102.34211,36944076631.9404,36994830675.01611,100.0,0.0,,,5147270.714001471,0.9999762697748881,0.6755153696671086,,,True,8276
0,1,machine07_UM,,,,17473314816.0,19168915456.0,20071784448.0,17581568427.71273,19064218866.387398,19681729260.914482,100.0,0.0,,,132665284.3345005,0.9945382100592535,0.8082298932180677,,,True,8276
0,8,cluster_UM,113481224192.0,116048203776.0,181478932480.0,115448389632.0,120039043072.0,178617548800.0,115481160645.59811,119549007306.9134,147007743487.33252,100.0,0.0,0.0,0.3249125580889531,1351523873.7521622,0.9959176968380807,0.49908188199701453,116913503312.33946,4159654159.5728292,True,8269
0,8,machine01_UM,,,,16703700992.0,17727950848.0,38314332160.0,16642640253.350077,17607163105.51757,27650069568.028404,100.0,0.0,,,439949726.65833753,0.9931865931083593,0.5093525140060512,,,True,8269
0,8,machine02_UM,,,,12449144832.0,13979639808.0,15838748672.0,12476908018.030436,13812325972.636703,15170663707.71539,100.0,0.0,,,217030184.59553775,0.9880316061314005,0.794711068561025,,,True,8269
0,8,machine03_UM,,,,15302565888.0,15857270784.0,46311505920.0,13291972279.833809,15906733445.293768,29448319710.494583,100.0,0.0,,,549070948.1062276,1.0031192417640793,0.521022241133946,,,True,8269
0,8,machine04_UM,,,,7189921792.0,7324520448.0,43395637248.0,6576951465.288057,7377441806.455938,25603477069.55086,100.0,0.0,,,448474465.4354594,1.0072252318539692,0.5255116592678666,,,True,8269
0,8,machine05_UM,,,,8226230272.0,8895062016.0,9366597632.0,8297114782.545692,8897764722.198616,9234675408.925241,100.0,0.0,,,62088727.5072756,1.0003038434351277,0.8221566657077497,,,True,8269
0,8,machine06_UM,,,,36902072320.0,36944941056.0,37017866240.0,36917530600.881134,36943664006.68383,36991587145.34335,100.0,0.0,,,5305230.137884272,0.9999654337162365,0.6395546887282099,,,True,8269
0,8,machine07_UM,,,,17473314816.0,19168833536.0,20071784448.0,17585182617.924385,19099245140.312145,19714168391.717556,100.0,0.0,,,113938050.52756637,0.9963697115133707,0.8193229382305789,,,True,8269
1,16,cluster_UM,113481224192.0,116435652608.0,181478932480.0,115408904192.0,120278175744.0,176082169856.0,116918071280.74179,120205612367.44832,145444819997.43094,100.0,0.0,0.0,0.16975389386816805,846438532.3283072,0.999396703715343,0.47016999010183935,118278075921.78561,4986268727.276775,True,8261
1,16,machine01_UM,,,,17216278528.0,18290139136.0,38466068480.0,16914505334.139957,18199613969.73995,27855821891.73474,100.0,0.0,,,323826852.0686276,0.9950506026451229,0.5148905745567147,,,True,8261
1,16,machine02_UM,,,,8486907904.0,13775376384.0,15795433472.0,10243589960.621956,13853900663.448107,15402302642.152493,100.0,0.0,,,118257904.00369611,1.0057003364016472,0.7058486193326999,,,True,8261
1,16,machine03_UM,,,,15183388672.0,15867715584.0,44826574848.0,14000246429.054249,15924831117.903904,26686505917.385574,100.0,0.0,,,315870699.556846,1.003599480568047,0.42796544922699625,,,True,8261
1,16,machine04_UM,,,,7247716352.0,7329259520.0,37778919424.0,6756544257.987184,7373526502.903808,23433424487.961063,100.0,0.0,,,299131061.45309836,1.0060397619681787,0.5462241429086742,,,True,8261
1,16,machine05_UM,,,,7817588736.0,8821694464.0,12196769792.0,8027340770.444827,8852284578.659573,11084232160.556717,100.0,0.0,,,56792307.96881221,1.0034676007862668,0.6980509257372641,,,True,8261
1,16,machine06_UM,,,,36905984000.0,36984541184.0,37046116352.0,36915935653.03272,36985971574.25836,37029903798.88547,100.0,0.0,,,4541143.957021798,1.000038675354961,0.8132893241722301,,,True,8261
1,16,machine07_UM,,,,14558277632.0,19164545024.0,20474847232.0,16604212530.34959,19189579946.77024,20038161323.56237,100.0,0.0,,,130238951.54312076,1.001306314485363,0.5803952332805786,,,True,8261
1,1,cluster_UM,113481224192.0,116437114880.0,181478932480.0,115408904192.0,120273612800.0,176082169856.0,117092253792.57631,120265053322.58276,147160449743.00583,100.0,0.0,0.0,0.1676864191294581,836589801.3086051,0.9999288332892148,0.4955756974899448,118283630151.93869,4989013455.303956,True,8276
1,1,machine01_UM,,,,17216278528.0,18290229248.0,38466068480.0,17054355902.962463,18211413182.406563,29611606158.257046,100.0,0.0,,,310634180.3999179,0.9956908104034805,0.5909352649442406,,,True,8276
1,1,machine02_UM,,,,8486907904.0,13773834240.0,15795433472.0,10232987618.228748,13841249694.76691,15388578273.848122,100.0,0.0,,,117851994.00601266,1.0048944581147297,0.7054214434431015,,,True,8276
1,1,machine03_UM,,,,15183388672.0,15867025408.0,44826574848.0,13772830467.289474,15939075281.26081,26641133006.83023,100.0,0.0,,,328854318.090123,1.0045408557311872,0.4341065924269408,,,True,8276
1,1,machine04_UM,,,,7247716352.0,7329202176.0,37778919424.0,6665716725.376265,7389524794.727058,23272493532.766006,100.0,0.0,,,303374379.771622,1.008230448182285,0.543928019090074,,,True,8276
1,1,machine05_UM,,,,7817588736.0,8821114880.0,12196769792.0,8024503027.6244955,8849188591.010057,11170234887.703938,100.0,0.0,,,56311693.696724415,1.003182558145083,0.7183379311913616,,,True,8276
1,1,machine06_UM,,,,36905984000.0,36984457216.0,37046116352.0,36915433270.02988,36985824054.51464,37031518278.71089,100.0,0.0,,,4540100.214122165,1.0000369571062422,0.8283954920061216,,,True,8276
1,1,machine07_UM,,,,14558277632.0,19164428288.0,20474847232.0,16272930377.367407,19183316874.042168,20079555305.641777,100.0,0.0,,,127893055.97287975,1.0009856065497136,0.6433837824327073,,,True,8276
