target,exog,n_exog,multivariate,model,horizon,mae,mase,n_parameters,train_seconds,n_test,outer_fold,experiment_stage,eligible_for_final_claims
jitterWithGoogleDns,,0,False,ridge,8,0.27818916758793116,,264,0.0043673330001183785,8176,outer_0,development,False
jitterWithGoogleDns,,0,False,lightgbm,1,0.3210117081759219,,-200,0.5034283749992028,8197,outer_0,development,False
jitterWithGoogleDns,,0,False,lightgbm,8,0.31904514890997654,,-1600,4.761178958997334,8176,outer_0,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,ridge,1,0.3051309871478415,,129,0.003134124999633059,8197,outer_0,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,ridge,8,0.30165471009540296,,1032,0.012872250001237262,8176,outer_0,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,lightgbm,1,0.35228325489975665,,-200,0.8666508749993227,8197,outer_0,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,lightgbm,8,0.3527765510339785,,-1600,6.98958599999969,8176,outer_0,development,False
cluster_mean_CU,,0,False,ridge,1,1.0040855203986057,0.9225111928897273,33,0.0011300829974061344,8276,outer_1,development,False
cluster_mean_CU,,0,False,ridge,8,1.0045411548424104,0.9229298104932447,264,0.006796792000386631,8269,outer_1,development,False
cluster_mean_CU,,0,False,lightgbm,1,0.8198032867351922,0.7532004920066682,-200,0.5427672080004413,8276,outer_1,development,False
cluster_mean_CU,,0,False,lightgbm,8,0.8185694071138205,0.7520668557393689,-1600,5.120592958002817,8269,outer_1,development,False
cluster_mean_CU,cluster_UM,1,True,ridge,1,1.0294240848480631,0.945791191297734,65,0.0024460419990646187,8276,outer_1,development,False
cluster_mean_CU,cluster_UM,1,True,ridge,8,1.0298564779898114,0.9461884557785855,520,0.01269108300039079,8269,outer_1,development,False
cluster_mean_CU,cluster_UM,1,True,lightgbm,1,0.9113660081381793,0.8373244372580319,-200,0.8593674170006125,8276,outer_1,development,False
cluster_mean_CU,cluster_UM,1,True,lightgbm,8,0.9200723752668745,0.845323478138972,-1600,7.462549374999071,8269,outer_1,development,False
cluster_UM,,0,False,ridge,1,834422178.6472346,0.8563062709662057,33,0.002273000001878245,8276,outer_1,development,False
cluster_UM,,0,False,ridge,8,835005834.3233938,0.8569052339712284,264,0.009701915998448385,8269,outer_1,development,False
cluster_UM,,0,False,lightgbm,1,1387727524.6296232,1.4241229585475068,-200,0.7434514580018003,8276,outer_1,development,False
cluster_UM,,0,False,lightgbm,8,1391352557.4417188,1.4278430637998483,-1600,5.222793165998155,8269,outer_1,development,False
cluster_UM,cluster_mean_CU,1,True,ridge,1,966769514.3919096,0.9921246329943645,65,0.002234667001175694,8276,outer_1,development,False
cluster_UM,cluster_mean_CU,1,True,ridge,8,967573322.3492765,0.9929495221358081,520,0.012623250000615371,8269,outer_1,development,False
cluster_UM,cluster_mean_CU,1,True,lightgbm,1,1327890919.6726902,1.3627170403335194,-200,0.5969904580015282,8276,outer_1,development,False
cluster_UM,cluster_mean_CU,1,True,lightgbm,8,1288271153.0465186,1.3220581802452003,-1600,5.178509499997745,8269,outer_1,development,False
machine01_tx_bond0,,0,False,ridge,1,45.498169388352686,,33,0.0012361669978417922,7792,outer_1,development,False
machine01_tx_bond0,,0,False,ridge,8,44.99882959288649,,264,0.006830124999396503,7687,outer_1,development,False
machine01_tx_bond0,,0,False,lightgbm,1,44.959222850113484,,-200,0.514837417002127,7792,outer_1,development,False
machine01_tx_bond0,,0,False,lightgbm,8,44.49746174007311,,-1600,4.111935875000199,7687,outer_1,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,ridge,1,46.68122580975833,,65,0.0016204160019697156,7354,outer_1,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,ridge,8,46.14236306869968,,520,0.010524417000851827,7249,outer_1,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,lightgbm,1,44.93992025552785,,-200,0.5853615000014543,7354,outer_1,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,lightgbm,8,44.812727862690906,,-1600,4.928409416999784,7249,outer_1,development,False
machine01_rx_bond0,,0,False,ridge,1,14.29825423501927,,33,0.0013683750003110617,7792,outer_1,development,False
machine01_rx_bond0,,0,False,ridge,8,14.359091077647681,,264,0.007098583002516534,7687,outer_1,development,False
machine01_rx_bond0,,0,False,lightgbm,1,14.519389985559013,,-200,0.5482939169996826,7792,outer_1,development,False
machine01_rx_bond0,,0,False,lightgbm,8,14.70217584375221,,-1600,4.7766073329985375,7687,outer_1,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,ridge,1,16.771500703905723,,65,0.0020912920008413494,7354,outer_1,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,ridge,8,16.852578924771326,,520,0.011006749999069143,7249,outer_1,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,lightgbm,1,18.218011449576537,,-200,0.5838276249996852,7354,outer_1,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,lightgbm,8,17.52614379323183,,-1600,5.282003958000132,7249,outer_1,development,False
averageRttWithGoogleDns,,0,False,ridge,1,0.25381493997743615,0.8994235809153218,33,0.0013752499980910216,8233,outer_1,development,False
averageRttWithGoogleDns,,0,False,ridge,8,0.25330841502115825,0.8976286491826234,264,0.007002667000051588,8219,outer_1,development,False
averageRttWithGoogleDns,,0,False,lightgbm,1,0.2777674196860344,0.9843020560485202,-200,0.561476250000851,8233,outer_1,development,False
averageRttWithGoogleDns,,0,False,lightgbm,8,0.2764362946142242,0.9795850552335164,-1600,4.699887791997753,8219,outer_1,development,False
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,ridge,1,0.25302147680907877,0.8966118493274499,97,0.0030215840015443973,8233,outer_1,development,False
